"Invalid store requested.","Заявен е невалиден магазин."
"Current store is not active.","Текущият магазин не е активен."
"Requested store is inactive","Исканият магазин е неактивен"
"The store that was requested wasn't found. Verify the store and try again.","Магазинът, който беше поискан, не беше намерен. Проверете магазина и опитайте отново."
"The requested customer does not exist.","Исканият клиент не съществува."
"There was an error retrieving the customer record.","Възникна грешка при извличането на записа на клиента."
"The requested store cannot be found. Please check the request and try again.","Исканият магазин не може да бъде намерен. Моля, проверете заявката и опитайте отново."
"Environment emulation nesting is not allowed.","Емулация на околната среда не е позволена."
"%1","%1"
"The website wasn't found. Verify the website and try again.","Уебсайтът не беше намерен. Проверете уебсайта и опитайте отново."
"The group wasn't found. Verify the group and try again.","Групата не беше намерена. Потвърдете групата и опитайте отново."
"The store wasn't found. Verify the store and try again.","Магазинът не беше намерен. Проверете магазина и опитайте отново."
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Не е деклариран клас за ""%1"". Въведете клас и опитайте пак."
"%1 should implement %2","%1 трябва да прилагат %2"
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","Следните магазини не са свързани с основна категория: '. . '. За да се показва магазинът в витрината, той трябва да бъде свързан с основна категория."
"The scope object is invalid. Verify the scope object and try again.","Обхвата на обекта е невалиден. Проверете обхвата на обекта и опитайте отново."
"Group with the same code","Group with the same code"
"Store with the same code","Съхранява със същия код"
"Website with the same code","Сайт със същия код"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Код на уеб сайт може да съдържа само букви (a-z), цифри (0-9) или долна черта (_), и първия знак трябва да бъде буква."
"Store is inactive","Магазина е неактивен"
"Invalid store parameter.","Невалиден параметър за магазин"
"Default store is inactive","Магазин по подразбиране не е активен"
"The store cannot be switched.","Магазинът не може да бъде превключен."
"Something went wrong.","Нещо се обърка."
"All Store Views","Изгледи на всички магазини"
"-- Please Select --","-- Моля изберете --"
"Admin","Админ"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Кодът на магазина може да съдържа само букви (a-z), цифри (0-9) или долна черта (_), и първия знак трябва да бъде буква."
"Name is required","Името е задължително"
"The default website isn't defined. Set the website and try again.","Уебсайтът по подразбиране не е дефиниран. Задайте уебсайта и опитайте отново."
"The default website is invalid. Make sure no more than one default is defined and try again.","Уебсайтът по подразбиране е невалиден. Уверете се, че не е дефинирано повече от едно по подразбиране и опитайте отново."
"no such entity exception","няма такъв субект изключение"
"Your Language:","Вашия език:"
"Your Language","Вашия език"
"Language","Език"
"Select Store","Изберете Магазин"
"Configuration","Конфигурация"
"Various XML configurations that were collected across modules and merged","Различни XML конфигурации, които са събрани през модули и слети"
"Layouts","Оформления"
"Layout building instructions","Инструкции за оформление на изглед"
"Blocks HTML output","Блокове HTML изход"
"Page blocks HTML","Страница блокове HTML"
"Collections Data","Колекциите от данни"
"Collection data files","Събиране на файлове с данни"
"Reflection Data","Данни за размисъл"
"API interfaces reflection data","API интерфейси размисъл данни"
"Database DDL operations","Операции с бази данни DDL"
"Results of DDL queries, such as describing tables or indexes","Резултатите от DDL заявки, като описва таблици или индекси"
"Compiled Config","Компилирана конфигурация"
"Compilation configuration","Конфигурация за компилация"
