"Invalid store requested.","Magazin solicitat nevalid."
"Current store is not active.","Magazinul actual nu este activ."
"Requested store is inactive","Magazinul solicitat este inactiv"
"Requested store is not found","Magazinul solicitat nu a fost găsit"
"Environment emulation nesting is not allowed.","Incorporarea imitării mediului nu este permisă."
"%1","%1"
"Website was not found","Site-ul web nu a fost găsit"
"Group was not found","Grupul nu a fost găsit"
"Store was not found","Magazinul nu a fost găsit"
"Class for type ""%1"" was not declared","Clasa pentru tipul ""%1"" nu a fost declarată"
"%1 should implement %2","%1 Trebuie să implementeze %2"
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","Următoarele magazine nu sunt asociate cu o categorie rădăcină ""..."". Pentru ca magazinul sa fie afișat in frontul magazinului, trebuie sa fie asociat cu o categorie rădăcină."
"Invalid scope object","Obiect domeniu nevalid"
"Group with the same code","Grupează cu același cod"
"Store with the same code","Magazin cu același cod"
"Website with the same code","Website cu același cod"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Codul website-ului poate conține numai litere (a-z), numere (0-9) sau underscore (_), iar primul caracter trebuie să fie o literă."
"Name is required","Nume necesar"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Codul magazinului poate conține numai litere (a-z), numere (0-9) sau underscore (_), iar primul caracter trebuie să fie o literă."
"Store is inactive","Magazinul este inactiv"
"Invalid store parameter.","Parametru magazin invalid."
"Default store is inactive","Magazinul implicit este inactiv"
"All Store Views","Toate vizualizările de magazin"
"-- Please Select --","-- Selectați --"
"Admin","Administrator"
"Default website is not defined","Site-ul web implicit nu este definit"
"More than one default website is defined","Mai mult de un site web implicit este definit"
"no such entity exception","Nicio excepție de la această entitate"
"Your Language:","Limba dumneavoastră:"
"Your Language","Limba dumneavoastră"
"Language","Limba"
"Select Store","Selectați magazinul"
"Configuration","Configurație"
"Various XML configurations that were collected across modules and merged","Diverse configurații XML care au fost colectate între module și fuzionate"
"Layouts","Aspecte"
"Layout building instructions","Aranjați instrucțiunile de construcție"
"Blocks HTML output","Output blocuri HTML"
"Page blocks HTML","Pagină blocuri HTML"
"Collections Data","Informații Colecție"
"Collection data files","Fișiere de date de colectare"
"Reflection Data","Informații în oglindă"
"API interfaces reflection data","Interfețe API pentru reflecție"
"Database DDL operations","Operațiuni DDL Bază de date"
"Results of DDL queries, such as describing tables or indexes","Rezultatele interogărilor de tip DDL, cum ar fi descrierea tabelelor sau a indicilor"
"Only default scope allowed","Numai domeniu implicit permis"
"Various XML configurations that were collected across modules and merged.","Diverse configurații XML care au fost colectate între module și fuzionate."
"Layout building instructions.","Instrucțiuni de construcție."
"Page blocks HTML.","Pagina blochează HTML."
"Collection data files.","Fișiere de date de colectare."
"API interfaces reflection data.","Interfețe API reflectă datele de reflecție."
"Results of DDL queries, such as describing tables or indexes.","Rezultatele interogărilor de tip DDL, cum ar fi descrierea tabelelor sau a indicilor."
"The store cannot be switched.","Magazinul nu poate fi schimbat."
"The store that was requested wasn't found. Verify the store and try again.","Magazinul solicitat nu a fost găsit. Verificați magazinul și încercați din nou."
"The website wasn't found. Verify the website and try again.","Website-ul nu a fost găsit. Verificați website-ul și încercați din nou."
"The group wasn't found. Verify the group and try again.","Grupul nu a fost găsit. Verificați grupul și încercați din nou."
"The store wasn't found. Verify the store and try again.","Magazinul nu a fost găsit. Verificați magazinul și încercați din nou."
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Clasa pentru ""%1"" nu a fost declarată. Introduceți clasa și încercați din nou."
"The scope object is invalid. Verify the scope object and try again.","Obiectul domeniului de aplicare nu este valid. Verificați obiectul de aplicare și încercați din nou."
"The default website isn't defined. Set the website and try again.","Website-ul implicit nu este definit. Setați website-ul și încercați din nou."
"The default website is invalid. Make sure no more than one default is defined and try again.","Website-ul implicit este invalid. Asigurați-vă că nu mai mult de o opțiune implicită este definită și încercați din nou."
"Compiled Config","Configurare compilată"
"Compilation configuration","Configurare compilare"
