"Invalid store requested.","Boutique non valide demandée."
"Current store is not active.","Fichiers de données de collection."
"Requested store is inactive","Store sélectionné inactif"
"Requested store is not found","Requested store is not found"
"Environment emulation nesting is not allowed.","Imbrication d’émulation environnement n’est pas autorisée."
"%1","%1"
"Website was not found","Website was not found"
"Group was not found","Group was not found"
"Store was not found","Store was not found"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 devrait mettre en place %2"
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","Les magasins suivants ne sont pas associés à une catégorie racine : '. . '. Pour que le magasin soit affiché sur la boutique, il doit être associé à une catégorie de la racine."
"Invalid scope object","Invalid scope object"
"Group with the same code","Groupe ayant le même code"
"Store with the same code","Magasin avec le même code"
"Website with the same code","Site web avec le même code"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Le code de site web ne doit contenir que des lettres (a-z), des chiffres (0-9) ou underscore (_). Le premier caractère doit être une lettre."
"Name is required","Le nom est requis"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Le code du magasin ne doit contenir que des lettres (a-z), des chiffres (0-9) ou underscore (_). Le premier caractère doit être une lettre."
"Store is inactive","Store inactif"
"Invalid store parameter.","Paramètre de store invalide."
"Default store is inactive","Store par défaut inactif"
"All Store Views","Toutes les vues magasin"
"-- Please Select --","-- Faites un choix --"
"Admin","Administration"
"Default website is not defined","Default website is not defined"
"More than one default website is defined","More than one default website is defined"
"no such entity exception","pas d'entité d'exception de ce genre"
"Your Language:","Votre langue :"
"Your Language","Votre langue"
"Language","Langue"
"Select Store","Choisir un magasin"
"Configuration","Configuration"
"Various XML configurations that were collected across modules and merged","Plusieurs configurations XML ont été collectées dans les modules et ont été fusionnées"
"Layouts","Gabarits"
"Layout building instructions","Instructions de construction de gabarits"
"Blocks HTML output","Sortie de blocs HTML"
"Page blocks HTML","Page blocs HTML"
"Collections Data","Données de collections"
"Collection data files","Fichier de collection de données"
"Reflection Data","Donnée de réflexion"
"API interfaces reflection data","Interfaces API Reflection Data"
"Database DDL operations","Opérations base de données DDL"
"Results of DDL queries, such as describing tables or indexes","Résultats des requêtes DDL, comme description des tables ou des indexes"
"Only default scope allowed","Only default scope allowed"
"Various XML configurations that were collected across modules and merged.","Various XML configurations that were collected across modules and merged."
"Layout building instructions.","Layout building instructions."
"Page blocks HTML.","Page blocks HTML."
"Collection data files.","Collection data files."
"API interfaces reflection data.","API interfaces reflection data."
"Results of DDL queries, such as describing tables or indexes.","Results of DDL queries, such as describing tables or indexes."
"The store cannot be switched.","Le magasin ne peut pas être changé."
"The store that was requested wasn't found. Verify the store and try again.","La boutique demandée n'a pas été trouvée. Vérifiez la boutique et réessayez."
"The website wasn't found. Verify the website and try again.","Le site web n'a pas été trouvé. Vérifiez le site et réessayez."
"The group wasn't found. Verify the group and try again.","Le groupe n'a pas été trouvé. Vérifiez le groupe et réessayez."
"The store wasn't found. Verify the store and try again.","La boutique n'a pas été trouvée. Vérifiez la boutique et réessayez."
"The class for ""%1"" type wasn't declared. Enter the class and try again.","La classe pour le type ""%1"" n'a pas été déclarée. Entrez la classe et réessayez."
"The scope object is invalid. Verify the scope object and try again.","L'objet scope n'est pas valide. Vérifiez l'objet scope et réessayez."
"The default website isn't defined. Set the website and try again.","Le site par défaut n'est pas défini. Définissez le site web et réessayez."
"The default website is invalid. Make sure no more than one default is defined and try again.","Le site par défaut n'est pas valide. Assurez-vous que pas plus d'un site par défaut est défini et réessayez."
"Compiled Config","Configuration compilée"
"Compilation configuration","Configuration de compilation"
