"Invalid store requested.","Boutique non valide demandée."
"Current store is not active.","Fichiers de données de collection."
"Requested store is inactive","Store sélectionné inactif"
"Requested store is not found","La boutique demandée n'est pas trouvée"
"Environment emulation nesting is not allowed.","Imbrication d’émulation environnement n’est pas autorisée."
"%1","%1"
"Website was not found","Le site web n'a pas été trouvé"
"Group was not found","Le groupe n'a pas été trouvé"
"Store was not found","Le magasin n'a pas été trouvé"
"Class for type ""%1"" was not declared","Classe de type ""%1"" n'a pas été déclarée"
"%1 should implement %2","%1 devrait mettre en place %2"
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","Les magasins suivants ne sont pas associés à une catégorie racine : '. . '. Pour que le magasin soit affiché sur la boutique, il doit être associé à une catégorie de la racine."
"Invalid scope object","Objet de portée non valide"
"Group with the same code","Groupe ayant le même code"
"Store with the same code","Magasin avec le même code"
"Website with the same code","Site web avec le même code"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Le code de site web ne doit contenir que des lettres (a-z), des chiffres (0-9) ou underscore (_). Le premier caractère doit être une lettre."
"Name is required","Le nom est requis"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Le code du magasin ne doit contenir que des lettres (a-z), des chiffres (0-9) ou underscore (_). Le premier caractère doit être une lettre."
"Store is inactive","Store inactif"
"Invalid store parameter.","Paramètre de store invalide."
"Default store is inactive","Store par défaut inactif"
"All Store Views","Toutes les vues magasin"
"-- Please Select --","-- Faites un choix --"
"Admin","Administration"
"Default website is not defined","Le site web par défaut n'est pas défini"
"More than one default website is defined","Plus d'un site web par défaut est défini"
"no such entity exception","pas d'entité d'exception de ce genre"
"Your Language:","Votre langue :"
"Your Language","Votre langue"
"Language","Langue"
"Select Store","Choisir un magasin"
"Configuration","Configuration"
"Various XML configurations that were collected across modules and merged","Plusieurs configurations XML ont été collectées dans les modules et ont été fusionnées"
"Layouts","Gabarits"
"Layout building instructions","Instructions de construction de gabarits"
"Blocks HTML output","Sortie de blocs HTML"
"Page blocks HTML","Page blocs HTML"
"Collections Data","Données de collections"
"Collection data files","Fichier de collection de données"
"Reflection Data","Donnée de réflexion"
"API interfaces reflection data","Interfaces API Reflection Data"
"Database DDL operations","Opérations base de données DDL"
"Results of DDL queries, such as describing tables or indexes","Résultats des requêtes DDL, comme description des tables ou des indexes"
"Only default scope allowed","Seul le champ d'application par défaut est autorisé"
"Various XML configurations that were collected across modules and merged.","Diverses configurations XML qui ont été collectées à travers les modules et fusionnées."
"Layout building instructions.","Instructions de gabarits de construction."
"Page blocks HTML.","Blocs de page HTML."
"Collection data files.","Fichiers de données de la collection."
"API interfaces reflection data.","Données de réflexion des interfaces API."
"Results of DDL queries, such as describing tables or indexes.","Résultats des requêtes DDL, comme la description des tables ou des index."
"The store cannot be switched.","The store cannot be switched."
"The store that was requested wasn't found. Verify the store and try again.","The store that was requested wasn't found. Verify the store and try again."
"The website wasn't found. Verify the website and try again.","The website wasn't found. Verify the website and try again."
"The group wasn't found. Verify the group and try again.","The group wasn't found. Verify the group and try again."
"The store wasn't found. Verify the store and try again.","The store wasn't found. Verify the store and try again."
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The scope object is invalid. Verify the scope object and try again.","The scope object is invalid. Verify the scope object and try again."
"The default website isn't defined. Set the website and try again.","The default website isn't defined. Set the website and try again."
"The default website is invalid. Make sure no more than one default is defined and try again.","The default website is invalid. Make sure no more than one default is defined and try again."
"Compiled Config","Compiled Config"
"Compilation configuration","Compilation configuration"
