"Invalid store requested.","Żądano nieprawidłowego sklepu."
"Current store is not active.","Bieżący magazyn nie jest aktywny."
"Requested store is inactive","Wybrany sklep jest nieaktywny"
"Requested store is not found","Żądany sklep nie został znaleziony"
"Environment emulation nesting is not allowed.","Zagnieżdżenie emulacji środowiska nie jest dozwolone."
"%1","%1"
"Website was not found","Strona internetowa nie została znaleziona"
"Group was not found","Grupa nie została znaleziona"
"Store was not found","Sklep nie został znaleziony"
"Class for type ""%1"" was not declared","Klasa dla typu ""%1"" nie została zadeklarowana"
"%1 should implement %2","%1 powinno implementować %2"
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","Następujące sklepy nie są powiązane z kategorią główną: ' . . '. Aby sklep był wyświetlany w witrynie sklepu, musi być powiązany z kategorią główną."
"Invalid scope object","Nieprawidłowy obiekt zakresu"
"Group with the same code","Grupa z tym samym kodem"
"Store with the same code","Sklep z takim samym kodem"
"Website with the same code","Witryna z takim samym kodem"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Kod witryny powinien składać się jedynie z liter (a-z), cyfr (0-9) lub podkreślenia (_), pierwszy znak powinien być literą."
"Name is required","Imię jest wymagane"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Kod sklepu powinien składać się jedynie z liter (a-z), cyfr (0-9) lub podkreślenia (_), pierwszy znak powinien być literą."
"Store is inactive","Sklep jest nieaktywny"
"Invalid store parameter.","Podano nieprawidłowy sklep."
"Default store is inactive","Domyślny magazyn jest nieaktywny"
"All Store Views","Wszystkie widoki sklepu"
"-- Please Select --","-- Prosimy wybrać --"
"Admin","Administrator"
"Default website is not defined","Domyślna strona internetowa nie jest zdefiniowana"
"More than one default website is defined","Zdefiniowano więcej niż jedną domyślną stronę internetową"
"no such entity exception","wyjątek: nie ma takiego podmiotu"
"Your Language:","Twój język:"
"Your Language","Twój język"
"Language","Język"
"Select Store","Wybierz sklep"
"Configuration","Konfiguracja"
"Various XML configurations that were collected across modules and merged","Różne konfiguracje XML, które zostały zebrane przez moduły i połączone"
"Layouts","Szablony"
"Layout building instructions","Instrukcje budowy Layoutu"
"Blocks HTML output","Bloki HTML wyjściowe"
"Page blocks HTML","Bloki strony HTML"
"Collections Data","Zbiór danych"
"Collection data files","Kolekcja plików danych"
"Reflection Data","Zbiór danych"
"API interfaces reflection data","Interfejsy API refleksji danych"
"Database DDL operations","Operacje DDL bazy danych"
"Results of DDL queries, such as describing tables or indexes","Wyniki zapytania DDL, takich jak tabel lub indeksów"
"Only default scope allowed","Dozwolony jest tylko zakres domyślny"
"Various XML configurations that were collected across modules and merged.","Różne konfiguracje XML, które zostały zebrane w różnych modułach i połączone."
"Layout building instructions.","Instrukcje budowania układu."
"Page blocks HTML.","Bloki strony HTML."
"Collection data files.","Pliki danych kolekcji."
"API interfaces reflection data.","Interfejsy API odzwierciedlają dane."
"Results of DDL queries, such as describing tables or indexes.","Wyniki zapytań DDL, takich jak opisywanie tabel lub indeksów."
"The store cannot be switched.","Sklepu nie można przełączyć."
"The store that was requested wasn't found. Verify the store and try again.","Żądany sklep nie został znaleziony. Zweryfikuj sklep i spróbuj ponownie."
"The website wasn't found. Verify the website and try again.","Strona nie została znaleziona. Zweryfikuj witrynę i spróbuj ponownie."
"The group wasn't found. Verify the group and try again.","Grupa nie została znaleziona. Zweryfikuj grupę i spróbuj ponownie."
"The store wasn't found. Verify the store and try again.","Sklep nie został znaleziony. Zweryfikuj sklep i spróbuj ponownie."
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Klasa dla typu ""%1"" nie została zadeklarowana. Wprowadź klasę i spróbuj ponownie."
"The scope object is invalid. Verify the scope object and try again.","Obiekt zakresu jest nieprawidłowy. Zweryfikuj obiekt zakresu i spróbuj ponownie."
"The default website isn't defined. Set the website and try again.","Domyślna witryna nie jest zdefiniowana. Ustaw witrynę i spróbuj ponownie."
"The default website is invalid. Make sure no more than one default is defined and try again.","Domyślna witryna jest nieprawidłowa. Upewnij się, że nie zdefiniowano więcej niż jednej strony domyślnej i spróbuj ponownie."
"Compiled Config","Skompilowana konfiguracja"
"Compilation configuration","Konfiguracja kompilacji"
