"Invalid store requested.","不正な店舗の要求"
"Current store is not active.","現在のストアはアクティブではありません"
"Requested store is inactive","要求されたストアは無効です"
"The store that was requested wasn't found. Verify the store and try again.","要求されたストアが見つかりませんでした。ストアを確認して再度お試し下さい。"
"The requested customer does not exist.","リクエストされた顧客は存在しません。"
"There was an error retrieving the customer record.","顧客レコードの取得中にエラーが発生しました。"
"The requested store cannot be found. Please check the request and try again.","要求されたストアが見つかりません。リクエストを確認して、もう一度やり直してください。"
"Environment emulation nesting is not allowed.","環境エミュレーションネスティングは許可されていません。"
"%1","%1"
"The website wasn't found. Verify the website and try again.","ウェブサイトが見つかりませんでした。 Webサイトを確認して再試行してください。"
"The group wasn't found. Verify the group and try again.","グループが見つかりませんでした。グループを確認して再試行してください。"
"The store wasn't found. Verify the store and try again.","ストアが見つかりませんでした。ストアを確認して、再試行してください。"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","""%1"" タイプのクラスが宣言されていません。クラスを入力し、再度お試し下さい。"
"%1 should implement %2","%1 は、%2 を実装する必要があります"
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","以下のストアはルートカテゴリに関連付けられていません: '..' 。公開するストアはルートカテゴリと関連付けられている必要があります。"
"The scope object is invalid. Verify the scope object and try again.","スコープオブジェクトが無効です。スコープオブジェクトを確認し再試行してください。"
"Group with the same code","同じコードのグループがあります"
"Store with the same code","同じコードの店舗です"
"Website with the same code","同じコードのウェブサイトです"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","ウェブサイトコードは文字 (a-z), 数字 (0-9) かアンダースコア (_)を含んでいなければなりません、そして最初のキャラクターは文字でなければなりません。"
"Store is inactive","ストアは無効です"
"Invalid store parameter.","ストアパラメータが無効です。"
"Default store is inactive","デフォルトストアは無効です"
"The store cannot be switched.","ストアを切り替えられません。"
"Something went wrong.","問題が発生しました。"
"All Store Views","全てのストアビュー"
"-- Please Select --","-- 選択してください --"
"Admin","管理者"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","ストアコードは文字 (a-z), 数字 (0-9) かアンダースコア (_)を含んでいなければなりません、そして最初のキャラクターは文字でなければなりません。"
"Name is required","名前が必須です"
"The default website isn't defined. Set the website and try again.","デフォルトのウェブサイトが定義されていません。ウェブサイトを設定して再度お試し下さい。"
"The default website is invalid. Make sure no more than one default is defined and try again.","デフォルトのウェブサイトが無効です。複数のデフォルトが定義されていないことを確認し、再度お試し下さい。"
"no such entity exception","そのようなエンティティ例外はありません"
"Your Language:","あなたの言語:"
"Your Language","あなたの言語"
"Language","言語"
"Select Store","ストア選択"
"Configuration","設定"
"Various XML configurations that were collected across modules and merged","モジュール間で収集されマージされたさまざまなXML構成"
"Layouts","レイアウト"
"Layout building instructions","レイアウト構築の指示"
"Blocks HTML output","ブロックHTML出力"
"Page blocks HTML","ページブロックHTML"
"Collections Data","コレクションデータ"
"Collection data files","コレクションデータファイル"
"Reflection Data","クラス定義データ"
"API interfaces reflection data","APIインターフェースリフレクションデータ"
"Database DDL operations","データベースDDLキャッシュ"
"Results of DDL queries, such as describing tables or indexes","DDL問合せの結果（表または索引の記述など）"
"Compiled Config","コンパイル済みの設定"
"Compilation configuration","コンパイルの構成"
