"Customer Address Attributes","سمات عنوان العميل"
"Add New Attribute","اضافة سمة جديدة"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Save Attribute","حفظ السمات"
"Delete Attribute","حذف السمة"
"Edit Customer Address Attribute ""%1""","تعديل سمة عنوان العميل ""%1"""
"New Customer Address Attribute","سمة عنوان العميل الجديد"
"Input Type","نوع الإدخال"
"Lines Count","عدد الأسطر"
"Valid range 2-20","النطاق الصالح 2-20"
"Input Validation","التحقق من صحة المدخلات"
"None","لا شئ"
"Minimum Text Length","الحد الأدنى لطول النص"
"Maximum Text Length","الحد الأقصى لطول النص"
"Maximum File Size (bytes)","الحد الأقصى ""لحجم الملف"" (بايت)"
"File Extensions","امتدادات الملفات"
"Comma separated","Comma separated"
"Maximum Image Width (px)","الحد الأقصى لعرض الصورة (px)"
"Maximum Image Height (px)","ارتفاع الصورة كحد أقصى (px)"
"Input/Output Filter","تصفية الإدخال/الإخراج"
"Minimal value","قيمة الحد الأدنى"
"Maximum value","الحد الأقصى للقيمة"
"Add to Column Options","إضافة إلى خيارات الأعمدة"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","اختر ""نعم"" لإضافة هذه السمة إلى قائمة خيارات العمود في شبكة العميل."
"Use in Filter Options","استخدام خيارات التصفية"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","اختر ""نعم"" لإضافة هذه السمة إلى قائمة خيارات العمود في شبكة العميل."
"Use in Search Options","استخدام في خيارات البحث"
"Use in Search Option","استخدام في خيارات البحث"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","اختر ""نعم"" لإضافة هذه السمة إلى قائمة خيارات العمود في شبكة العميل."
"Storefront Properties","خصائص الواجهة"
"Show on Storefront","إظهار في الواجهة"
"Sort Order","الترتيب"
"Forms to Use In","Forms to Use In"
"Properties","خصائص"
"Manage Label / Options","ادارة علامة/ خيارات"
"Attribute Information","معلومات السمة"
"Visible to Customer","مرئية للعملاء"
"No","لا"
"Yes","نعم"
"Customer Attributes","سمات العميل"
"Edit Customer Attribute ""%1""","Edit Customer Attribute ""%1"""
"New Customer Attribute","New Customer Attribute"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","إستخدام داخلي. تأكد من أن كنت لا تستخدم مسافات أو أكثر من %1 رمز."
"Manage Form Types","Manage Form Types"
"New Form Type","نوع النموذج الجديد"
"Edit Form Type ""%1""","تعديل نوع النموذج ""%1"""
"General Information","المعلومات العامة"
"-- Please Select --","--الرجاء الاختيار-"
"Based On","اعتمادا على"
"Form Label","تسمية النموذج"
"All Themes","جميع القوالب"
"For Theme","للقالب"
"Store View","عرض المتجر"
"Form Code","Form Code"
"Form Title","عنوان النموذج"
"General","عام"
"New Fieldset","مجموعة-حقول جديدة"
"Save","حفظ"
"Remove","ازالة"
"Cancel","إلغاء"
"Attributes","الصفات"
"Form Type Information","Form Type Information"
"Type Code","Type Code"
"Label","علامة"
"Theme","الثيم"
"System","النظام"
"Customer","زبون"
"Manage Customer Address Attributes","إدارة سمات عنوان العميل"
"You cannot delete this attribute.","لا يمكنك حذف هذه السمة."
"You deleted the customer address attribute.","تم حذف سمة عنوان العميل."
"We can't delete the customer address attribute right now.","لا يمكننا حذف سمة عنوان العميل الآن."
"This attribute no longer exists.","هذه السمات لم تعد موجوده."
"You cannot edit this attribute.","لا يمكنك تعديل هذه السمة."
"Edit Customer Address Attribute","تعديل سمة عنوان العميل"
"You saved the customer address attribute.","You saved the customer address attribute."
"We can't save the customer address attribute right now.","ونحن لا يمكننا حفظ سمة عنوان العميل الآن."
"An attribute with this code already exists.","سمة بهذا الكود موجودة سابقا."
"Manage Customer Attributes","Manage Customer Attributes"
"You deleted the customer attribute.","You deleted the customer attribute."
"The attribute no longer exists.","The attribute no longer exists."
"Edit Customer Attribute","Edit Customer Attribute"
"You saved the customer attribute.","You saved the customer attribute."
"We can't save the form type right now.","We can't save the form type right now."
"This system form type cannot be deleted.","This system form type cannot be deleted."
"The form type has been deleted.","The form type has been deleted."
"We can't delete the form type right now.","لا يمكننا حذف نوع النموذج الآن."
"Customer Address Registration","Customer Address Registration"
"Customer Account Address","Customer Account Address"
"Customer Registration","Customer Registration"
"Customer Account Edit","Customer Account Edit"
"Admin Checkout","Admin Checkout"
"Use helper with defined EAV entity.","استخدم مساعد مع إيف كيانا محدداً."
"Length Only","Length Only"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Use Default Value","استخدام قيمة افتراضية"
"Fieldset Properties","Fieldset Properties"
"Fieldset Title","Fieldset Title"
"Fieldset Code","Fieldset Code"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","This fieldset is not empty!"
"Choose Website:","Choose Website:"
"Please confirm site switching. All data that hasn't been saved will be lost.","الرجاء التأكد من تحويل النطاق. سيتم فقدان كافة البيانات التي لم يتم حفظها."
"* Required Fields","* حقول مطلوبة"
"Contact Information","بيانات الاتصال"
"Address","العنوان"
"Street Address","عنوان الشارع"
"Street Address %1","عنوان الشارع %1"
"VAT Number","VAT Number"
"City","City"
"State/Province","State/Province"
"Please select a region, state or province.","من فضلك اختر منطقة، ولاية أو محافظة."
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"This is your default billing address.","This is your default billing address."
"Use as my default billing address","استخدم كعنوان الدفع الافتراضي"
"This is your default shipping address.","هذا هو عنوان الشحن الافتراضي الخاص بك."
"Use as my default shipping address","استخدم كعنوان الشحن الافتراضي"
"Save Address","حفظ عنوان"
"Go back","رجوع"
"Account Information","معلومات الحساب"
"Change Email","تغيير البريد الإلكتروني"
"Change Password","تغيير كلمة المرور"
"Change Email and Password","تغيير كلمة البريد الإلكتروني ولكمة المرور"
"Email","البريد الإلكتروني"
"Current Password","كلمة المرور الحالية"
"New Password","كلمة المرور الجديدة"
"Password Strength","قوة كلمة المرور"
"No Password","لا يوجد كلمة مرور"
"Confirm New Password","تأكيد كلمة المرور الجديدة"
"Personal Information","المعلومات الشخصية"
"Sign Up for Newsletter","التسجيل في النشرة البريدية"
"Address Information","معلومات العنوان"
"Company","الشركة"
"Phone Number","رقم الهاتف"
"Sign-in Information","بيانات الدخول"
"Password","كلمة المرور"
"Confirm Password","تأكيد كلمة المرور"
"Create an Account","انشاء حساب"
"Back","رجوع"
"Customer Address","عنوان العميل"
"Default Values","القيم الافتراضية"
"Fax","فاكس"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Store Credit","Store Credit"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
