"Customer Address Attributes","കസ്റ്റമർ അഡ്രസ് ആട്രിബ്യൂട്ടുകൾ"
"Add New Attribute","പുതിയ ആട്രിബ്യൂട്ട് ചേർക്കുക"
"Save and Continue Edit","സേവ് ചെയ്ത്എഡിറ്റ് തുടരുക"
"Save Attribute","ആട്രിബ്യൂട്ട് സേവ് ചെയ്യുക"
"Delete Attribute","ആട്രിബ്യൂട്ട് ഇല്ലാതാക്കുക"
"Edit Customer Address Attribute ""%1""","ഉപഭോക്തൃ വിലാസ ആട്രിബ്യൂട്ട് ""%1"" എഡിറ്റുചെയ്യുക"
"New Customer Address Attribute","പുതിയ ഉപഭോക്തൃ വിലാസ ആട്രിബ്യൂട്ട്"
"Input Type","ഇൻപുട്ട് ടൈപ്പ്"
"Lines Count","വരികളുടെ എണ്ണം"
"Valid range 2-20","സാധുവായ ശ്രേണി 2-20"
"Input Validation","ഇൻപുട്ട് മൂല്യനിർണ്ണയം"
"None","ഒന്നുമില്ല"
"Minimum Text Length","കുറഞ്ഞ വാചക ദൈർഘ്യം"
"Maximum Text Length","പരമാവധി വാചക ദൈർഘ്യം"
"Maximum File Size (bytes)","Maximum File Size (bytes)"
"File Extensions","File Extensions"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Maximum Image Width (px)"
"Maximum Image Height (px)","Maximum Image Height (px)"
"Input/Output Filter","Input/Output Filter"
"Minimal value","Minimal value"
"Maximum value","Maximum value"
"Add to Column Options","Add to Column Options"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Select ""Yes"" to add this attribute to the list of column options in the customer grid."
"Use in Filter Options","Use in Filter Options"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Select ""Yes"" to add this attribute to the list of filter options in the customer grid."
"Use in Search Options","Use in Search Options"
"Use in Search Option","Use in Search Option"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","Select ""Yes"" to add this attribute to the list of search options in the customer grid."
"Storefront Properties","Storefront Properties"
"Show on Storefront","Show on Storefront"
