"Customer Address Attributes","Attributi indirizzo cliente"
"Add New Attribute","Aggiungi un nuovo attributo"
"Save and Continue Edit","Salva e continua modifica"
"Save Attribute","Salva Attributo"
"Delete Attribute","Elimina l'attributo"
"Edit Customer Address Attribute ""%1""","Modifica l'attributo indirizzo cliente ""%1"""
"New Customer Address Attribute","Nuovo attributo indirizzo cliente"
"Input Type","Tipo di input"
"Lines Count","Linee totali"
"Valid range 2-20","Intervallo valido: 2-20"
"Input Validation","Validazione Input"
"None","Nessuno"
"Minimum Text Length","Lunghezza minima del testo"
"Maximum Text Length","Lunghezza massima del testo"
"Maximum File Size (bytes)","Dimensioni massime File (byte)"
"File Extensions","Estensioni file"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Larghezza massima dell'immagine (px)"
"Maximum Image Height (px)","Altezza massima dell'immagine (px)"
"Input/Output Filter","Filtro Input/Output"
"Minimal value","Valore minimo"
"Maximum value","Valore massimo"
"Add to Column Options","Aggiungi alle Opzioni di Colonna"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Selezionare ""Sì"" per aggiungere questo attributo all'elenco delle opzioni di ricerca nella griglia cliente."
"Use in Filter Options","Usa nelle opzioni del filtro"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Selezionare ""Sì"" per aggiungere questo attributo ai filtri delle opzioni nella griglia cliente."
"Use in Search Options","Usa nelle opzioni di ricerca"
"Use in Search Option","Usa nelle opzioni di ricerca"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","Selezionare ""Sì"" per aggiungere questo attributo all'elenco delle opzioni di ricerca nella griglia del cliente."
"Storefront Properties","Proprietà Frontend negozio"
"Show on Storefront","Mostra nel Frontend"
"Sort Order","Ordinamento"
"Forms to Use In","Form per l'uso In"
"Properties","Proprietà"
"Manage Label / Options","Gestisci Etichette / Opzioni"
"Attribute Information","Informazione Attributo"
"Visible to Customer","Visibile al cliente"
"No","No"
"Yes","Sì"
"Customer Attributes","Attributi cliente"
"Edit Customer Attribute ""%1""","Modifica l'attributo del cliente ""%1"""
"New Customer Attribute","Nuovo attributo cliente"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Utilizzato internamente. Assicurarsi di non utilizzare spazi o più di %1 simboli."
"Manage Form Types","Gestisci i tipi di form"
"New Form Type","Nuovo tipo di form"
"Edit Form Type ""%1""","Modifica tipo di form ""%1"""
"General Information","Informazioni Generali"
"-- Please Select --","-- Seleziona --"
"Based On","Basato su"
"Form Label","Etichetta form"
"All Themes","Tutti i temi"
"For Theme","Per tema"
"Store View","Vista Negozio"
"Form Code","Codice form"
"Form Title","Titolo form"
"General","Generale"
"New Fieldset","Nuovo fieldset"
"Save","Salva"
"Remove","Elimina"
"Cancel","Annulla"
"Attributes","Attributi"
"Form Type Information","Informazioni tipo form"
"Type Code","Codice tipo"
"Label","Etichetta"
"Theme","Tema"
"System","Sistema"
"Customer","Cliente"
"Manage Customer Address Attributes","Getisci attributi indirizzo cliente"
"You cannot delete this attribute.","Non è possibile eliminare questo attributo."
"You deleted the customer address attribute.","È stato eliminato l'attributo di indirizzo del cliente."
"We can't delete the customer address attribute right now.","Non è possibile eliminare l'attributo di indirizzo del cliente in questo momento."
"This attribute no longer exists.","Questo attributo non esiste più."
"You cannot edit this attribute.","Non è possibile modificare questo attributo."
"Edit Customer Address Attribute","Modifica l'attributo di indirizzo del cliente"
"You saved the customer address attribute.","Hai salvato l'attributo dell'indirizzo del cliente."
"We can't save the customer address attribute right now.","Non è possibile eliminare l'attributo di indirizzo del cliente in questo momento."
"An attribute with this code already exists.","Esiste già un attributo con questo codice."
"Manage Customer Attributes","Gestisci gli attributi del cliente"
"You deleted the customer attribute.","È stato eliminato l'attributo cliente."
"The attribute no longer exists.","Questo attributo non esiste più."
"Edit Customer Attribute","Modifica attributo cliente"
"You saved the customer attribute.","Hai salvato l'attributo cliente."
"We can't save the form type right now.","Non è possibile salvare il tipo di form in questo momento."
"This system form type cannot be deleted.","Questo tipo di form di sistema non può essere eliminato."
"The form type has been deleted.","Il tipo di form è stato eliminato."
"We can't delete the form type right now.","Non è possibile eliminare il tipo di form in questo momento."
"Customer Address Registration","Registrazione indirizzo cliente"
"Customer Account Address","Indirizzo account cliente"
"Customer Registration","Registrazione cliente"
"Customer Account Edit","Modifica account cliente"
"Admin Checkout","Admin checkout"
"Use helper with defined EAV entity.","Usa helper con una entità EAV definita."
"Length Only","Solo lunghezza"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Use Default Value","Usa il valore predefinito"
"Fieldset Properties","Proprietà fieldset"
"Fieldset Title","Titolo Fieldset"
"Fieldset Code","Codice Fieldset"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","Questo fieldset non è vuoto!"
"Choose Website:","Scegliere il website:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Si prega di confermare il cambio ambito di applicazione. Tutti i dati non salvati andranno persi."
"* Required Fields","* Campi obbligatori"
"Contact Information","Informazioni di Contatto"
"Address","Indirizzo"
"Street Address","Indirizzo"
"Street Address %1","Indirizzo %1"
"VAT Number","VAT Number"
"City","City"
"State/Province","State/Province"
"Please select a region, state or province.","Seleziona la regione, stato o provincia."
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"This is your default billing address.","Questo è il tuo indirizzo di fatturazione predefinito."
"Use as my default billing address","Usa come indirizzo di fatturazione predefinito"
"This is your default shipping address.","Questo è il tuo indirizzo di spedizione predefinito."
"Use as my default shipping address","Usa come indirizzo di spedizione predefinito"
"Save Address","Salva indirizzo"
"Go back","Indietro"
"Account Information","Informazioni sull'account"
"Change Email","Cambia email"
"Change Password","Cambia Password"
"Change Email and Password","Cambia E-mail e Password"
"Email","Email"
"Current Password","Password attuale"
"New Password","Nuova Password"
"Password Strength","Sicurezza della password"
"No Password","Nessuna Password"
"Confirm New Password","Conferma nuova Password"
"Personal Information","Informazioni personali"
"Sign Up for Newsletter","Iscriviti alla Newsletter"
"Address Information","Informazioni indirizzo"
"Company","Azienda"
"Phone Number","Numero di telefono"
"Sign-in Information","Informazioni di accesso"
"Password","Password"
"Confirm Password","Conferma password"
"Create an Account","Crea un Account"
"Back","Indietro"
"Customer Address","Indirizzo cliente"
"Default Values","Valori predefiniti"
"Fax","Fax"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Store Credit","Store Credit"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
