"Customer Address Attributes","පාරිභෝගික ලිපින ගුණාංග"
"Add New Attribute","නව ගුණාංගයක් එක් කරන්න"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Save Attribute","ගුණාංගය සුරකින්න"
"Delete Attribute","ගුණාංගය මකන්න"
"Edit Customer Address Attribute ""%1""","පාරිභෝගික ලිපින ගුණාංගය ""%1"" සංස්කරණය කරන්න"
"New Customer Address Attribute","නව පාරිභෝගික ලිපින ගුණාංගය"
"Input Type","ආදාන වර්ගය"
"Lines Count","රේඛා ගණන"
"Valid range 2-20","වලංගු පරාසය 2-20"
"Input Validation","ආදාන වලංගුකරණය"
"None","කිසිවක් නැත"
"Minimum Text Length","අවම පෙළ දිග"
"Maximum Text Length","උපරිම පෙළ දිග"
"Maximum File Size (bytes)","උපරිම ගොනු ප්‍රමාණය (බයිට්)"
"File Extensions","ගොනු දිගු"
"Comma separated","Comma separated"
"Maximum Image Width (px)","උපරිම රූප පළල (px)"
"Maximum Image Height (px)","උපරිම රූප උස (px)"
"Input/Output Filter","ආදාන/ප්‍රතිදාන පෙරහන"
"Minimal value","අවම අගය"
"Maximum value","උපරිම අගය"
"Add to Column Options","තීරු විකල්ප වෙත එක් කරන්න"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","පාරිභෝගික ජාලයේ තීරු විකල්ප ලැයිස්තුවට මෙම ගුණාංගය එක් කිරීමට ""ඔව්"" තෝරන්න."
"Use in Filter Options","පෙරහන් විකල්ප තුළ භාවිතා කරන්න"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","පාරිභෝගික ජාලයේ පෙරහන් විකල්ප ලැයිස්තුවට මෙම ගුණාංගය එක් කිරීමට ""ඔව්"" තෝරන්න."
"Use in Search Options","සෙවුම් විකල්පවල භාවිතා කරන්න"
"Use in Search Option","සෙවුම් විකල්පය තුළ භාවිතා කරන්න"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","පාරිභෝගික ජාලයේ සෙවුම් විකල්ප ලැයිස්තුවට මෙම ගුණාංගය එක් කිරීමට ""ඔව්"" තෝරන්න."
"Storefront Properties","වෙළඳසැල් ඉදිරිපස දේපල"
"Show on Storefront","වෙළඳසැල ඉදිරිපිට පෙන්වන්න"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Forms to Use In","භාවිතා කිරීමට පෝරම"
"Properties","දේපළ"
"Manage Label / Options","ලේබලය / විකල්ප කළමනාකරණය කරන්න"
"Attribute Information","ගුණාංග තොරතුරු"
"Visible to Customer","පාරිභෝගිකයාට දෘශ්‍යමාන වේ"
"No","නැත"
"Yes","ඔව්"
"Customer Attributes","පාරිභෝගික ගුණාංග"
"Edit Customer Attribute ""%1""","""%1"" පාරිභෝගික ගුණාංගය සංස්කරණය කරන්න"
"New Customer Attribute","නව පාරිභෝගික ගුණාංගය"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","මෙය අභ්යන්තරව භාවිතා වේ. ඔබ හිස්තැන් හෝ සංකේත %1 කට වඩා භාවිතා නොකරන බවට වග බලා ගන්න."
"Manage Form Types","පෝරම වර්ග කළමනාකරණය කරන්න"
"New Form Type","නව පෝරමය වර්ගය"
"Edit Form Type ""%1""","""%1"" ආකාරයේ ආකෘති පත්‍රය සංස්කරණය කරන්න"
"General Information","සාමාන්ය තොරතුරු"
"-- Please Select --","-- කරුණාකර තෝරන්න --"
"Based On","මත පදනම්ව"
"Form Label","පෝරම ලේබලය"
"All Themes","සියලුම තේමා"
"For Theme","තේමාව සඳහා"
"Store View","ගබඩා දර්ශනය"
"Form Code","පෝරම කේතය"
"Form Title","පෝරමයේ මාතෘකාව"
"General","ජනරාල්"
"New Fieldset","නව ක්ෂේත්‍ර කට්ටලය"
"Save","සුරකින්න"
"Remove","ඉවත් කරන්න"
"Cancel","අවලංගු කරන්න"
"Attributes","ගුණාංග"
"Form Type Information","පෝරම වර්ගය තොරතුරු"
"Type Code","කේතය ටයිප් කරන්න"
"Label","ලේබලය"
"Theme","තේමාව"
"System","පද්ධතිය"
"Customer","පාරිභෝගික"
"Manage Customer Address Attributes","පාරිභෝගික ලිපින ගුණාංග කළමනාකරණය කරන්න"
"You cannot delete this attribute.","ඔබට මෙම ගුණාංගය මකා දැමිය නොහැක."
"You deleted the customer address attribute.","ඔබ පාරිභෝගික ලිපින ගුණාංගය මකා ඇත."
"We can't delete the customer address attribute right now.","අපට දැන් පාරිභෝගික ලිපින ගුණාංගය මකා දැමිය නොහැක."
"This attribute no longer exists.","මෙම ගුණාංගය තවදුරටත් නොපවතී."
"You cannot edit this attribute.","ඔබට මෙම ගුණාංගය සංස්කරණය කළ නොහැක."
"Edit Customer Address Attribute","පාරිභෝගික ලිපින ගුණාංගය සංස්කරණය කරන්න"
"You saved the customer address attribute.","ඔබ පාරිභෝගික ලිපින ගුණාංගය සුරකින ලදී."
"We can't save the customer address attribute right now.","අපට දැන් පාරිභෝගික ලිපින ගුණාංගය සුරැකිය නොහැක."
"An attribute with this code already exists.","මෙම කේතය සහිත ගුණාංගයක් දැනටමත් පවතී."
"Manage Customer Attributes","පාරිභෝගික ගුණාංග කළමනාකරණය කරන්න"
"You deleted the customer attribute.","ඔබ පාරිභෝගික ගුණාංගය මකා ඇත."
"The attribute no longer exists.","ගුණාංගය තවදුරටත් නොපවතී."
"Edit Customer Attribute","පාරිභෝගික ගුණාංගය සංස්කරණය කරන්න"
"You saved the customer attribute.","ඔබ පාරිභෝගික ගුණාංගය සුරකින ලදී."
"We can't save the form type right now.","අපට දැන් පෝරමය වර්ගය සුරැකිය නොහැක."
"This system form type cannot be deleted.","මෙම පද්ධති ආකෘති වර්ගය මකා දැමිය නොහැක."
"The form type has been deleted.","පෝරම වර්ගය මකා ඇත."
"We can't delete the form type right now.","අපට දැන් පෝරමය වර්ගය මකා දැමිය නොහැක."
"Customer Address Registration","පාරිභෝගික ලිපිනය ලියාපදිංචි කිරීම"
"Customer Account Address","පාරිභෝගික ගිණුම් ලිපිනය"
"Customer Registration","පාරිභෝගික ලියාපදිංචිය"
"Customer Account Edit","පාරිභෝගික ගිණුම් සංස්කරණය"
"Admin Checkout","පරිපාලක පිටවීම"
"Use helper with defined EAV entity.","නිර්වචනය කළ EAV ආයතනය සමඟ සහායක භාවිතා කරන්න."
"Length Only","දිග පමණි"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Use Default Value","පෙරනිමි අගය භාවිතා කරන්න"
"Fieldset Properties","ෆීල්ඩ්සෙට් ගුණාංග"
"Fieldset Title","ක්ෂේත්ර කට්ටල මාතෘකාව"
"Fieldset Code","ක්ෂේත්ර කට්ටල කේතය"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","මෙම ක්ෂේත්‍ර කට්ටලය හිස් නොවේ!"
"Choose Website:","වෙබ් අඩවිය තෝරන්න:"
"Please confirm site switching. All data that hasn't been saved will be lost.","කරුණාකර අඩවි මාරු කිරීම තහවුරු කරන්න. සුරැකී නැති සියලුම දත්ත නැති වී යයි."
"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Contact Information","සබඳතා තොරතුරු"
"Address","ලිපිනය"
"Street Address","වීථි ලිපිනය"
"Street Address %1","වීදි ලිපිනය %1"
"VAT Number","VAT Number"
"City","City"
"State/Province","State/Province"
"Please select a region, state or province.","කරුණාකර කලාපයක්, ප්‍රාන්තයක් හෝ පළාතක් තෝරන්න."
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"This is your default billing address.","මෙය ඔබගේ පෙරනිමි බිල්පත් ලිපිනයයි."
"Use as my default billing address","මගේ පෙරනිමි බිල්පත් ලිපිනය ලෙස භාවිතා කරන්න"
"This is your default shipping address.","මෙය ඔබගේ පෙරනිමි නැව්ගත කිරීමේ ලිපිනයයි."
"Use as my default shipping address","මගේ පෙරනිමි නැව්ගත කිරීමේ ලිපිනය ලෙස භාවිතා කරන්න"
"Save Address","ලිපිනය සුරකින්න"
"Go back","ආපසු යන්න"
"Account Information","ගිණුම් තොරතුරු"
"Change Email","ඊ - මේල් වෙනස් කරන්න"
"Change Password","මුරපදය වෙනස් කරන්න"
"Change Email and Password","ඊමේල් සහ මුරපදය වෙනස් කරන්න"
"Email","විද්යුත් තැපෑල"
"Current Password","වත්මන් මුර පදය"
"New Password","නව මුරපදය"
"Password Strength","මුරපදයේ ශක්තිය"
"No Password","මුරපදය නැත"
"Confirm New Password","නව මුරපදය තහවුරු කරන්න"
"Personal Information","පුද්ගලික තොරතුරු"
"Sign Up for Newsletter","පුවත් පත්‍රිකාව සඳහා ලියාපදිංචි වන්න"
"Address Information","ලිපින තොරතුරු"
"Company","සමාගම"
"Phone Number","දුරකථන අංකය"
"Sign-in Information","පුරනය වීමේ තොරතුරු"
"Password","මුරපදය"
"Confirm Password","මුරපදය තහවුරු කරන්න"
"Create an Account","ගිණුමක් තනන්න"
"Back","ආපසු"
"Customer Address","පාරිභෝගික ලිපිනය"
"Default Values","පෙරනිමි අගයන්"
"Fax","ෆැක්ස්"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Comma separated. Forbidden file extensions: %1.","කොමාවකින් වෙන් කරන ලද. තහනම් ගොනු දිගු: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","දෝෂයක් හේතුවෙන් ගුණාංගය සුරැකිය නොහැක. ඔබගේ තොරතුරු තහවුරු කර නැවත උත්සාහ කරන්න. දෝෂය දිගටම පවතින්නේ නම්, කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"Please correct the value for file extensions.","කරුණාකර ගොනු දිගු සඳහා අගය නිවැරදි කරන්න."
"Store Credit","ගබඩා ණය"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","උපලක්ෂණ කේතය අනුලකුණු %1 ක් හෝ ඊට අඩු විය යුතුය. කේතය නැවත ඇතුළු කර නැවත උත්සාහ කරන්න."
