"Customer Address Attributes","Alamat Pelanggan Atribut"
"Add New Attribute","Tambahkan Atribut Baru"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Save Attribute","Simpan Atribut"
"Delete Attribute","Hapus Atribut"
"Edit Customer Address Attribute ""%1""","Edit Atribut Alamat Pelanggan ""%1"""
"New Customer Address Attribute","Atribut Pelanggan Baru"
"Input Type","Tipe masukan"
"Lines Count","Jumlah baris"
"Valid range 2-20","Kisaran yang valid 2-20"
"Input Validation","Validasi Masukan"
"None","Tidak ada"
"Minimum Text Length","Panjang Teks Minimum"
"Maximum Text Length","Panjang Teks Maksimum"
"Maximum File Size (bytes)","Ukuran File Maksimum (byte)"
"File Extensions","Ekstensi file"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Lebar Gambar Maksimum (px)"
"Maximum Image Height (px)","Tinggi Gambar Maksimum (px)"
"Input/Output Filter","Filter Input / Output"
"Minimal value","Nilai minimum"
"Maximum value","Nilai maksimum"
"Add to Column Options","Tambahkan ke Kolom Pilihan"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Pilih ""Ya"" untuk menambahkan atribut ini ke daftar opsi kolom di kotak pelanggan."
"Use in Filter Options","Gunakan di Filter Options"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Pilih ""Ya"" untuk menambahkan atribut ini ke daftar opsi filter di kotak pelanggan."
"Use in Search Options","Gunakan di Pilihan Pencarian"
"Use in Search Option","Gunakan di Opsi Pencarian"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","Pilih ""Ya"" untuk menambahkan atribut ini ke daftar opsi pencarian di kotak pelanggan."
"Storefront Properties","Etalase properti"
"Show on Storefront","Tampilkan di etalase"
"Sort Order","Pengurutan"
"Forms to Use In","Formulir untuk Penggunaan di"
"Properties","Properti"
"Manage Label / Options","Kelola Label / Pilihan"
"Attribute Information","Informasi Atribut"
"Visible to Customer","Terlihat oleh Pelanggan"
"No","Tidak"
"Yes","Ya"
"Customer Attributes","Atribut Pelanggan"
"Edit Customer Attribute ""%1""","Edit Atribut Pelanggan "" %1 """
"New Customer Attribute","Atribut Pelanggan Baru"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Ini digunakan secara internal. Pastikan Anda tidak menggunakan spasi atau lebih dari %1 simbol."
"Manage Form Types","Mengelola Jenis Formulir"
"New Form Type","Tipe Bentuk Baru"
"Edit Form Type ""%1""","Edit Form Type "" %1 """
"General Information","Informasi Umum"
"-- Please Select --","-- Silahkan pilih --"
"Based On","Berdasarkan"
"Form Label","Label formulir"
"All Themes","Semua tema"
"For Theme","Untuk tema"
"Store View","Tampilan toko"
"Form Code","Kode formulir"
"Form Title","Judul Formulir"
"General","Umum"
"New Fieldset","Fieldset baru"
"Save","Menyimpan"
"Remove","Hapus"
"Cancel","Batal"
"Attributes","Atribut"
"Form Type Information","Informasi Jenis Formulir"
"Type Code","Masukkan Kode"
"Label","Label"
"Theme","Tema"
"System","Sistem"
"Customer","Pelanggan"
"Manage Customer Address Attributes","Kelola Atribut Alamat Pelanggan"
"You cannot delete this attribute.","Anda tidak dapat menghapus atribut ini."
"You deleted the customer address attribute.","Anda menghapus atribut alamat pelanggan."
"We can't delete the customer address attribute right now.","Kami tidak dapat menghapus atribut alamat pelanggan sekarang."
"This attribute no longer exists.","Atribut ini sudah tidak ada lagi."
"You cannot edit this attribute.","Anda tidak dapat mengedit atribut ini."
"Edit Customer Address Attribute","Edit Atribut Alamat Pelanggan"
"You saved the customer address attribute.","Anda menyimpan atribut alamat pelanggan."
"We can't save the customer address attribute right now.","Kami tidak dapat menyimpan atribut alamat pelanggan saat ini."
"An attribute with this code already exists.","Atribut dengan kode ini sudah ada."
"Manage Customer Attributes","Kelola Atribut Pelanggan"
"You deleted the customer attribute.","Anda menghapus atribut pelanggan."
"The attribute no longer exists.","Atribut sudah tidak ada lagi."
"Edit Customer Attribute","Edit Atribut Pelanggan"
"You saved the customer attribute.","Anda menyimpan atribut pelanggan."
"We can't save the form type right now.","Kita tidak bisa menyimpan tipe form sekarang."
"This system form type cannot be deleted.","Jenis bentuk sistem ini tidak dapat dihapus."
"The form type has been deleted.","Jenis form telah dihapus."
"We can't delete the form type right now.","Kami tidak dapat menghapus jenis formulir sekarang juga."
"Customer Address Registration","Pendaftaran Alamat Pelanggan"
"Customer Account Address","Alamat rekening nasabah"
"Customer Registration","Pendaftaran Pelanggan"
"Customer Account Edit","Edit Akun Pelanggan"
"Admin Checkout","Pemeriksaan Admin"
"Use helper with defined EAV entity.","Gunakan pembantu dengan entitas EAV yang ditentukan."
"Length Only","Hanya panjang"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Use Default Value","Gunakan Nilai Default"
"Fieldset Properties","Fieldset Properties"
"Fieldset Title","Judul Fieldset"
"Fieldset Code","Kode fieldset"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","Fieldset ini tidak kosong!"
"Choose Website:","Pilih Website:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Silakan konfirmasikan pengalihan situs. Semua data yang belum disimpan akan hilang."
"* Required Fields","* Bidang yang harus diisi"
"Contact Information","Informasi Kontak"
"Address","Alamat"
"Street Address","Alamat jalan"
"Street Address %1","Alamat %1"
"VAT Number","VAT Number"
"City","City"
"State/Province","State/Province"
"Please select a region, state or province.","Silakan pilih wilayah, negara bagian atau provinsi."
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"This is your default billing address.","Ini adalah alamat penagihan default Anda."
"Use as my default billing address","Gunakan sebagai alamat penagihan default saya"
"This is your default shipping address.","Ini adalah alamat pengiriman default Anda."
"Use as my default shipping address","Gunakan sebagai alamat pengiriman default saya"
"Save Address","Simpan Alamat"
"Go back","Kembali"
"Account Information","Informasi Akun"
"Change Email","Ganti Email"
"Change Password","Ganti kata sandi"
"Change Email and Password","Ubah Email dan Password"
"Email","E-mail"
"Current Password","Sandi terkini"
"New Password","Kata sandi baru"
"Password Strength","Kekuatan kata sandi"
"No Password","Tidak ada kata sandi"
"Confirm New Password","Konfirmasi password baru"
"Personal Information","Informasi pribadi"
"Sign Up for Newsletter","Mendaftar untuk Newsletter"
