"Customer Address Attributes","Attributs d’adresse client"
"Add New Attribute","Ajouter un attribut"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Save Attribute","Sauvegarder l'attribut"
"Delete Attribute","Supprimer l'attribut"
"Edit Customer Address Attribute ""%1""","Modifier l’attribut d’adresse client «%1 »"
"New Customer Address Attribute","Attribut de nouvelle adresse client"
"Input Type","Type de saisie"
"Lines Count","Nombre de lignes"
"Valid range 2-20","Plage valide : 2-20"
"Input Validation","Validation des entrées"
"None","Aucun"
"Minimum Text Length","Longueur minimale du texte"
"Maximum Text Length","Longueur maximale du texte"
"Maximum File Size (bytes)","Taille maximale du fichier (en bytes)"
"File Extensions","Extensions du fichier"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Largeur maximale de l'image (en px)"
"Maximum Image Height (px)","Hauteur maximale de l'image (en px)"
"Input/Output Filter","Filtre d'entrée / sortie"
"Minimal value","Valeur minimale"
"Maximum value","Valeur maximale"
"Add to Column Options","Ajoutez aux Options de colonne"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Sélectionnez ""Oui"" pour ajouter cet attribut à la liste des options de colonne dans le client de la grille."
"Use in Filter Options","Utiliser dans les options de filtre"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Sélectionnez ""Oui"" pour ajouter cet attribut à la liste des options de filtre dans la grille de clients."
"Use in Search Options","Utiliser dans les options de recherche"
"Use in Search Option","Utiliser dans l'option de recherche"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","Sélectionnez ""Oui"" pour ajouter cet attribut à la liste des options de recherche dans le client de la grille."
"Storefront Properties","Propriétés du front office"
"Show on Storefront","Afficher sur la vue boutique"
"Sort Order","Ordre de tri"
"Forms to Use In","Formulaires à utiliser dans"
"Properties","Propriétés"
"Manage Label / Options","Gérer les labels/les options"
"Attribute Information","Informations attributs"
"Visible to Customer","Visible par le client"
"No","Non"
"Yes","Oui"
"Customer Attributes","Attributs client"
"Edit Customer Attribute ""%1""","Editer l'attribut client ""%1"""
"New Customer Attribute","Nouveau Attribut client"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Ceci est utilisé en interne. Assurez-vous que vous n'utilisez pas d'espaces ou plus de %1 symboles."
"Manage Form Types","Gérer les types de formulaires"
"New Form Type","Nouveau type de formulaire"
