"Customer Address Attributes","Kundenadressenattribute"
"Add New Attribute","Neues Attribut"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Save Attribute","Attribut speichern"
"Delete Attribute","Attribut löschen"
"Edit Customer Address Attribute ""%1""","Kunden Adresse Attribut ""%1"" bearbeiten"
"New Customer Address Attribute","Neues Kunden-Adress-Attribut"
"Input Type","Eingabetyp"
"Lines Count","Zeilenanzahl"
"Valid range 2-20","Gültiger Bereich: 2-20"
"Input Validation","Eingabeüberprüfung"
"None","Keine"
"Minimum Text Length","Minimale Textlänge"
"Maximum Text Length","Maximale Textlänge"
"Maximum File Size (bytes)","Maximale Dateigröße (Byte)"
"File Extensions","Datei-Erweiterungen"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Maximale Bildbreite (px)"
"Maximum Image Height (px)","Maximale Bildhöhe (px)"
"Input/Output Filter","Eingabe/Ausgabe-Filter"
"Minimal value","Minimaler Wert"
"Maximum value","Höchstwert"
"Add to Column Options","Spaltenoptionen hinzufügen"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","""Ja"" auswählen, um dieses Attribut zur Liste der Spaltenoptionen im Kundenraster hinzuzufügen."
"Use in Filter Options","In den Filter-Optionen verwenden"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","""Ja"" auswählen, um dieses Attribut zur Liste der Filteroptionen im Kundenraster hinzuzufügen."
"Use in Search Options","In Suchoptionen verwenden"
"Use in Search Option","In Suchoption verwenden"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","""Ja"" auswählen, um dieses Attribut zur Liste der Suchoptionen im Kundenraster hinzuzufügen."
"Storefront Properties","Frontend-Eigenschaften"
"Show on Storefront","Im Frontend anzeigen"
"Sort Order","Sortierreihenfolge"
"Forms to Use In","Formulare zur Verwendung"
"Properties","Eigenschaften"
"Manage Label / Options","Bezeichnungen/Optionen verwalten"
"Attribute Information","Attributinformation"
"Visible to Customer","Für die Kunden sichtbar"
"No","Nein"
"Yes","Ja"
"Customer Attributes","Kundenattribute"
"Edit Customer Attribute ""%1""","Bearbeiten von Kunden-Attribut ""%1"""
"New Customer Attribute","Neues Kunden-Attribut"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dies wird intern verwendet. Stellen Sie sicher, dass Sie keine Leerzeichen und nicht mehr als %1 Zeichen verwenden."
"Manage Form Types","Formulartypen verwalten"
"New Form Type","Neuer Formulartyp"
"Edit Form Type ""%1""","Formulartyp ""%1"" bearbeiten"
"General Information","Allgemeine Information"
"-- Please Select --","-- Bitte wählen --"
"Based On","Bitte bestätigen Sie, dass Sie die Seite wechseln möchten. Dadurch gehen alle nicht gespeicherten Informationen verloren!"
"Form Label","Formularlabel"
"All Themes","Alle Themen"
"For Theme","Für Thema"
"Store View","Store View"
"Form Code","Formularcode"
"Form Title","Formulartitel"
"General","Allgemein"
"New Fieldset","Neues Fieldset"
"Save","Speichern"
"Remove","Entfernen"
"Cancel","Stornieren"
"Attributes","Attribute"
"Form Type Information","Formulartypinformationen"
"Type Code","Typ Code"
"Label","Bezeichnung"
"Theme","Thema"
"System","System"
"Customer","Kunde"
"Manage Customer Address Attributes","Kundenadressattribute verwalten"
"You cannot delete this attribute.","Sie können dieses Attribut nicht löschen."
"You deleted the customer address attribute.","Sie haben das Kundenadressen-Attribut gelöscht."
"We can't delete the customer address attribute right now.","Wir können das Kundenaddressen-Attribut zur Zeit nicht löschen."
"This attribute no longer exists.","Dieses Attribut ist nicht mehr vorhanden."
"You cannot edit this attribute.","Dieses Attribut kann nicht bearbeitet werden."
"Edit Customer Address Attribute","Kundenadressenattribut bearbeiten"
"You saved the customer address attribute.","Das Kundenadressen-Attribut wurde gespeichert."
"We can't save the customer address attribute right now.","Wir können das Kundenaddressen-Attribut zur Zeit nicht speichern."
"An attribute with this code already exists.","Ein Attribut mit diesem Code existiert bereits."
"Manage Customer Attributes","Kundenattribute verwalten"
"You deleted the customer attribute.","Sie haben das Customer-Attribut gelöscht."
"The attribute no longer exists.","Dieses Attribut ist nicht mehr vorhanden."
"Edit Customer Attribute","Customer-Attribut bearbeiten"
"You saved the customer attribute.","Das Kundenattribut wurde gespeichert."
"We can't save the form type right now.","Wir können diesen Form-Typen zur Zeit nicht speichern."
"This system form type cannot be deleted.","Dieser Systemform-Typ kann nicht gelöscht werden."
"The form type has been deleted.","Der Form-Typ wurde gelöscht."
"We can't delete the form type right now.","Dieser Formulartyp kann derzeit nicht gelöscht werden."
"Customer Address Registration","Kundenadressenregistrierung"
"Customer Account Address","Kundenkontoadresse"
"Customer Registration","Neukunden-Anmeldung"
"Customer Account Edit","Kundenkonto bearbeiten"
"Admin Checkout","Admin-Checkout"
"Use helper with defined EAV entity.","Den Assistenten mit definierten EAV-Einheit verwenden"
"Length Only","Nur Länge"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Use Default Value","Standardwert verwenden"
"Fieldset Properties","Fieldset-Eigenschaften"
"Fieldset Title","Fieldset-Titel"
"Fieldset Code","Fieldset-Code"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","Das Fieldset ist nicht leer!"
"Choose Website:","Wählen Sie die Website:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Bitte Seitenwechsel bestätigen. Alle Daten, die noch nicht gespeichert wurden, gehen verloren."
"* Required Fields","* Pflichtfelder"
"Contact Information","Kontaktinformationen"
"Address","Adresse"
"Street Address","Straße"
"Street Address %1","Fax"
"VAT Number","VAT Number"
"City","City"
"State/Province","State/Province"
"Please select a region, state or province.","Wählen Sie eine Region, Bundesland oder Provinz."
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"This is your default billing address.","Standard Rechnungsadresse."
"Use as my default billing address","Als meine Standard-Rechnungsanschrift verwenden"
"This is your default shipping address.","Standard Lieferadresse."
"Use as my default shipping address","Als meine Standard-Lieferadresse verwenden"
"Save Address","Adresse speichern"
"Go back","Zurück"
"Account Information","Kontoinformation"
"Change Email","E-Mail ändern"
"Change Password","Passwort ändern"
"Change Email and Password","Passwort oder E-Mail ändern"
"Email","E-Mail"
"Current Password","Aktuelles Passwort"
"New Password","Neues Passwort"
"Password Strength","Passwortstärke"
"No Password","Kein Passwort"
"Confirm New Password","Neues Passwort bestätigen"
"Personal Information","Persönliche Daten"
"Sign Up for Newsletter","Abonnieren Sie den Newsletter"
"Address Information","Adressinformationen"
"Company","Firma"
"Phone Number","Telefonnummer"
"Sign-in Information","Anmeldeinformationen"
"Password","Passwort"
"Confirm Password","Passwort bestätigen"
"Create an Account","Ein Konto erstellen"
"Back","Zurück"
"Customer Address","Kundenadresse"
"Default Values","Standardwerte"
"Fax","Fax"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Store Credit","Store Credit"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
