"Customer Address Attributes","ویژگی های آدرس مشتری"
"Add New Attribute","افزودن ویژگی جدید"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Save Attribute","ذخیره‌ی ویژگی"
"Delete Attribute","حذف ویژگی"
"Edit Customer Address Attribute ""%1""","ویرایش ویژگی ""%1"" آدرس مشتری"
"New Customer Address Attribute","ویژگی آدرس مشتری جدید"
"Input Type","نوع ورودی"
"Lines Count","تعداد خطوط"
"Valid range 2-20","محدوده مجاز 2-20"
"Input Validation","اعتبار ورودی"
"None","هیچ یک"
"Minimum Text Length","حداقل طول متن"
"Maximum Text Length","حداکثر طول متن"
"Maximum File Size (bytes)","حداکثر اندازه فایل (بایت)"
"File Extensions","پسوند فایل"
"Comma separated","Comma separated"
"Maximum Image Width (px)","حداکثر عرض تصویر (پیکسل)"
"Maximum Image Height (px)","حداکثر ارتفاع تصویر (پیکسل)"
"Input/Output Filter","فیلتر ورودی / خروجی"
"Minimal value","حداقل مقدار"
"Maximum value","حداکثر مقدار"
"Add to Column Options","گزینه های افزودن به ستون"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","""بله"" را برای افزودن این ویژگی به لیست گزینه های ستون در شبکه مشتری انتخاب کنید."
"Use in Filter Options","استفاده از گزینه های فیلتر"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","""بله"" را برای افزودن این ویژگی به لیست گزینه های فیلتر در شبکه مشتری انتخاب کنید."
"Use in Search Options","استفاده از گزینه های جستجو"
"Use in Search Option","استفاده از گزینه جستجو"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","""بله"" را برای افزودن این ویژگی به لیست گزینه های جستجو در شبکه مشتری انتخاب کنید."
"Storefront Properties","ویژگی های فروشگاه"
"Show on Storefront","نمایش در فروشگاه"
"Sort Order","ترتيب سفارش"
"Forms to Use In","فرم ها برای استفاده در"
"Properties","مشخصات"
"Manage Label / Options","مدیریت برچسب / گزینه‌ها"
"Attribute Information","اطلاعات ویژگی"
"Visible to Customer","قابل مشاهده به مشتری"
"No","خیر"
"Yes","بله"
"Customer Attributes","ویژگی های مشتری"
"Edit Customer Attribute ""%1""","ویرایش ویژگی مشتری ""%1"""
"New Customer Attribute","ویژگی جدید مشتری"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","این در داخل استفاده می شود. اطمینان حاصل کنید که از فضاهای یا بیش از %1 نشانه استفاده نکنید."
"Manage Form Types","مدیریت انواع فرم"
"New Form Type","نوع جدید فرم"
"Edit Form Type ""%1""","ویرایش نوع فرم ""%1"""
"General Information","اطلاعات عمومی"
"-- Please Select --","-- لطفا انتخاب کنيد --"
"Based On","بر اساس"
"Form Label","برچسب فرم"
"All Themes","تمام تم ها"
"For Theme","برای تم"
"Store View","نمای فروشگاه"
"Form Code","کد فرم"
"Form Title","عنوان فرم"
"General","عمومی"
"New Fieldset","تنظیمات فیلد جدید"
"Save","ذخيره"
"Remove","برداشتن"
"Cancel","لغو"
"Attributes","ویژگی‌ ها"
"Form Type Information","اطلاعات نوع فرم"
