"Customer Address Attributes","Atrybuty adresu nabywcy"
"Add New Attribute","Dodaj cechę"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Save Attribute","Zapisz cechę"
"Delete Attribute","Usuń cechę"
"Edit Customer Address Attribute ""%1""","Edytuj atrybut adresu klienta ""%1"""
"New Customer Address Attribute","Nowy atrybut adresu klienta"
"Input Type","Typ pola"
"Lines Count","Liczba linii"
"Valid range 2-20","Prawidłowy zakres 2-20"
"Input Validation","Sprawdzanie danych wejściowych"
"None","Brak"
"Minimum Text Length","Minimalna długość  tekstu"
"Maximum Text Length","Maksymalna długość tekstu"
"Maximum File Size (bytes)","Maksymalny rozmiar pliku (bajty)"
"File Extensions","Rozszerzenia plików"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Maksymalna szerokość obrazu (px)"
"Maximum Image Height (px)","Maksymalna wysokość obrazu (px)"
"Input/Output Filter","Filtr wejścia/wyjścia"
"Minimal value","Minimalna wartość"
"Maximum value","Maksymalna wartość"
"Add to Column Options","Dodaj jako kolumnę"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Wybierz ""Tak"" żeby dodać ten atrybut do listy w kolumnie w siatce klienta."
"Use in Filter Options","Użyj w opcjach filtrowania"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Wybierz ""Tak"" żeby dodać ten atrybut do listy opcji filtra w siatce klienta."
"Use in Search Options","Wykorzystanie w opcji wyszukiwania"
"Use in Search Option","Wykorzystanie w opcji wyszukiwania"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","Wybierz ""Tak"" żeby dodać ten atrybut do listy opcji wyszukiwalnych w siatce klienta."
"Storefront Properties","Właściwości w sklepie"
"Show on Storefront","Pokaż na witrynie"
"Sort Order","Kolejność sortowania"
"Forms to Use In","Formularze do wykorzystania w"
"Properties","Właściwości"
"Manage Label / Options","Zarządzaj etykietami/opcjami"
"Attribute Information","Informacje cechy"
"Visible to Customer","Widoczny dla klienta"
"No","Nie"
"Yes","Tak"
"Customer Attributes","Cechy klienta"
"Edit Customer Attribute ""%1""","Edycja cechy klienta: %1"
"New Customer Attribute","Nowy atrybut klienta"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Ta wartość jest używana wewnętrznie. Upewnij się, że nie ma spacji lub więcej niż %1 symboli."
"Manage Form Types","Zarządzanie rodzajami formularzy"
"New Form Type","Nowy typ formularza"
"Edit Form Type ""%1""","Edycja typu formularza: %1"
"General Information","Ogólne"
"-- Please Select --","-- Prosimy wybrać --"
"Based On","Bazujący na"
"Form Label","Etykieta formularza"
"All Themes","Wszystkie motywy"
"For Theme","Dla motywu"
"Store View","Widok sklepu"
"Form Code","Kod formularza"
"Form Title","Tytuł formularza"
"General","Ogólne"
"New Fieldset","Nowy zestaw pól"
"Save","Zapisz"
"Remove","Usuń"
"Cancel","Anuluj"
"Attributes","Cechy"
"Form Type Information","Formularz typu informacji"
"Type Code","Kod typu"
"Label","Etykieta"
"Theme","Temat"
"System","System"
"Customer","Klient"
"Manage Customer Address Attributes","Zarządzanie cechami adresu klienta"
"You cannot delete this attribute.","Nie można usunąć tego atrybutu."
"You deleted the customer address attribute.","Usunięto cechę adresu."
"We can't delete the customer address attribute right now.","W tym momencie nie można usunąć cechy adresu."
"This attribute no longer exists.","Taki atrybut nie istnieje."
"You cannot edit this attribute.","Nie można edytować tego atrybutu."
"Edit Customer Address Attribute","Edytuj atrybut adres klienta"
"You saved the customer address attribute.","Zapisano cechę adresu klienta."
"We can't save the customer address attribute right now.","W tym momencie nie można zapisać cechy adresu klienta."
"An attribute with this code already exists.","Atrybut z tym kodem już istnieje."
"Manage Customer Attributes","Zarządzanie atrybutami klienta"
"You deleted the customer attribute.","Usunięto cechę klienta."
"The attribute no longer exists.","Taki atrybut nie istnieje."
"Edit Customer Attribute","Edytuj cechę klienta"
"You saved the customer attribute.","Zapisano cechę klienta."
"We can't save the form type right now.","Nie można zapisać typu formularza."
"This system form type cannot be deleted.","Systemowy typ nie może zostać usunięty."
"The form type has been deleted.","Typ został usunięty."
"We can't delete the form type right now.","Nie można usunąć typu formularza."
"Customer Address Registration","Rejestracja adresu klienta"
"Customer Account Address","Adres konta klienta"
"Customer Registration","Rejestracja klienta"
"Customer Account Edit","Edycja konta klienta"
"Admin Checkout","Zamówienie admina"
"Use helper with defined EAV entity.","Użyj pomocy ze zdefiniowaną jednostką EAV."
"Length Only","Length Only"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Use Default Value","Użyj wartości domyślnej"
"Fieldset Properties","Właściwości zestawu pól"
"Fieldset Title","Tytuł zestawu pól"
"Fieldset Code","Kod zestawu pól"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","Ten zestaw pól nie jest pusty!"
"Choose Website:","Wybierz stronę:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potwierdź zmianę poziomu. Wszystkie niezapisane dane zostaną utracone."
"* Required Fields","* pola wymagane"
"Contact Information","Informacje kontaktowe"
"Address","Adres"
"Street Address","Ulica i numer"
"Street Address %1","Ulica i numer %1"
"VAT Number","VAT Number"
"City","City"
"State/Province","State/Province"
"Please select a region, state or province.","Wybierz województwo lub region."
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"This is your default billing address.","To jest twój domyślny adres rozliczeniowy."
"Use as my default billing address","Użyj jako domyślnego adresu rozliczeniowego"
"This is your default shipping address.","To jest twój domyślny adres wysyłkowy."
"Use as my default shipping address","Użyj jako domyślnego adresu dostawy"
"Save Address","Zapisz adres"
"Go back","Powrót"
"Account Information","Dane konta"
"Change Email","Zmień adres email"
"Change Password","Zmień hasło"
"Change Email and Password","Zmień adres E-mail i hasło"
"Email","E-mail"
"Current Password","Bieżące hasło"
"New Password","Nowe hasło"
"Password Strength","Siła hasła"
"No Password","Bez hasła"
"Confirm New Password","Potwierdź nowe hasło"
"Personal Information","Dane osobiste"
"Sign Up for Newsletter","Zapisz się, aby otrzymywać newsletter"
"Address Information","Informacje o adresie"
"Company","Firma"
"Phone Number","Numer telefonu"
"Sign-in Information","Informacje logowania"
"Password","Hasło"
"Confirm Password","Potwierdź hasło"
"Create an Account","Utwórz konto"
"Back","Powrót"
"Customer Address","Adres klienta"
"Default Values","Wartości domyślne"
"Fax","Faks"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Store Credit","Store Credit"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
