"Customer Address Attributes","顧客住所属性"
"Add New Attribute","新しい属性を追加"
"Save and Continue Edit","保存して編集を続ける"
"Save Attribute","属性保存"
"Delete Attribute","属性を削除"
"Edit Customer Address Attribute ""%1""","顧客アドレス属性の編集""%1"""
"New Customer Address Attribute","新しい顧客住所属性"
"Input Type","入力形式"
"Lines Count","行数"
"Valid range 2-20","使用可能な範囲 2-20"
"Input Validation","入力値チェック"
"None","なし"
"Minimum Text Length","最小文字数"
"Maximum Text Length","最大文字数"
"Maximum File Size (bytes)","最大ファイルサイズ (バイト)"
"File Extensions","ファイル拡張子"
"Comma separated","コンマ区切り"
"Maximum Image Width (px)","最大画像横幅 (px)"
"Maximum Image Height (px)","最大画像高さ (px)"
"Input/Output Filter","入力/出力フィルタ"
"Minimal value","最小値"
"Maximum value","最大値"
"Add to Column Options","カラムオプションに追加"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","この属性を顧客グリッドの列オプションのリストに追加するには、 ""はい"" を選択します。"
"Use in Filter Options","フィルターオプション内で使用"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","この属性を顧客グリッドのフィルターオプションのリストに追加するには、 ""はい"" を選択します。"
"Use in Search Options","検索オプションでの使用"
"Use in Search Option","検索オプションでの使用"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","この属性を顧客グリッド内の検索オプションのリストに追加するには、 ""はい"" を選択します。"
"Storefront Properties","ストアフロントプロパティ"
"Show on Storefront","店頭に表示する"
"Sort Order","表示順"
"Forms to Use In","使用するフォーム"
"Properties","プロパティ"
"Manage Label / Options","ラベルとオプションの管理"
"Attribute Information","属性情報"
"Visible to Customer","フロントエンドで表示"
"No","No"
"Yes","Yes"
"Customer Attributes","顧客の属性"
"Edit Customer Attribute ""%1""","顧客属性の編集""%1"""
"New Customer Attribute","新しい顧客属性"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","これは内部用です。スペースまたは%1シンボル以上を使わないようにしてください。"
"Manage Form Types","フォーム種別管理"
"New Form Type","新しいフォーム種別"
"Edit Form Type ""%1""","フォームの種類を編集""%1"""
"General Information","全般情報"
"-- Please Select --","-- 選択してください --"
"Based On","基準にするフォーム"
"Form Label","フォームラベル"
"All Themes","全てのテーマ"
"For Theme","適用先テーマ"
"Store View","ストアビュー"
"Form Code","フォームコード"
"Form Title","フォームタイトル"
"General","全般"
"New Fieldset","新しいフィールドセット"
"Save","保存"
"Remove","削除"
"Cancel","キャンセル"
"Attributes","属性"
"Form Type Information","フォーム種別情報"
"Type Code","タイプコード"
"Label","ラベル"
"Theme","テーマ"
"System","システム"
"Customer","顧客"
"Manage Customer Address Attributes","顧客住所属性管理"
"You cannot delete this attribute.","この属性は削除できません。"
"You deleted the customer address attribute.","顧客アドレス属性を削除しました。"
