"Not you?","Не си ти?"
"Your shopping cart has been updated with new prices.","Вашата количка е актуализирана с нови цени."
"Welcome, %1!","Добре дошъл, %1!"
"We cannot load the configuration from file %1.","Не може да зареди конфигурацията от файл %1."
"Method ""%1"" is not defined in ""%2""","Метод на ""%1"" не е дефиниран в ""%2"""
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Запомни ме"
"What's this?","Какво е това?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Отбелязвайки &quot;Запомни ме&quot; ще имате достъп до количката си, дори ако не сте влезли."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Отбелязвайки 'Запомни ме' ще имате достъп до количката си, дори ако не сте влезли."
"Persistent Shopping Cart","Запазена количка"
"General Options","Основни параметри"
"Enable Persistence","Разреши запазване"
"Persistence Lifetime (seconds)","Продължителност на запазване (секунди)"
"Enable ""Remember Me""","Разреши ""Запомни ме"""
"""Remember Me"" Default Value","""Запомни ме"" стойност по подразбиране"
"Clear Persistence on Sign Out","Изчистване на запазването на излизане"
"Persist Shopping Cart","Запази количката"
"&nbsp;","&nbsp;"
