"Not you?","To nie Ty?"
"Your shopping cart has been updated with new prices.","Twój koszyk został wzbogacony o nowe ceny."
"Welcome, %1!","Witaj, %1!"
"We cannot load the configuration from file %1.","Nie można załadować konfiguracji z pliku %1."
"Method ""%1"" is not defined in ""%2""","Nie zdefiniowano metody ""%1"" w ""%2"""
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Zapamiętaj mnie"
"What's this?","Co to jest?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Sprawdź &quot;Zapamiętaj mnie&quot; wobec dostęp Twój koszyk na tym komputerze, nawet jeśli nie jesteś zalogowany."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Zaznacz 'Zapamiętaj mnie', aby mieć dostęp do swojego koszyka na tym komputerze bez potrzeby logowania."
"Persistent Shopping Cart","Trwały koszyk"
"General Options","Opcje ogólne"
"Enable Persistence","Włącz trwałą obecność"
"Persistence Lifetime (seconds)","Czas trwałości (sekundy)"
"Enable ""Remember Me""","Włącz Zapamiętaj mnie"""""
"""Remember Me"" Default Value","Domyślna wartość pola Zapamiętaj mnie"""""
"Clear Persistence on Sign Out","Wyczyść trwałą obecność przy wylogowaniu"
"Persist Shopping Cart","Trwały koszyk"
"&nbsp;","&nbsp;"
