"Not you?","¿No es Usted?"
"Your shopping cart has been updated with new prices.","Su carro de compras se ha actualizado con nuevos precios."
"Welcome, %1!","¡ Bienvenido %1!"
"We cannot load the configuration from file %1.","No podemos cargar la configuración del archivo %1."
"Method ""%1"" is not defined in ""%2""","Método ""%1"" no está definido en ""%2"""
"To check out, please sign in using your email address.","Para hacer check out, por favor ingrese usando su cuenta de correo."
"Remember Me","Recordarme"
"What's this?","¿Qué es esto?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Selecciona \'Recordarme\' para accesar a tu carrito de compras en esta computadora incluso si no has iniciado sesión."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Selecciona 'Recordarme' para acceder a tu carrito de compras en este ordenador incluso si no has iniciado sesión."
"Persistent Shopping Cart","Carrito de compras persistente"
"General Options","Opciones generales"
"Enable Persistence","Activar persistencia"
"Persistence Lifetime (seconds)","Duración de la persistencia (segundos)"
"Enable ""Remember Me""","Activar ""Recordarme"""
"""Remember Me"" Default Value","Valor predeterminado de ""Recordarme"""
"Clear Persistence on Sign Out","Eliminar Persistencia al salir de la cuenta"
"Persist Shopping Cart","Hacer persistente la cesta de la compra"
"&nbsp;","&nbsp;"
