"Not you?","Non sei tu?"
"Your shopping cart has been updated with new prices.","Il tuo carrello è stato aggiornato con i nuovi prezzi."
"Welcome, %1!","Benvenuto, %1!"
"We cannot load the configuration from file %1.","Non è possibile caricare la configurazione dal file %1."
"Method ""%1"" is not defined in ""%2""","Il metodo ""%1"" non è definito in ""%2"""
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Ricordami"
"What's this?","Cos'è questo?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Contrassegna &quot;Ricordami&quot; per accedere al tuo carrello con questo computer anche se non sei registrato."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Controllo ""Ricordami"" per accedere al tuo carrello su questo computer anche se non sei iscritto."
"Persistent Shopping Cart","Carrello persistente"
"General Options","Opzioni Generali"
"Enable Persistence","Abilita la persistenza"
"Persistence Lifetime (seconds)","Durata persistenza (secondi)"
"Enable ""Remember Me""","Abilita ""Ricordami"""
"""Remember Me"" Default Value","Valore predefinito ""Ricordami"""
"Clear Persistence on Sign Out","Elimina persistenza al logout"
"Persist Shopping Cart","Persistenza carrello"
"&nbsp;","&nbsp;"
