"Not you?","Não é você?"
"Your shopping cart has been updated with new prices.","O seu carrinho de compras foi atualizado com novos preços."
"Welcome, %1!","Bem-vindo(a), %1!"
"We cannot load the configuration from file %1.","Não conseguimos carregar a configuração do ficheiro %1."
"Method ""%1"" is not defined in ""%2""","O método ""%1"" não está definido em ""%2"""
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Ligação Automática"
"What's this?","O que é isto?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Marque a opção &quot;Ligação Automática&quot; para aceder ao seu carrinho de compras neste computador, mesmo que não tenha iniciado sessão."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Marque ""Lembrar-me"" para aceder ao seu carrinho de compras neste computador, mesmo que não tenha a sessão iniciada."
"Persistent Shopping Cart","Carrinho de Compras Persistente"
"General Options","Opções Gerais"
"Enable Persistence","Activar Persistência"
"Persistence Lifetime (seconds)","Tempo de Persistência (segundos)"
"Enable ""Remember Me""","Ativar ""Ligação Automática"""
"""Remember Me"" Default Value","Valor Pré-definido de ""Ligação Automática"""
"Clear Persistence on Sign Out","Limpar Persistência ao Terminar Sessão"
"Persist Shopping Cart","Persistir Carrinho de Compras"
"&nbsp;","&nbsp;"
