"Not you?","Không phải bạn?"
"Your shopping cart has been updated with new prices.","Giỏ hàng của bạn đã được Cập Nhật với giá mới."
"Welcome, %1!","Chào mừng, %1!"
"We cannot load the configuration from file %1.","Chúng tôi không thể tải cấu hình từ tệp %1."
"Method ""%1"" is not defined in ""%2""","Phương pháp ""%1"" không được xác định trong ""%2"""
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Ghi nhớ tôi"
"What's this?","Đây là gì?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Kiểm tra &quot; ""Ghi Nhớ tôi""&quot; để truy cập vào giỏ hàng của bạn trên máy tính này ngay cả khi bạn không đăng nhập."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Kiểm tra 'ghi nhớ tôi' để truy cập vào giỏ hàng của bạn trên máy tính này ngay cả khi bạn không đăng nhập."
"Persistent Shopping Cart","Giữ nguyên giỏ hàng"
"General Options","Tùy chọn chung"
"Enable Persistence","Cho phép giữ nguyên"
"Persistence Lifetime (seconds)","Giữ suốt đời (giây)"
"Enable ""Remember Me""","Cho phép ""Ghi nhớ tôi"""
"""Remember Me"" Default Value","Giá trị mặc định ""Ghi nhớ tôi"""
"Clear Persistence on Sign Out","Giữ nguyên đăng xuất"
"Persist Shopping Cart","Giữ nguyên giỏ mua hàng"
"&nbsp;","&nbsp;"
