"Not you?","شما نیستید؟"
"Your shopping cart has been updated with new prices.","سبد خرید شما با قیمت های جدید به روز شده است."
"Welcome, %1!","خوش آمدید %1!"
"We cannot load the configuration from file %1.","ما نمی توانیم پیکربندی را از فایل %1 بارگیری کنیم."
"Method ""%1"" is not defined in ""%2""","روش ""%1"" در ""%2"" تعریف نشده است"
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","مرا به خاطر بسپار"
"What's this?","این چیست؟"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","جهت دسترسی به سبد خرید خود در این رایانه حتی اگر وارد نشده اید، &quot; مرا به خاطر بسپار &quot;؛ را بررسی کنید."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","جهت دسترسی به سبد خرید خود در این رایانه حتی اگر وارد نشده اید، 'مرا به خاطر بسپار' را بررسی کنید."
"Persistent Shopping Cart","سبد خرید ماندگار"
"General Options","گزینه های عمومی"
"Enable Persistence","فعالسازی ماندگاری"
"Persistence Lifetime (seconds)","طول عمر ماندگاری (ثانیه)"
"Enable ""Remember Me""","فعالسازی ""مرا به خاطر بسپار"""
"""Remember Me"" Default Value","مقدار پیش فرض ""مرا به خاطر بسپار"""
"Clear Persistence on Sign Out","پاک کردن ماندگاری پس از خروج از سیستم"
"Persist Shopping Cart","سبد خرید ماندگار"
"&nbsp;","&nbsp;"
