"Change Billing Address","Modifier l'adresse de facturation"
"Ship to Multiple Addresses","Livrer à plusieurs adresses"
"Billing Information - %1","Informations de facturation - %1"
"Review Order - %1","Vérifier la commande - %1"
"Total","Total"
"Total for this address","Total pour cette adresse"
"Shipping Methods","Modes de livraison"
"Edit Address","Éditer l'adresse"
"Edit Billing Address","Éditer l'adresse de facturation"
"Edit Shipping Address","Éditer l'adresse de livraison"
"Create Billing Address","Créer une adresse de facturation"
"Create Shipping Address","Créer une adresse de livraison"
"Data saving problem","Problème lors de la sauvegarde des données"
"We are unable to process your request. Please, try again later.","Nous ne pouvons pas enregistrer votre demande. Veuillez réessayer plus tard."
"Maximum qty allowed for Shipping to multiple addresses is %1","La Qté maximale autorisée pour la livraison à plusieurs adresses est de %1"
"We cannot open the overview page.","Impossible d'ouvrir la page de résumé."
"Please agree to all Terms and Conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande."
"Order place error","Erreur lors de la création de commande"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again."
"Verify the shipping address information and continue.","Verify the shipping address information and continue."
"Verify the billing address information and continue.","Verify the billing address information and continue."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Set shipping methods for all addresses. Verify the shipping methods and try again."
"A payment method isn't defined. Verify and try again.","A payment method isn't defined. Verify and try again."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","This payment method can't be used for shipping to multiple addresses. Change the payment method and try again."
"The item isn't found, or it's already ordered.","The item isn't found, or it's already ordered."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"Some addresses can't be used due to the configurations for specific countries.","Some addresses can't be used due to the configurations for specific countries."
"Quote address for failed order ID ""%1"" not found.","Quote address for failed order ID ""%1"" not found."
"Exception for failed order not found.","Exception for failed order not found."
"Select Addresses","Choix des adresses"
"Shipping Information","Informations de livraison"
"Billing Information","Informations de facturation"
"Place Order","Valider la Commande"
"Order Success","Commande effectuée"
"Order Results","Order Results"
"Default Billing","Facturation par défaut"
"Default Shipping","Livraison par défaut"
"Select Address","Sélectionner une adresse"
"Add New Address","Ajouter une adresse"
"Back to Billing Information","Retour aux informations de facturation"
"Please select a shipping address for applicable items.","Veuillez sélectionner une adresse de livraison pour les articles applicables."
"Product","Produit"
"Qty","Qté"
"Send To","Envoyer à"
"A shipping selection is not applicable.","Le choix de livraison n'est pas applicable."
"Actions","Actions"
"Remove Item","Supprimer l'article"
"Remove item","Retirer l'article"
"Go to Shipping Information","Aller aux informations d’expédition"
"Update Qty &amp; Addresses","Mettre à jour les quantités et adresses"
"Enter a New Address","Saisir une nouvelle adresse"
"Back to Shopping Cart","Retour au panier"
"Loading...","Loading..."
"Billing Address","Adresse de facturation"
"Change","Modifier"
"Payment Method","Mode de paiement"
"Go to Review Your Order","Aller à la vérification de votre commande"
"Back to Shipping Information","Retour aux informations de livraison"
"Other items in your order","Autres articles dans votre commande"
"Edit Items","Modifier les articles"
"Shipping is not applicable.","Le choix de livraison n'est pas applicable."
"Product Name","Nom de produit"
"Check Out with Multiple Addresses","Commander avec livraison à plusieurs adresses"
"Please see","Please see"
"details below","details below"
"Address","Address"
"of","of"
"Shipping To","Livraison à"
"Shipping Method","Mode de livraison"
"Incl. Tax","TTC"
"Excl. Tax","HT"
"Order Review","Vérification de commande"
"Item","Article"
"Edit","Éditer"
"Price","Prix"
"Subtotal","Sous-total"
"Items","Articles"
"Grand Total:","Montant global :"
"Submitting order information...","Les informations de commande sont en cours d'envoi..."
"Not all items were included.","Not all items were included."
"For details, see","For details, see"
"Failed to Order","Failed to Order"
"section below","section below"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details."
"Successfully Ordered","Successfully Ordered"
"Ship to:","Livrer à :"
"No shipping required.","No shipping required."
"To purchase these items: Return to the","To purchase these items: Return to the"
"Review page in Checkout","Review page in Checkout"
"resolve any errors, and place a new order.","resolve any errors, and place a new order."
"Error:","Erreur :"
"Address %1 <span>of %2</span>","Adresse %1 <span>sur %2</span>"
"Sorry, no quotes are available for this order right now.","Désolé, aucun devis n'est disponible pour cette commande pour le moment."
"Continue to Billing Information","Poursuivre vers les informations de facturation"
"Back to Select Addresses","Retour à la sélection d'adresses"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details."
"Successfully ordered","Successfully ordered"
"Continue Shopping","Continuez vos achats"
"We can't complete your order because you don't have a payment method set up.","Nous ne pouvons pas compléter votre commande car vous n'avez pas de mode de paiement configuré."
"Please choose a payment method.","Choisissez un moyen de paiement."
"Multishipping Settings Section","Section de paramètres Multishipping"
"Multishipping Settings","Paramètres multishipping"
"Options","Options"
"Allow Shipping to Multiple Addresses","Autoriser la livraison à plusieurs adresses"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qté maxi autorisée pour la livraison à plusieurs adresses"
"Review Order","Vérifier la commande"
"We could only complete part of your order.","We could only complete part of your order."
"We were unable to complete your order.","We were unable to complete your order."
"Select Shipping Method","Sélectionner le mode de livraison"
"Thank you for your purchase!","Merci pour votre commande !"
