"Change Billing Address","බිල්පත් ලිපිනය වෙනස් කරන්න"
"Ship to Multiple Addresses","බහුවිධ ලිපින වෙත යැවීම"
"Billing Information - %1","බිල්පත් තොරතුරු - %1"
"Review Order - %1","සමාලෝචන නියෝගය - %1"
"Total","සමස්ත"
"Total for this address","මෙම ලිපිනය සඳහා එකතුව"
"Shipping Methods","නැව්ගත කිරීමේ ක්රම"
"Edit Address","ලිපිනය සංස්කරණය කරන්න"
"Edit Billing Address","බිල්පත් ලිපිනය සංස්කරණය කරන්න"
"Edit Shipping Address","නැව්ගත කිරීමේ ලිපිනය සංස්කරණය කරන්න"
"Create Billing Address","බිල්පත් ලිපිනය සාදන්න"
"Create Shipping Address","නැව්ගත කිරීමේ ලිපිනය සාදන්න"
"Data saving problem","දත්ත සුරැකීමේ ගැටලුව"
"We cannot open the overview page.","අපට දළ විශ්ලේෂණය පිටුව විවෘත කළ නොහැක."
"Please agree to all Terms and Conditions before placing the order.","කරුණාකර ඇණවුම ලබා දීමට පෙර සියලුම නියමයන් සහ කොන්දේසි වලට එකඟ වන්න."
"Order place error","ඇණවුම් ස්ථානයේ දෝෂයකි"
"Maximum qty allowed for Shipping to multiple addresses is %1","ලිපින කිහිපයකට නැව්ගත කිරීම සඳහා අවසර දී ඇති උපරිම qty %1වේ"
"Please check shipping address information.","Please check shipping address information."
"Please check billing address information.","Please check billing address information."
"Please select shipping methods for all addresses.","Please select shipping methods for all addresses."
"A payment method is not defined.","A payment method is not defined."
"The requested payment method is not available for multishipping.","The requested payment method is not available for multishipping."
"Item not found or already ordered","Item not found or already ordered"
"Please specify a payment method.","Please specify a payment method."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Quote address for failed order not found.","Quote address for failed order not found."
"Exception for failed order not found.","අසාර්ථක ඇණවුම සඳහා ව්යතිරේකයක් සොයාගත නොහැකි විය."
"Select Addresses","ලිපිනයන් තෝරන්න"
"Shipping Information","නැව්ගත කිරීමේ තොරතුරු"
"Billing Information","බිල්කරණ තොරතුරු"
"Place Order","ඇනවුම කරන්න"
"Order Success","ඇණවුම සාර්ථකයි"
"Order Results","ඇණවුම් ප්රතිඵල"
"Default Billing","පෙරනිමි බිල්පත්"
"Default Shipping","පෙරනිමි නැව්ගත කිරීම"
"Select Address","ලිපිනය තෝරන්න"
"Add New Address","නව ලිපිනය එක් කරන්න"
"Back to Billing Information","බිල්පත් තොරතුරු වෙත ආපසු"
"Please select a shipping address for applicable items.","කරුණාකර අදාළ අයිතම සඳහා නැව්ගත කිරීමේ ලිපිනයක් තෝරන්න."
"Product","නිෂ්පාදන"
"Qty","Qty"
"Send To","වෙත යවන්න"
"A shipping selection is not applicable.","නැව්ගත කිරීමේ තේරීමක් අදාළ නොවේ."
"Actions","ක්රියාවන්"
"Remove Item","අයිතමය ඉවත් කරන්න"
"Remove item","අයිතමය ඉවත් කරන්න"
"Go to Shipping Information","නැව්ගත කිරීමේ තොරතුරු වෙත යන්න"
"Update Qty &amp; Addresses","Qty &amp; ලිපින යාවත්කාලීන කරන්න"
"Enter a New Address","නව ලිපිනයක් ඇතුළත් කරන්න"
"Back to Shopping Cart","සාප්පු කරත්තය වෙත නැවත යන්න"
"Loading...","පූරණය වෙමින්..."
"Billing Address","බිල්පත් ලිපිනය"
"Change","වෙනස් කරන්න"
"Payment Method","ගෙවීම් ක්රමය"
"Go to Review Your Order","Review Your Order වෙත යන්න"
"Back to Shipping Information","නැව්ගත කිරීමේ තොරතුරු වෙත නැවත යන්න"
"Other items in your order","ඔබගේ ඇණවුමේ ඇති අනෙකුත් අයිතම"
"Edit Items","අයිතම සංස්කරණය කරන්න"
"Shipping is not applicable.","නැව්ගත කිරීම අදාළ නොවේ."
"Product Name","නිෂ්පාදන නාමය"
"Check Out with Multiple Addresses","ලිපින කිහිපයක් සමඟින් පරීක්ෂා කරන්න"
"Please see","කරුණාකර බලන්න"
"details below","පහත විස්තර"
"Address","ලිපිනය"
"of","වල"
"Shipping To","වෙත නැව්ගත කිරීම"
"Shipping Method","නැව්ගත කිරීමේ ක්රමය"
"Incl. Tax","ඇතුළු. බද්ද"
"Excl. Tax","හැර. බද්ද"
"Order Review","ඇණවුම් සමාලෝචනය"
"Item","අයිතමය"
"Edit","සංස්කරණය කරන්න"
"Price","මිල"
"Subtotal","උප එකතුව"
"Items","අයිතම"
"Grand Total:","මුලු එකතුව:"
"Submitting order information...","ඇණවුම් තොරතුරු ඉදිරිපත් කරමින්..."
"Not all items were included.","සියලුම අයිතම ඇතුළත් කර නැත."
"For details, see","විස්තර සඳහා, බලන්න"
"Failed to Order","ඇණවුම් කිරීමට අසමත් විය"
"section below","පහත කොටස"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","සාර්ථකව ඇණවුම් කළ අයිතම සඳහා, ඔබට ඇණවුම් අංක, ලුහුබැඳීමේ තොරතුරු සහ වැඩි විස්තර ඇතුළුව තහවුරු කිරීමේ විද්‍යුත් තැපෑලක් ලැබෙනු ඇත."
"Successfully Ordered","සාර්ථකව ඇණවුම් කරන ලදී"
