"Change Billing Address","ご連絡先住所変更"
"Ship to Multiple Addresses","複数の住所へ送る"
"Billing Information - %1","請求先情報 - %1"
"Review Order - %1","注文確認 - %1"
"Total","合計"
"Total for this address","このアドレスへの合計"
"Shipping Methods","配送方法"
"Edit Address","住所を編集"
"Edit Billing Address","請求先住所を編集"
"Edit Shipping Address","配送先を編集"
"Create Billing Address","請求先住所を作成"
"Create Shipping Address","発送先住所を作成"
"Data saving problem","データ保存問題"
"We cannot open the overview page.","概要ページを開けません"
"Please agree to all Terms and Conditions before placing the order.","ご注文前にご一読ください。"
"Order place error","注文エラー"
"Maximum qty allowed for Shipping to multiple addresses is %1","複数住所に送付することができることが可能な最大数量は %1"
"Please check shipping address information.","Please check shipping address information."
"Please check billing address information.","Please check billing address information."
"Please select shipping methods for all addresses.","Please select shipping methods for all addresses."
"A payment method is not defined.","A payment method is not defined."
"The requested payment method is not available for multishipping.","The requested payment method is not available for multishipping."
"Item not found or already ordered","Item not found or already ordered"
"Please specify a payment method.","Please specify a payment method."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Quote address for failed order not found.","Quote address for failed order not found."
"Exception for failed order not found.","失敗した注文の例外が見つかりません。"
"Select Addresses","住所選択"
"Shipping Information","配送情報"
"Billing Information","請求先情報"
"Place Order","注文を確定する"
"Order Success","注文成功"
"Order Results","注文結果"
"Default Billing","標準の請求先"
"Default Shipping","標準の配送方法"
"Select Address","住所選択"
"Add New Address","アカウント追加"
"Back to Billing Information","請求先情報に戻る"
"Please select a shipping address for applicable items.","商品のための送付先住所を選択してください"
"Product","商品"
"Qty","個数"
"Send To","配送先"
"A shipping selection is not applicable.","発送方法は適用されません。"
"Actions","アクション"
"Remove Item","商品を削除"
"Remove item","商品を削除"
"Go to Shipping Information","配送方法の選択に進む"
"Update Qty &amp; Addresses","数量&amp"
"Enter a New Address","新しい住所を入力"
"Back to Shopping Cart","ショッピングカートに戻る"
"Loading...","読み込み中"
"Billing Address","請求先住所"
"Change","変更"
"Payment Method","お支払方法"
"Go to Review Your Order","ご注文内容の確認"
"Back to Shipping Information","配送方法の選択に戻る"
"Other items in your order","あなたの注文に他のアイテム"
"Edit Items","アイテムを編集"
"Shipping is not applicable.","送付は可能ではありません"
"Product Name","商品名"
"Check Out with Multiple Addresses","複数の住所でチェックアウト"
"Please see","ご覧下さい"
"details below","以下の詳細"
"Address","住所"
"of","の"
"Shipping To","配送先"
"Shipping Method","お届け方法"
"Incl. Tax","税込"
"Excl. Tax","税抜"
"Order Review","ご注文の確認"
"Item","商品"
"Edit","編集"
"Price","価格"
"Subtotal","小計"
"Items","アイテム"
"Grand Total:","合計："
"Submitting order information...","注文情報を送信しています。。。"
"Not all items were included.","すべての商品が含まれているとは限りません。"
"For details, see","詳細については、ご覧下さい。"
"Failed to Order","注文に失敗しました"
"section below","以下のセクション"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","正常に注文された商品については、注文番号、追跡情報、詳細を含む確認メールが届きます。"
"Successfully Ordered","注文完了！"
"No shipping required.","配送不要"
"To purchase these items: Return to the","これらの商品を注文するには: に戻る"
"Review page in Checkout","チェックアウトのレビューページ"
"resolve any errors, and place a new order.","全てのエラーを解決し、新しい注文を行って下さい。"
"Address %1 <span>of %2</span>","住所 %1 <span>の %2</span>"
"Sorry, no quotes are available for this order right now.","申し訳ありません、現在この注文の見積もりはできません。"
"Continue to Billing Information","ご請求先情報へ"
"Back to Select Addresses","住所選択に戻る"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","正常な注文商品については、注文番号、追跡情報、詳細を含む確認メールが届きます。"
"Successfully ordered","注文完了！"
"Continue Shopping","お買い物を続ける"
"We can't complete your order because you don't have a payment method set up.","支払方法設定がされていないので注文を完了できません。"
"Please choose a payment method.","支払方法を選択してください。"
"Multishipping Settings Section","マルチシッピング設定セクション"
"Multishipping Settings","マルチシッピング設定"
"Options","オプション"
"Allow Shipping to Multiple Addresses","複数配送を許可"
"Maximum Qty Allowed for Shipping to Multiple Addresses","複数配送で許可する最大個数"
"Review Order","注文の確認"
"We could only complete part of your order.","あなたの注文の一部を完了することしかできませんでした。"
"We were unable to complete your order.","注文を完了することができませんでした。"
"Select Shipping Method","配送方法を選択"
"Thank you for your purchase!","ご購入ありがとうございました！"
"Thanks for your order. We'll email you order details and tracking information.","Thanks for your order. We'll email you order details and tracking information."
"Your order numbers are: ","Your order numbers are: "
"Your order number is: ","Your order number is: "
"We received your order!","We received your order!"
"We are unable to process your request. Please, try again later.","リクエストを処理できません。再度お試し下さい。"
"Ship to:","配送先:"
"Error:","エラー:"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","複数の住所に配送する場合、最大数は％1を超えてはいけません。 数量を変更して再度お試しください。"
"Verify the shipping address information and continue.","配送先の情報を確認して続けて下さい。"
"Verify the billing address information and continue.","請求先の情報を確認して続けて下さい。"
"Set shipping methods for all addresses. Verify the shipping methods and try again.","全ての住所に配送方法を設定して下さい。配送方法を確認し、再度お試し下さい。"
"A payment method isn't defined. Verify and try again.","支払い方法が定義されていません。確認して再度お試し下さい。"
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","この支払い方法では、複数の配送先への配送には使用することができません。支払い方法を変更して再度お試し下さい。"
"The item isn't found, or it's already ordered.","その商品は見つからないか、既に注文されています。"
"The payment method isn't selected. Enter the payment method and try again.","支払い方法が選択されていません。支払い方法を入力して、再度お試し下さい。"
"Some addresses can't be used due to the configurations for specific countries.","特定の国の設定によっては一部のアドレスを使用できません。"
