"Change Billing Address","Alterar Morada de Faturação"
"Ship to Multiple Addresses","Enviar para vários endereços"
"Billing Information - %1","Informações de faturamento - %1"
"Review Order - %1","Rever Pedido - %1"
"Total","Total"
"Total for this address","Total para este endereço"
"Shipping Methods","Métodos de Envio"
"Edit Address","Editar Morada"
"Edit Billing Address","Editar o endereço de facturação"
"Edit Shipping Address","Editar Morada de Envio"
"Create Billing Address","Criar Endereço de Facturação"
"Create Shipping Address","Criar Morada de Envio"
"Data saving problem","Erro a gravar os dados"
"We cannot open the overview page.","Não conseguimos abrir a página de visão geral."
"Please agree to all Terms and Conditions before placing the order.","Por favor concorde com todos os termos e condições antes de fazer a encomenda."
"Order place error","Erro de confirmação da encomenda"
"Maximum qty allowed for Shipping to multiple addresses is %1","A qtd máxima permitida para Envio para várias moradas é %1"
"Please check shipping address information.","Por favor verifique a informação da morada de envio."
"Please check billing address information.","Por favor verifique a informação da morada de faturação."
"Please select shipping methods for all addresses.","Por favor selecione modos de envio para todas as moradas."
"A payment method is not defined.","Não está definido um método de pagamento."
"The requested payment method is not available for multishipping.","O método de pagamento solicitado não está disponível para envios em simultâneo."
"Item not found or already ordered","Item não encontrado ou já encomendado"
"Please specify a payment method.","Por favor, especifique um método de pagamento."
"Please check shipping addresses information.","Por favor verifique a informação da morada de envio."
"Please specify shipping methods for all addresses.","Por favor selecione modos de envio para todas as moradas."
"Some addresses cannot be used due to country-specific configurations.","Alguns endereços não podem ser usados devido a configurações específicas do país."
"Select Addresses","Selecionar Moradas"
"Shipping Information","Informação de Envio"
"Billing Information","Informação de Faturação"
"Place Order","Encomendar"
"Order Success","Encomenda Bem-sucedida"
"Default Billing","Faturação Pré-definida"
"Default Shipping","Envio Pré-definido"
"Select Address","Seleccionar Morada"
"Add New Address","Adicionar Nova Morada"
"Back to Billing Information","Voltar à Informação de Faturação"
"Please select a shipping address for applicable items.","Por favor seleccione uma morada de envio para os artigos a que se aplique."
"Product","Produto"
"Qty","Qtd"
"Send To","Enviar Para"
"A shipping selection is not applicable.","Não é aplicável uma seleção de envio."
"Actions","Ações"
"Remove Item","Remover Item"
"Remove item","Remover item"
"Go to Shipping Information","Ir para Informações de Envio"
"Update Qty &amp; Addresses","Atualizar Qtd &amp; Moradas"
"Enter a New Address","Insira uma Nova Morada"
"Back to Shopping Cart","Regressar ao Carrinho de Compras"
"Billing Address","Morada de Faturação"
"Change","Modificar"
"Payment Method","Método de Pagamento"
"Go to Review Your Order","Ir para Revisão do Pedido"
"Back to Shipping Information","Voltar às Informações de Envio"
"Other items in your order","Outros artigos no seu pedido"
"Edit Items","Editar Itens"
"Shipping is not applicable.","Envio não é aplicável."
"Product Name","Nome do Produto"
"Check Out with Multiple Addresses","Efetuar Checkout com Várias Moradas"
"Address %1 <span>of %2</span>","Morada %1 <span>de %2</span>"
"Shipping To","Enviar Para"
"Shipping Method","Modo de Envio"
"Incl. Tax","Imposto incl."
"Excl. Tax","Excluindo impostos"
"Order Review","Revisão da Encomenda"
"Item","Item"
"Edit","Editar"
"Price","Preço"
"Subtotal","Subtotal"
"Items","Itens"
"Grand Total:","Total:"
"Submitting order information...","Submetendo a informação da encomenda..."
"Sorry, no quotes are available for this order right now.","Pedimos desculpa, mas de momento não existem orçamentos disponíveis para esta encomenda."
"Continue to Billing Information","Continuar para a Informação de Faturação"
"Back to Select Addresses","Voltar à Seleção de Moradas"
"Thank you for your purchase!","Agradecemos a sua compra!"
"Thanks for your order. We'll email you order details and tracking information.","Agradecemos a sua compra. Iremos enviar por email detalhes do pedido e informações para seguir a sua encomenda."
"Your order numbers are: ","Os seus números de encomenda são: "
"Your order number is: ","O seu número de encomenda é: "
"Continue Shopping","Continuar a Comprar"
"We can't complete your order because you don't have a payment method set up.","Não foi possível completar o seu pedido porque ainda não escolheu o método de pagamento."
"Please choose a payment method.","Por favor, escolha um método de pagamento."
"Multishipping Settings Section","Secção de Definições de Envio para Várias Moradas"
"Multishipping Settings","Definições de Envio para Várias Moradas"
"Options","Opções"
"Allow Shipping to Multiple Addresses","Permitir Envio para Várias Moradas"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qtd Máxima Permitida para Envio para Várias Moradas"
"Review Order","Revisão da Encomenda"
"Select Shipping Method","Selecionar Modo de Envio"
"The order was not successful!","The order was not successful!"
"Ship to:","Enviar para:"
"Error:","Erro:"
"We are unable to process your request. Please, try again later.","We are unable to process your request. Please, try again later."
"Quote address for failed order ID %1"" not found.""","Quote address for failed order ID %1"" not found."""
"The current cart does not match multi shipping criteria, please review or contact the store administrator","The current cart does not match multi shipping criteria, please review or contact the store administrator"
