"Change Billing Address","Alterar endereço de cobrança"
"Ship to Multiple Addresses","Enviar para vários endereços"
"Billing Information - %1","Informações de faturamento - %1"
"Review Order - %1","Revisar Pedido - %1"
"Total","Total"
"Total for this address","Total para este endereço"
"Shipping Methods","Métodos de envio"
"Edit Address","Editar o Endereço"
"Edit Billing Address","Editar o Endereço de Faturamento"
"Edit Shipping Address","Editar o endereço de entrega"
"Create Billing Address","Criar Endereço de Faturamento"
"Create Shipping Address","Criar endereço de remessa"
"Data saving problem","Problema ao salvar dados"
"We cannot open the overview page.","Não conseguimos abrir a página de visão geral."
"Please agree to all Terms and Conditions before placing the order.","Por favor concorde com todos os termos e condições antes de fazer a encomenda."
"Order place error","Erro de Confirmação do Pedido"
"Maximum qty allowed for Shipping to multiple addresses is %1","A qtd máxima permitida de Envio para vários endereços é %1"
"Please check shipping address information.","Por favor, verifique as informações do endereço de envio."
"Please check billing address information.","Por favor, verifique as informações do endereço de cobrança."
"Please select shipping methods for all addresses.","Por favor, selecione os métodos de envio para todos os endereços."
"A payment method is not defined.","O método de pagamento não foi definido."
"The requested payment method is not available for multishipping.","O método de pagamento solicitado não está disponível para envios em simultâneo."
"Item not found or already ordered","O item não foi encontrado ou já foi comprado"
"Please specify a payment method.","Por favor, especifique um método de pagamento."
"Please check shipping addresses information.","Por favor, verifique as informações dos endereços de envio."
"Please specify shipping methods for all addresses.","Por favor, especifique os métodos de envio para todos os endereços."
"Some addresses cannot be used due to country-specific configurations.","Alguns endereços não podem ser utilizados devido a configurações específicas do país."
"Select Addresses","Selecione os endereços"
"Shipping Information","Dados de Entrega"
"Billing Information","Dados de Cobrança"
"Place Order","Finalizar Pedido"
"Order Success","Pedido realizado"
"Default Billing","Padrão de cobrança"
"Default Shipping","Padrão de envio"
"Select Address","Selecione o endereço"
"Add New Address","Adicionar Novo Endereço"
"Back to Billing Information","Voltar para informações de cobrança"
"Please select a shipping address for applicable items.","Por favor, selecione um endereço de entrega para os itens aplicáveis."
"Product","Produto"
"Qty","Qtd"
"Send To","Enviar para"
"A shipping selection is not applicable.","A seleção de envio não é aplicável."
"Actions","Ações"
"Remove Item","Remover Item"
"Remove item","Remover item"
"Go to Shipping Information","Ir para informações de envio"
"Update Qty &amp; Addresses","Atualizar Qtd &amp; Endereços"
"Enter a New Address","Inserir um novo endereço"
"Back to Shopping Cart","Volta ao carrinho de compras"
"Billing Address","Endereço de Cobrança"
"Change","Alterar"
"Payment Method","Forma de pagamento"
"Go to Review Your Order","Rever o seu pedido"
"Back to Shipping Information","Voltar para informações de envio"
"Other items in your order","Outros itens no seu pedido"
"Edit Items","Editar itens"
"Shipping is not applicable.","O envio não é aplicável."
"Product Name","Nome do produto"
"Check Out with Multiple Addresses","Finalizar Compra utilizando vários endereços"
"Address %1 <span>of %2</span>","Endereço %1 <span>de %2</span>"
"Shipping To","Enviar para"
"Shipping Method","Método de Entrega"
"Incl. Tax","Imposto Incl."
"Excl. Tax","Excl. Impostos"
"Order Review","Resumo do Pedido"
"Item","Item"
"Edit","Editar"
"Price","Preço"
"Subtotal","Sub-total"
"Items","Itens"
"Grand Total:","Total geral:"
"Submitting order information...","Enviado informações do pedido..."
"Sorry, no quotes are available for this order right now.","Desculpa, sem aspas estão disponíveis para este fim."
"Continue to Billing Information","Continuar em Informações de Cobrança"
"Back to Select Addresses","Volta para seleção de endereços"
"Thank you for your purchase!","Obrigado por sua compra!"
"Thanks for your order. We'll email you order details and tracking information.","Obrigado por sua compra. Vamos enviar um e-mail com os detalhes do pedido e as informações de rastreamento."
"Your order numbers are: ","Os seus números de encomenda são: "
"Your order number is: ","O seu número de encomenda é: "
"Continue Shopping","Continuar Comprando"
"We can't complete your order because you don't have a payment method set up.","Não podemos concluir seu pedido, porque você não tem um método de pagamento configurado."
"Please choose a payment method.","Por favor, escolha um método de pagamento."
"Multishipping Settings Section","Secção de Definições de Envio para Vários Edereços"
"Multishipping Settings","Definições de Envio para Vários Endereços"
"Options","Opções"
"Allow Shipping to Multiple Addresses","Permitir Envio para Vários Endereços"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qtd Máxima Permitida para Envio para Vários Endereços"
"Review Order","Revisar pedido"
"Select Shipping Method","Selecionar Modo de Envio"
"The order was not successful!","The order was not successful!"
"Ship to:","Entregar para:"
"Error:","Erro:"
"We are unable to process your request. Please, try again later.","Não conseguimos processar o seu pedido. Por favor, tente novamente mais tarde."
"Quote address for failed order ID %1"" not found.""","Quote address for failed order ID %1"" not found."""
"The current cart does not match multi shipping criteria, please review or contact the store administrator","The current cart does not match multi shipping criteria, please review or contact the store administrator"
