"Change Billing Address","Změnit fakturační adresu"
"Ship to Multiple Addresses","Doručit na více adres"
"Billing Information - %1","Fakturační údaje - %1"
"Review Order - %1","Souhrn objednávky - %1"
"Total","Celkem"
"Total for this address","Celkem na tuto adresu"
"Shipping Methods","Způsoby přepravy"
"Edit Address","Upravit adresu"
"Edit Billing Address","Upravit fakturační adresu"
"Edit Shipping Address","Upravit doručovací adresu"
"Create Billing Address","Vytvořit fakturační adresu"
"Create Shipping Address","Vytvořit doručovací adresu"
"Data saving problem","Problém při uložení dat"
"We cannot open the overview page.","Stránku s přehledem nelze otevřít."
"Please agree to all Terms and Conditions before placing the order.","Před dokončením objednávky je třeba odsouhlasit obchodní podmínky."
"Order place error","Chyba dokončení objednávky"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximální množství povolené pro doručení na více adres je %1"
"Please check shipping address information.","Zkontrolujte údaje doručovací adresy prosím."
"Please check billing address information.","Zkontrolujte údaje fakturační adresy prosím."
"Please select shipping methods for all addresses.","Zvolte způsoby přepravy pro všechny adresy prosím."
"A payment method is not defined.","Způsob platby není definován."
"The requested payment method is not available for multishipping.","Požadovaný způsob platby nelze pro doručení na více adres použít."
"Item not found or already ordered","Položka nebyla nalezena nebo je již objednána"
"Please specify a payment method.","Zvolte způsob platby prosím."
"Please check shipping addresses information.","Zkontrolujte údaje doručovacích adres prosím."
"Please specify shipping methods for all addresses.","Zvolte způsoby přepravy pro všechny adresy prosím."
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Select Addresses","Zvolte adresy"
"Shipping Information","Informace o dopravě"
"Billing Information","Fakturační údaje"
"Place Order","Objednat"
"Order Success","Objednávka úspěšně odeslána"
"Default Billing","Výchozí fakturace"
"Default Shipping","Výchozí doprava"
"Select Address","Vyberte adresu"
"Add New Address","Přidat novou adresu"
"Back to Billing Information","Zpět na fakturační údaje"
"Please select a shipping address for applicable items.","Zvolte způsoby přepravy pro příslušné položky prosím."
"Product","Produkt"
"Qty","Množství"
"Send To","Odeslat na"
"A shipping selection is not applicable.","Výběr přepravy nelze použít."
"Actions","Akce"
"Remove Item","Odebrat položku"
"Remove item","Odebrat položku"
"Go to Shipping Information","Přejít na doručovací údaje"
"Update Qty &amp; Addresses","Upravit množství &amp; adresy"
"Enter a New Address","Zadejte novou adresu"
"Back to Shopping Cart","Zpět na nákupní košík"
"Billing Address","Fakturační adresa"
"Change","Změnit"
"Payment Method","Způsob platby"
"Go to Review Your Order","Přejít na souhrn objednávky"
"Back to Shipping Information","Zpět na doručovací údaje"
"Other items in your order","Ostatní položky objednávky"
"Edit Items","Upravit položky"
"Shipping is not applicable.","Přepravu nelze použít."
"Product Name","Název produktu"
"Check Out with Multiple Addresses","Pokladna pro doručení na více adres"
"Address %1 <span>of %2</span>","Adresa %1 <span>z %2</span>"
"Shipping To","Místo doručení"
"Shipping Method","Způsob dopravy"
"Incl. Tax","s DPH"
"Excl. Tax","bez DPH"
"Order Review","Souhrn objednávky"
"Item","Položka"
"Edit","Upravit"
"Price","Cena"
"Subtotal","Mezisoučet"
"Items","Položky"
"Grand Total:","Celkem k úhradě:"
"Submitting order information...","Odesílám objednávku..."
"Sorry, no quotes are available for this order right now.","Nabídky k této objednávce nejsou momentálně dostupné."
"Continue to Billing Information","Pokračovat na fakturační údaje"
"Back to Select Addresses","Zpět na výběr adres"
"Thank you for your purchase!","Děkujeme vám za objednávku!"
"Thanks for your order. We'll email you order details and tracking information.","Děkujeme za váš nákup. Potvrzení objednávky a sledovací údaje vám zašleme e-mailem."
"Your order numbers are: ","Čísla vašich objednávek jsou: "
"Your order number is: ","Číslo vaší objednávky je: "
"Continue Shopping","Pokračovat v nákupu"
"We can't complete your order because you don't have a payment method set up.","Objednávku nelze dokončit, protože nemáte nastaven způsob platby."
"Please choose a payment method.","Zvolte způsob platby prosím."
"Multishipping Settings Section","Sekce nastavení přepravy na více adres"
"Multishipping Settings","Nastavení přepravy na více adres"
"Options","Možnosti"
"Allow Shipping to Multiple Addresses","Povolit doručení na více adres"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximální množství povolené pro doručení na více adres"
"Review Order","Souhrn objednávky"
"Select Shipping Method","Zvolte způsob přepravy"
"The order was not successful!","The order was not successful!"
"Ship to:","Příjemce:"
"Error:","Chyba:"
"We are unable to process your request. Please, try again later.","We are unable to process your request. Please, try again later."
"Quote address for failed order ID %1"" not found.""","Quote address for failed order ID %1"" not found."""
"The current cart does not match multi shipping criteria, please review or contact the store administrator","The current cart does not match multi shipping criteria, please review or contact the store administrator"
