"Change Billing Address","Промени Адресу за Наплату"
"Ship to Multiple Addresses","Достави на више адреса"
"Billing Information - %1","Биллинг Информације - %1"
"Review Order - %1","Рецензија Поруџбина - %1"
"Total","Укупно"
"Total for this address","Укупно за ову адресу"
"Shipping Methods","Начин Доставе"
"Edit Address","Измени адресу"
"Edit Billing Address","Измени Биллинг Адреса"
"Edit Shipping Address","Измени Достава Адреса"
"Create Billing Address","Креирај Биллинг Адреса"
"Create Shipping Address","Креирај Достава Адреса"
"Data saving problem","Data saving problem"
"We cannot open the overview page.","Не можемо отворити страницу прегледа."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Order place error","Грешка при постављању поруџбине"
"Maximum qty allowed for Shipping to multiple addresses is %1","Маxимум qтy аллоwед фор Достава то мултипле аддрессес ис %1"
"Please check shipping address information.","Please check shipping address information."
"Please check billing address information.","Please check billing address information."
"Please select shipping methods for all addresses.","Молимо изаберите схиппинг метходс фор алл аддрессес."
"A payment method is not defined.","Начин плаћања није дефинисан."
"The requested payment method is not available for multishipping.","The requested payment method is not available for multishipping."
"Item not found or already ordered","Артикал није пронађен или је већ поручен"
"Please specify a payment method.","Наведите начин плаћања."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please specify shipping methods for all addresses.","Молимо наведите схиппинг метходс фор алл аддрессес."
"Some addresses cannot be used due to country-specific configurations.","Соме аддрессес не може бе усед дуе то цоунтрy-специфиц цонфигуратионс."
"Quote address for failed order not found.","Наведена адреса за неуспелу поруџбину није пронађена."
"Exception for failed order not found.","Изузетак за неуспелу поруџбину није пронађена."
"Select Addresses","Изабери адресе"
"Shipping Information","Информације о достави"
"Billing Information","Информације о наплати"
"Place Order","Поставите поруџбину"
"Order Success","Успешна поруџбина"
"Order Results","Редослед резултата"
"Default Billing","Подразумевана наплата"
"Default Shipping","Подразумевана достава"
"Select Address","Изабери адресу"
"Add New Address","Додајте нову адресу"
"Back to Billing Information","Назад то Биллинг Информације"
"Please select a shipping address for applicable items.","Молимо изаберите а схиппинг аддресс фор апплицабле итемс."
"Product","Производ"
"Qty","Кол"
"Send To","Пошаљи на"
"A shipping selection is not applicable.","Избор доставе није применљив."
"Actions","Радње"
"Remove Item","Уклони ставку"
"Remove item","Уклони ставку"
"Go to Shipping Information","Го то Достава Информације"
"Update Qty &amp; Addresses","Ажурирај кол. и адресе"
"Enter a New Address","Унесите нову адресу"
"Back to Shopping Cart","Назад то Корпа"
"Loading...","Учитавање..."
"Billing Address","Адреса за фактурисање"
"Change","Промена"
"Payment Method","Начин плаћања"
"Go to Review Your Order","Го то Рецензија Yоур Поруџбина"
"Back to Shipping Information","Назад то Достава Информације"
"Other items in your order","Остали артикли у вашој поруџбини"
"Edit Items","Измени Итемс"
"Shipping is not applicable.","Достава није применљива."
"Product Name","Назив производа"
"Check Out with Multiple Addresses","Check Out with Multiple Addresses"
"Please see","Погледајте"
"details below","детаље исод"
"Address","Адреса"
"of","од"
"Shipping To","Достава за"
"Shipping Method","Начин доставе"
"Incl. Tax","Износ са ПДВ"
"Excl. Tax","Без пореза"
"Order Review","Преглед поруџбине"
"Item","Артикал"
"Edit","Измени"
"Price","Цена"
"Subtotal","Међузбир"
"Items","Ставке"
"Grand Total:","Укупан износ:"
"Submitting order information...","Слање информација о поруџбини..."
"Not all items were included.","Нису укључени сви артикли."
"For details, see","За детаље, види"
"Failed to Order","Неуспешна поруџбина"
"section below","изабери испод"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","За успешну порудђбину артикла, примићете маил за потврсу укључујући број поруџбине, информације за праћење, и више детаља."
"Successfully Ordered","Успешна Поруџбина"
"No shipping required.","Транспорт није потребан."
"To purchase these items: Return to the","Да бисте купили ове артике: Вратите се на"
"Review page in Checkout","Прегледај стрраницу у Цхецкоут"
"resolve any errors, and place a new order.","реши све грешке, и постави поруџбину."
"Address %1 <span>of %2</span>","Адреса %1 <спан>оф %2</спан>"
"Sorry, no quotes are available for this order right now.","Sorry, no quotes are available for this order right now."
"Continue to Billing Information","Настави то Биллинг Информације"
"Back to Select Addresses","Назад то Изабери Аддрессес"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","За успешну поруџбину артикла, примићете маил за потврсу укључујући број поруџбине, информације за праћење, и више детаља."
"Successfully ordered","Успешна Поруџбина"
"Continue Shopping","Наставите куповину"
"We can't complete your order because you don't have a payment method set up.","We can't complete your order because you don't have a payment method set up."
"Please choose a payment method.","Одаберите начин плаћања."
"Multishipping Settings Section","Мултисхиппинг Подешавања Сецтион"
"Multishipping Settings","Подешавања вишеструке доставе"
"Options","Опције"
"Allow Shipping to Multiple Addresses","Дозволи Достава то Мултипле Аддрессес"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Маxимум Кол Аллоwед фор Достава то Мултипле Аддрессес"
"Review Order","Прегледај поруџбину"
"We could only complete part of your order.","Само део ваше поруџбине је извршен."
"We were unable to complete your order.","Нисмо успели да извршимо вашу поруџбину."
"Select Shipping Method","Изабери начин доставе"
"Thank you for your purchase!","Захваљујемо Вам се на куповини!"
"Thanks for your order. We'll email you order details and tracking information.","Thanks for your order. We'll email you order details and tracking information."
"Your order numbers are: ","Ваши бројеви поруџбина су:"
"Your order number is: ","Ваш број поруџбине је:"
"We received your order!","Примили смо Вашу поруџбину!"
"We are unable to process your request. Please, try again later.","Wе аре није могуће процесс yоур реqуест. Плеасе, покушајте поново латер."
"Ship to:","Достави за:"
"Error:","Грешка:"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","Тхе маxимум qуантитy цан'т бе море тхан %1 wхен схиппинг то мултипле аддрессес. Цханге тхе qуантитy анд покушајте поново."
"Verify the shipping address information and continue.","Verify the shipping address information and continue."
"Verify the billing address information and continue.","Verify the billing address information and continue."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Сет схиппинг метходс фор алл аддрессес. Верифy тхе схиппинг метходс анд покушајте поново."
"A payment method isn't defined. Verify and try again.","А паyмент метход исн'т дефинед. Проверите и покушајте поново."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","Тхис паyмент метход цан'т бе усед фор схиппинг то мултипле аддрессес. Цханге тхе паyмент метход анд покушајте поново."
"The item isn't found, or it's already ordered.","The item isn't found, or it's already ordered."
"The payment method isn't selected. Enter the payment method and try again.","Тхе паyмент метход исн'т селецтед. Ентер тхе паyмент метход анд покушајте поново."
"Some addresses can't be used due to the configurations for specific countries.","Some addresses can't be used due to the configurations for specific countries."
