"Change Billing Address","Fatura adresi değiştir"
"Ship to Multiple Addresses","Birden fazla adrese gönder"
"Billing Information - %1","Fatura bilgileri - %1"
"Review Order - %1","Siperişi gözden geçirme - %1"
"Total","Toplam"
"Total for this address","Bu adres için toplam"
"Shipping Methods","Teslimat Yöntemleri"
"Edit Address","Adresi Düzenle"
"Edit Billing Address","Fatura Adresini Düzelt"
"Edit Shipping Address","Teslimat Adresini Düzelt"
"Create Billing Address","Fatura Adresi Ekle"
"Create Shipping Address","Teslimat Adresi Ekle"
"Data saving problem","Veri kaydetme problemi"
"We cannot open the overview page.","Genel bakış sayfası açılamıyor."
"Please agree to all Terms and Conditions before placing the order.","Lütfen siparişi tamamlamadan Satış Şartları ve Koşullarını onaylayınız."
"Order place error","Sipariş yer hata"
"Maximum qty allowed for Shipping to multiple addresses is %1","Birden fazla adrese gönderim için izin verilen maksimum meblağ% 1"
"Please check shipping address information.","Lütfen teslimat adresini kontrol ediniz."
"Please check billing address information.","Lütfen fatura adresini kontrol ediniz."
"Please select shipping methods for all addresses.","Lütfen tüm adresler için sevkiyat yöntemlerini seçin."
"A payment method is not defined.","Bir ödeme yöntemi tanımlanmamış."
"The requested payment method is not available for multishipping.","Talep edilen ödeme yöntemi çok yönlü kullanım için mevcut değildir."
"Item not found or already ordered","Ürün bulunamadı veya zaten sipariş edildi"
"Please specify a payment method.","Lütfen ödeme yöntemini belirleyiniz."
"Please check shipping addresses information.","Lütfen teslimat adreslerini kontrol ediniz."
"Please specify shipping methods for all addresses.","Lütfen tüm adresler için teslimat yöntemini belirleyiniz."
"Some addresses cannot be used due to country-specific configurations.","Ülkeye özel yapılandırmalar nedeniyle bazı adresler kullanılamaz."
"Select Addresses","Adresleri Seçiniz"
"Shipping Information","Teslimat Bilgisi"
"Billing Information","Fatura Adresi Bilgisi"
"Place Order","Sipariş Ver"
"Order Success","Sipariş Başarılı"
"Default Billing","Varsayılan Fatura Adres"
"Default Shipping","Varsayılan Teslimat Adresi"
"Select Address","Adres Seçiniz"
"Add New Address","Yeni Adres Ekle"
"Back to Billing Information","Fatura Bilgilerine Geri Dön"
"Please select a shipping address for applicable items.","Lütfen uygulanabilir öğeler için bir gönderim adresi seçin."
"Product","Ürün"
"Qty","Miktar"
"Send To","Gönderilen"
"A shipping selection is not applicable.","Bir nakliye seçimi uygun değil."
"Actions","İşlemler"
"Remove Item","Ürünü Sil"
"Remove item","Ürünü Sil"
"Go to Shipping Information","Teslimat bilgilerine git"
"Update Qty &amp; Addresses","Adet &amp; Adresleri güncelle"
"Enter a New Address","Yeni Bir Adres Giriniz"
"Back to Shopping Cart","Alışveriş Sepetine Dön"
"Billing Address","Fatura Adresi"
"Change","Değiştir"
"Payment Method","Tahsilat Yöntemi"
"Go to Review Your Order","Siparişinizi gözden geçirin"
"Back to Shipping Information","Teslimat Bilgileri Bölümüne Dön"
"Other items in your order","Siparişinizdeki diğer ürünler"
"Edit Items","Ürünleri Düzelt"
"Shipping is not applicable.","Nakliye uygun değil."
"Product Name","Ürün Adı"
"Check Out with Multiple Addresses","Birden Çok Adres İle Ödeme"
"Address %1 <span>of %2</span>","<span> %2</span> nin adresi %1"
"Shipping To","Teslim Edilecek"
"Shipping Method","Teslimat Yöntemi"
"Incl. Tax","Vergi Dahil"
"Excl. Tax","Vergi Hariç"
"Order Review","Sipariş İnceleme"
"Item","Ürün"
"Edit","Düzenle"
"Price","Fiyat"
"Subtotal","Ara Toplam"
"Items","Ürünler"
"Grand Total:","Genel Toplam:"
"Submitting order information...","Sipariş bilgisi gönderiliyor…"
"Sorry, no quotes are available for this order right now.","Üzgünüz, şu anda bu sipariş için teklif yok."
"Continue to Billing Information","Fatura Bilgilerine Devam Et"
"Back to Select Addresses","Adres Seçimine Dön"
"Thank you for your purchase!","Siparişiniz için teşekkür ederiz !"
"Thanks for your order. We'll email you order details and tracking information.","Siparişiniz için teşekkürler. Sipariş ayrıntıları ve izleme bilgilerini e-posta ile göndereceğiz."
"Your order numbers are: ","Sipariş numaralarınız: "
"Your order number is: ","Sipariş Numaranız: "
"Continue Shopping","Alışverişe Devam"
"We can't complete your order because you don't have a payment method set up.","Belirlenmiş bir ödeme yöntemi bulunmadığından sipariş tamamlanamıyor."
"Please choose a payment method.","Lütfen bir ödeme yöntemi seçin."
"Multishipping Settings Section","Çok Yönlü Ayarlar Bölümü"
"Multishipping Settings","Teslimat Ayarları"
"Options","Seçenekler"
"Allow Shipping to Multiple Addresses","Birden Fazla Adrese Teslimata İzin ver"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Birden Fazla Adrese Teslimat Yapmak İçin İzin Verilen En Yüksek Adet"
"Review Order","Siparişi Yorumla"
"Select Shipping Method","Teslimat yöntemi Seçiniz"
"The order was not successful!","The order was not successful!"
"Ship to:","Teslim Edilecek:"
"Error:","Hata:"
"We are unable to process your request. Please, try again later.","We are unable to process your request. Please, try again later."
"Quote address for failed order ID %1"" not found.""","Quote address for failed order ID %1"" not found."""
"The current cart does not match multi shipping criteria, please review or contact the store administrator","The current cart does not match multi shipping criteria, please review or contact the store administrator"
