"Change Billing Address","Modifier l'adresse de facturation"
"Ship to Multiple Addresses","Livrer à plusieurs adresses"
"Billing Information - %1","Informations de facturation - %1"
"Review Order - %1","Vérifier la commande - %1"
"Total","Total"
"Total for this address","Total pour cette adresse"
"Shipping Methods","Modes de livraison"
"Edit Address","Éditer l'adresse"
"Edit Billing Address","Éditer l'adresse de facturation"
"Edit Shipping Address","Éditer l'adresse de livraison"
"Create Billing Address","Créer une adresse de facturation"
"Create Shipping Address","Créer une adresse de livraison"
"Data saving problem","Problème lors de la sauvegarde des données"
"We cannot open the overview page.","Impossible d'ouvrir la page de résumé."
"Please agree to all Terms and Conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande."
"Order place error","Erreur lors de la création de commande"
"Maximum qty allowed for Shipping to multiple addresses is %1","La Qté maximale autorisée pour la livraison à plusieurs adresses est de %1"
"Please check shipping address information.","Vérifiez les informations de l'adresse de livraison."
"Please check billing address information.","Vérifiez les informations de l'adresse de facturation."
"Please select shipping methods for all addresses.","Veuillez sélectionner les méthodes de livraison pour toutes les adresses."
"A payment method is not defined.","Un mode de paiement n'est pas défini."
"The requested payment method is not available for multishipping.","Le mode de paiement demandé n'est pas disponible pour les envois multi-adresses."
"Item not found or already ordered","Produit non trouvé ou déjà commandé"
"Please specify a payment method.","Spécifiez au maximum 8 symboles. Les tranches sont acceptées (par ex. 3-5)"
"Please check shipping addresses information.","Vérifiez les informations des adresses de livraison."
"Please specify shipping methods for all addresses.","Spécifiez le mode de livraison pour chaque adresse."
"Some addresses cannot be used due to country-specific configurations.","Certaines adresses ne peuvent pas être utilisées en raison de configurations spécifiques au pays."
"Quote address for failed order not found.","Impossible de trouver l'adresse pour prévenir des commandes en erreur."
"Exception for failed order not found.","Impossible de trouver l'exception des commandes en erreur."
"Select Addresses","Choix des adresses"
"Shipping Information","Informations de livraison"
"Billing Information","Informations de facturation"
"Place Order","Passez la commande"
"Order Success","Commande effectuée"
"Order Results","Résultats de la commande"
"Default Billing","Facturation par défaut"
"Default Shipping","Livraison par défaut"
"Select Address","Sélectionner une adresse"
"Add New Address","Ajouter une adresse"
"Back to Billing Information","Retour aux informations de facturation"
"Please select a shipping address for applicable items.","Veuillez sélectionner une adresse de livraison pour les articles applicables."
"Product","Produit"
"Qty","Qté"
"Send To","Envoyer à"
"A shipping selection is not applicable.","Le choix de livraison n'est pas applicable."
