"Terms and Conditions","Käyttöehdot"
"Add New Condition","Lisää ehto"
"Save Condition","Tallenna ehto"
"Delete Condition","Poista ehto"
"Edit Terms and Conditions","Muokkaa ehtoja"
"New Terms and Conditions","Uudet käyttöehdot"
"Terms and Conditions Information","Terms and Conditions Information"
"Condition Name","Ehdon nimi"
"Status","Tila"
"Enabled","Käytössä"
"Disabled","Ei käytössä"
"Show Content as","Näytä sisältö muodossa"
"Text","Teksti"
"HTML","HTML"
"Applied","Applied"
"Store View","Kauppanäkymä"
"Checkbox Text","Valintaruudun teksti"
"Content","Sisältö"
"Content Height (css)","Sisällön korkeus (css)"
"Content Height","Sisällön korkeus"
"ID","Tunnus"
"Condition","Ehdot"
"Sales","Myynti"
"Checkout Conditions","Checkout Conditions"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"This condition no longer exists.","Tätä ehtoa ei ole enää olemassa."
"You deleted the condition.","Ehto on poistettu."
"Something went wrong  while deleting this condition.","Something went wrong  while deleting this condition."
"Edit Condition","Muokkaa ehtoa"
"New Condition","Uusi ehto"
"You saved the condition.","You saved the condition."
"Something went wrong while saving this condition.","Something went wrong while saving this condition."
"Automatically","Automaattisesti"
"Manually","Manuaalisesti"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Unable to save checkout agreement %1","Unable to save checkout agreement %1"
"Unable to remove checkout agreement %1","Unable to remove checkout agreement %1"
"Checkout agreement with specified ID ""%1"" not found.","Checkout agreement with specified ID ""%1"" not found."
"Close","Sulje"
"Terms & Conditions","Terms & Conditions"
"Enable Terms and Conditions","Enable Terms and Conditions"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The ""%1"" checkout agreement couldn't be saved.","The ""%1"" checkout agreement couldn't be saved."
"The ""%1"" checkout agreement couldn't be removed.","The ""%1"" checkout agreement couldn't be removed."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again."
