"Terms and Conditions","条款和条件"
"Add New Condition","添加新的条件"
"Save Condition","保存条件"
"Delete Condition","删除条件"
"Edit Terms and Conditions","编辑的条款和条件"
"New Terms and Conditions","新的条款和条件"
"Terms and Conditions Information","条款和条件的信息"
"Condition Name","条件名称"
"Status","状态"
"Enabled","启动"
"Disabled","禁用"
"Show Content as","显示内容作为"
"Text","文字"
"HTML","HTML"
"Applied","应用"
"Store View","商店界面"
"Checkbox Text","复选框文本"
"Content","内容"
"Content Height (css)","内容高度 (css)"
"Content Height","内容的高度"
"ID","编号ID"
"Condition","条款"
"Sales","销售"
"Checkout Conditions","签出条件"
"Checkout Terms and Conditions","购买条款"
"This condition no longer exists.","这种情况不再存在。"
"You deleted the condition.","你删除的条件。"
"Something went wrong  while deleting this condition.","删除此条件时出了错。"
"Edit Condition","编辑条件"
"New Condition","新的条件"
"You saved the condition.","你保存的条件。"
"Something went wrong while saving this condition.","这种情况在保存时出了错。"
"Automatically","自动"
"Manually","手动"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Unable to save checkout agreement %1","Unable to save checkout agreement %1"
"Unable to remove checkout agreement %1","Unable to remove checkout agreement %1"
"Checkout agreement with specified ID ""%1"" not found.","Checkout agreement with specified ID ""%1"" not found."
"Close","关闭"
"Terms & Conditions","条款及条件"
"Enable Terms and Conditions","启用的条款和条件"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The ""%1"" checkout agreement couldn't be saved.","The ""%1"" checkout agreement couldn't be saved."
"The ""%1"" checkout agreement couldn't be removed.","The ""%1"" checkout agreement couldn't be removed."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again."
