"Terms and Conditions","Zasady składania zamówień"
"Add New Condition","Dodaj nowy warunek"
"Save Condition","Zapisz warunek"
"Delete Condition","Usuń warunek"
"Edit Terms and Conditions","Edytuj zasady składania zamówień"
"New Terms and Conditions","Nowe warunki składania zamówienia"
"Terms and Conditions Information","Informacje o warunku"
"Condition Name","Nazwa warunku"
"Status","Stan"
"Enabled","Włączone"
"Disabled","Wyłączone"
"Show Content as","Pokaż zawartość jako"
"Text","Tekst"
"HTML","HTML"
"Applied","Zastosowano"
"Store View","Widok sklepu"
"Checkbox Text","Tekst pola do zaznaczenia"
"Content","Zawartość"
"Content Height (css)","Wysokość zawartości (css)"
"Content Height","Wysokość zawartości"
"ID","Identyfikator"
"Condition","Stan produktu"
"Sales","Sprzedaż"
"Checkout Conditions","Warunki zamówienia"
"Checkout Terms and Conditions","Warunki składania zamówienia"
"This condition no longer exists.","Ten warunek już nie istnieje."
"You deleted the condition.","Usunąłeś konfigurację."
"Something went wrong  while deleting this condition.","Coś się zepsuło podczas usuwania tej konfiguracji."
"Edit Condition","Edytuj warunek"
"New Condition","Nowy warunek"
"You saved the condition.","Konfiguracja została zapisana."
"Something went wrong while saving this condition.","Coś się zepsuło podczas zapisywania tej konfiguracji."
"Automatically","Automatycznie"
"Manually","Ręcznie"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Unable to save checkout agreement %1","Unable to save checkout agreement %1"
"Unable to remove checkout agreement %1","Unable to remove checkout agreement %1"
"Checkout agreement with specified ID ""%1"" not found.","Checkout agreement with specified ID ""%1"" not found."
"Close","Zamknij"
"Terms & Conditions","Regulamin"
"Enable Terms and Conditions","Włącz warunki sprzedaży"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The ""%1"" checkout agreement couldn't be saved.","The ""%1"" checkout agreement couldn't be saved."
"The ""%1"" checkout agreement couldn't be removed.","The ""%1"" checkout agreement couldn't be removed."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again."
