"Terms and Conditions","Conditions générales de ventes"
"Add New Condition","Ajouter une nouvelle condition"
"Save Condition","Sauvegarder la condition"
"Delete Condition","Supprimer la condition"
"Edit Terms and Conditions","Éditer les conditions générales de ventes"
"New Terms and Conditions","Nouvelles CGV"
"Terms and Conditions Information","Informations de conditions générales de ventes"
"Condition Name","Nom de la condition"
"Status","Statut"
"Enabled","Activé"
"Disabled","Désactivé"
"Show Content as","Afficher le contenu comme"
"Text","Texte"
"HTML","HTML"
"Applied","Appliqué"
"Store View","Vue magasin"
"Checkbox Text","Texte de la case à cocher"
"Content","Contenu"
"Content Height (css)","Hauteur du contenu (CSS)"
"Content Height","Hauteur du contenu"
"ID","Identifiant"
"Condition","Condition"
"Sales","Ventes"
"Checkout Conditions","Conditions de commande"
"Checkout Terms and Conditions","Conditions générales de ventes de passage de commande"
"This condition no longer exists.","Cette condition n'existe plus."
"You deleted the condition.","Vous avez supprimé la condition."
"Something went wrong  while deleting this condition.","Une erreur s'est produite durant la suppression de cette condition."
"Edit Condition","Éditer la condition"
"New Condition","Nouvelle condition"
"You saved the condition.","La condition a été sauvegardée."
"Something went wrong while saving this condition.","Une erreur s'est produite lors de l’enregistrement de cette condition."
"Automatically","Automatiquement"
"Manually","Manuellement"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The ""%1"" checkout agreement couldn't be saved.","The ""%1"" checkout agreement couldn't be saved."
"The ""%1"" checkout agreement couldn't be removed.","The ""%1"" checkout agreement couldn't be removed."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again."
"Close","Fermer"
"Terms & Conditions","Termes & conditions"
"Enable Terms and Conditions","Activer les conditions générales de vente"
