"Terms and Conditions","Termeni si condiții"
"Add New Condition","Adaugă o condiție nouă"
"Save Condition","Salvare condiție"
"Delete Condition","Șterge condiția"
"Edit Terms and Conditions","Editați Termenii și Condițiile"
"New Terms and Conditions","Noi termeni și condiții"
"Terms and Conditions Information","Informații termeni și condiții"
"Condition Name","Nume condiții"
"Status","Status"
"Enabled","Activat"
"Disabled","Dezactivat"
"Show Content as","Afișare conținut ca"
"Text","Text"
"HTML","HTML"
"Applied","Aplicat"
"Store View","Vizualizare Magazin"
"Checkbox Text","Bifează Text"
"Content","Conținut"
"Content Height (css)","Înălțime conținut (css)"
"Content Height","Înălțime conținut"
"ID","ID"
"Condition","Condiție"
"Sales","Vânzări"
"Checkout Conditions","Condiții de finalizare a comenzii"
"Checkout Terms and Conditions","Termenii și condițiile comenzii"
"This condition no longer exists.","Această condiție nu mai există."
"You deleted the condition.","Ai șters condiția."
"Something went wrong  while deleting this condition.","Ceva nu a mers bine în timpul ștergerii acestei condiții."
"Edit Condition","Editați condiția"
"New Condition","Condiție nouă"
"You saved the condition.","Ai salvat condiția."
"Something went wrong while saving this condition.","Ceva nu a funcționat în timpul salvării acestei condiții."
"Automatically","Automat"
"Manually","Manual"
"Please agree to all the terms and conditions before placing the order.","Vă rugăm să acceptați toți termenii și condițiile înainte de a plasa comanda."
"Unable to save checkout agreement %1","Imposibil de salvat acordul de finalizare a comenzii %1"
"Unable to remove checkout agreement %1","Imposibil de eliminat acordul de finalizare a comenzii %1"
"Checkout agreement with specified ID ""%1"" not found.","Verificarea acordului cu ID specificat ""%1"" nu a fost găsită."
"Close","Închide"
"Terms & Conditions","Termeni & Condiții"
"Enable Terms and Conditions","Activează Termenii și Condițiile"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Comanda nu a fost plasată. Mai întâi, acceptă termenii și condițiile, apoi încearcă să plasezi comanda din nou."
"The ""%1"" checkout agreement couldn't be saved.","Acordul de finalizare a comenzii ""%1"" nu a putut fi salvat."
"The ""%1"" checkout agreement couldn't be removed.","Acordul de finalizare a comenzii ""%1"" nu a putut fi eliminat."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","Nu s-a găsit un acord de finalizare a comenzii cu ""%1"" specificat. Verificați ID-ul și încercați din nou."
