"Terms and Conditions","תנאי שימוש"
"Add New Condition","הוסף תנאי חדש"
"Save Condition","שמור תנאי"
"Delete Condition","למחוק את התנאי"
"Edit Terms and Conditions","עריכת תנאים והתניות"
"New Terms and Conditions","תנאים והתניות חדשים"
"Terms and Conditions Information","מידע על תנאים והתניות"
"Condition Name","שם התנאי"
"Status","סטטוס"
"Enabled","פעיל"
"Disabled","לא פעיל"
"Show Content as","הצג תוכן כ-"
"Text","טקסט"
"HTML","HTML"
"Applied","בוצע"
"Store View","תצוגת חנות"
"Checkbox Text","תיבת סימון הטקסט"
"Content","תוכן"
"Content Height (css)","גובה התוכן (css)"
"Content Height","גובה התוכן"
"ID","מזהה"
"Condition","תנאי"
"Sales","מכירות"
"Checkout Conditions","תנאי הקופה"
"Checkout Terms and Conditions","התנאים וההגבלות של הקופה"
"This condition no longer exists.","מצב זה לא קיים עוד."
"You deleted the condition.","אתה מחקת את התנאי."
"Something went wrong  while deleting this condition.","משהו השתבש בעת מחיקת תנאי זה."
"Edit Condition","ערוך תנאי"
"New Condition","תנאי חדש"
"You saved the condition.","שמרת את התנאי."
"Something went wrong while saving this condition.","משהו השתבש בעת שמירת תנאי זה."
"Automatically","באופן אוטומטי"
"Manually","ידני"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Unable to save checkout agreement %1","Unable to save checkout agreement %1"
"Unable to remove checkout agreement %1","Unable to remove checkout agreement %1"
"Checkout agreement with specified ID ""%1"" not found.","Checkout agreement with specified ID ""%1"" not found."
"Close","סגור"
"Terms & Conditions","תנאים והתניות"
"Enable Terms and Conditions","לאפשר תנאים והתניות"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The ""%1"" checkout agreement couldn't be saved.","The ""%1"" checkout agreement couldn't be saved."
"The ""%1"" checkout agreement couldn't be removed.","The ""%1"" checkout agreement couldn't be removed."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again."
