"Return","Povraćaj"
"Returns","Povraćaji"
"Create Returns","Kreiraj Povraćaji"
"Select Items","Izaberi Items"
"New Return Request","Novo Povraćaj Zahtev"
"Create New RMA for %1 in %2","Kreiraj Novo RMA for %1 in %2"
"Create New RMA for %1","Kreiraj Novo RMA for %1"
"Create New RMA","Kreiraj Novo RMA"
"Please Select Order","Please Izaberi Porudžbina"
"Order","Porudžbina"
"Purchase Point","Kupovina"
"Purchased","Naručeno"
"Customer First Name","Ime kupca"
"Customer Last Name","Prezime kupca"
"Grand Total (Base)","Grand Ukupno (Base)"
"Grand Total (Purchased)","Grand Ukupno (Purchased)"
"Status","Status"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Close","Zatvori"
"Are you sure you want to close this returns request?","Da li ste sigurni želite da close this returns request?"
"Print","Ispišite"
"Return #%1 - %2","Povraćaj #%1 - %2"
"RMA Item Details","RMA Item Detalji"
"OK","OK"
"Cancel","Odustani"
"No","Ne"
"Yes","Da"
"Delete Image","Izbriši sliku"
"View Full Size","Pogledaj u Punoj Veličini"
"General Information","Opšte informacije"
"Submit Comment","Pošalji Comment"
"Add","Dodaj"
"Custom Value","Prilagođene vrednosti"
"Print Shipping Label","Štampaj Dostava Label"
"Show Packages","Prikaži Packages"
"Items","Stavke"
"Return Items","Povraćaj Items"
"Product","Proizvod"
"SKU","Šifra"
"Remaining","Preostalo"
"Requested","Zatraženo"
"Authorized","Odobren"
"Returned","Returned"
"Approved","Odobren"
"Return Reason","Povraćaj Reason"
"Item Condition","Item Condition"
"Resolution","Resolution"
"Details","Detalji"
"Split","Razdvoji"
"Action","Akcija"
"Return Information","Povraćaj Informacije"
"RMA","RMA"
"Ordered","Porućeno"
"Customer","Kupac"
"View","Pregled"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","You have chosen to change status(es) of the selected RMA requests to Zatvori. Da li ste sigurni želite da continue?"
"Return Item Attribute","Povraćaj Item Atribut"
"Add New Attribute","Dodavanje novih atributa"
"Save Attribute","Sačuvati atribut"
"Delete Attribute","Izbrisati atribut"
"Edit Return Item Attribute ""%1""","Izmena atributa stavke povraćaja ""%1"""
"New Return Item Attribute","Novo Povraćaj Item Atribut"
"Input Type","Vrsta unosa"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Koristi se interno. Ne koristite razmak ili više od %1 simbola."
"Lines Count","Broj Linija"
"Valid range 2-20","Validni opseg 2-20"
"Input Validation","Validacija Unosa"
"None","Ništa"
"Minimum Text Length","Minimalna Dužina Teksta"
"Maximum Text Length","Maksimalna Dužina Teksta"
"Maximum File Size (bytes)","Maksimalna Veličina Fajla (bytes)"
"File Extensions","Ekstenzije Fajla"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Maksimalna širina slike (px)"
"Maximum Image Height (px)","Maksimalna Visina slike (px)"
"Input/Output Filter","Input/Output Filter"
"Storefront Properties","Osobine izloga prodavnice"
"Show on Storefront","Prikaži u Izlogu"
"Sort Order","Redosled porudžbina"
"Forms to Use In","Forme za Korišćenje U"
"Properties","Svojstva"
"Manage Label / Options","Upravljaj Oznakama / Opcijama"
"Attribute Information","Atribut informacije"
"Visible to Customer","Vidljivo Kupcu"
"Submit Returns","Pošalji Povraćaji"
"Add Products","Dodaj proizvode"
"Add Selected Product(s) to returns","Dodaj Selected Proizvod(s) to returns"
"Product Name","Naziv proizvoda"
"Remaining Qty","Remaining Kol"
"Requested Qty","Requested Kol"
"Reason to Return","Reason to Povraćaj"
"Delete","Obrisati"
"Add Details","Dodaj Detalji"
"Select","Izaberite"
"Price","Cena"
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"Invalid RMA","Neispravan RMA"
"Please enter a valid message.","Molimo unesite a valid message."
"We cannot add the RMA history.","We ne može add the RMA history."
"Invalid order","Neispravan order"
"We can't retrieve the product list right now.","We can't retrieve the product list right now."
"Please specify a carrier.","Navedite operatera."
"Please enter a tracking number.","Molimo unesite Unesite broj za praćenje."
"We cannot initialize an RMA to add a tracking number.","We ne može initialize an RMA to add a tracking number."
"We can't add a message right now.","We can't add a message right now."
"New Return","Novo Povraćaj"
"%1 RMA(s) cannot be closed","%1 RMA(s) ne može be closed"
"We cannot close the RMA request(s).","We ne može close the RMA request(s)."
"%1 RMA (s) have been closed.","%1 RMA (s) su closed."
"You created a shipping label.","You created a shipping label."
"We can't create a shipping label right now.","We can't create a shipping label right now."
"Manage RMA Item Attributes","Manage RMA Item Attributes"
"You cannot delete this attribute.","Ne možete obrisati atribut."
"You deleted the RMA attribute.","You deleted the RMA attribute."
"We can't delete the RMA item attribute right now.","We can't delete the RMA item attribute right now."
"This attribute no longer exists.","Ovaj atribut više ne postoji."
"You cannot edit this attribute.","Ne možete izmeniti atribut."
"Edit Return Item Attribute","Izmeni Povraćaj Item Atribut"
"Returns Attributes","Povraćaji Attributes"
"New Return Attribute","Novo Povraćaj Atribut"
"You saved the RMA item attribute.","You saved the RMA item attribute."
"Something went wrong while saving the RMA item attribute.","Nešto nije u redu while saving the RMA item attribute."
"An attribute with the same code already exists.","An attribute with the same code already exists."
"The wrong RMA item was requested.","The wrong RMA item was requested."
"We cannot display the item attributes.","We ne može display the item attributes."
"There are no applicable items for return in this order.","There are no applicable items for return in this order."
"We don't recognize or support the file extension in shipment %1.","We don't recognize or support the file extension in shipment %1."
"Something went wrong creating a shipping label.","Nešto nije u redu creating a shipping label."
"A quantity you're trying to add exceeds the number of products we shipped.","A quantity you're trying to add exceeds the number of products we shipped."
"Products should be added to package(s)","Proizvodi should be added to package(s)"
"Please enter a valid value.","Molimo unesite a valid value."
"This is the wrong RMA ID.","This is the wrong RMA ID."
"We cannot display the available shipping methods.","We ne može display the available shipping methods."
"We cannot initialize an RMA to delete a tracking number.","We ne može initialize an RMA to delete a tracking number."
"We can't delete the tracking number right now.","We can't delete the tracking number right now."
"We can't save this RMA.","We can't save this RMA."
"You saved the RMA request.","You saved the RMA request."
"You did not email your customer. Please check your email settings.","You did not email your customer. Please check your email settings."
"You submitted the RMA request.","You submitted the RMA request."
"No items for bundle product","Ne items for bundle product"
"The wrong order ID or item ID was requested.","The wrong order ID or item ID was requested."
"Page not found.","Stranica nije pronađena."
"Shipping Labels are not allowed.","Dostava Labels are not allowed."
"Please select a valid carrier.","Molimo izaberite a valid carrier."
"Please enter a valid tracking number.","Molimo unesite a valid tracking number."
"We can't add a label right now.","We can't add a label right now."
"You selected the wrong RMA.","You selected the wrong RMA."
"We can't create a return transaction for order #%1.","We can't create a return transaction for order #%1."
"You submitted Return #%1.","You submitted Povraćaj #%1."
"We can't create a return right now. Please try again later.","We can't create a return right now. Pokušajte ponovo later."
"Create New Return","Kreiraj Novo Povraćaj"
"We can't delete the label right now.","We can't delete the label right now."
"Return #%1","Povraćaj #%1"
"Cannot add message.","Ne može add message."
"My Returns","My Povraćaji"
"Tracking Information","Tracking Informacije"
"Page not found","Stranica nije pronađeno"
"Please check this order for errors.","Please check this order for errors."
"Contact Email Address","Contact E-pošta Adresa"
"Text Field","Tekstualno Polje"
"Text Area","Tekstualna Oblast"
"Dropdown","Padajuća lista"
"Image File","Slikovni Fajl"
"Could not save the RMA comment.","Nije mogao save the RMA comment."
"Could not delete the RMA comment.","Nije mogao delete the RMA comment."
"Only one RMA is available for printing","Only one RMA is available for printing"
"Return # ","Povraćaj #"
"Return Date: ","Povraćaj Datum:"
"Order # ","Porudžbina #"
"Ordered: ","Ordered:"
"Shipping Address:","Adresa za isporuku:"
"Return Address:","Povraćaj Adresa:"
"Condition","Stanje"
"Qty","Kol"
"There is an error in quantities for item %1.","There is an error in quantities for item %1."
"Authorized Qty","Authorized Kol"
"Returned Qty","Returned Kol"
"Approved Qty","Odobren Kol"
"%1 for item %2 cannot be empty.","%1 for item %2 ne može be empty."
"You cannot return %1.","You ne može return %1."
"A quantity of %1 is greater than you can return.","A quantity of %1 is greater than you can return."
"You entered an invalid type: ""%1"".","Uneli ste nevažeći tip: ""%1""."
"You entered an invalid email address: ""%1"".","Uneli ste nevažeću email adresu: ""%1""."
"You entered an invalid hostname: ""%1""","Uneli ste nevažeći hostname: ""%1"""
"""%1"" is longer than allowed.","""%1"" je duže od dozvoljenog."
"Unknown service","Nepoznat service"
"We can't save this RMA. No items were specified.","We can't save this RMA. Ne items were specified."
"Pending","Na čekanju"
"Partially Authorized","Partially Authorized"
"Return Received","Povraćaj Received"
"Return Partially Received","Povraćaj Partially Received"
"Partially Approved","Partially Odobren"
"Rejected","Odbijen"
"Partially Rejected","Partially Odbijen"
"Denied","Denied"
"Closed","Zatvoreno"
"Processed and Closed","Processed and Zatvoren"
"This is the wrong RMA item status.","This is the wrong RMA item status."
"We placed your Return request.","We placed your Povraćaj request."
"We authorized your Return request.","We authorized your Povraćaj request."
"We partially authorized your Return request.","We partially authorized your Povraćaj request."
"We received your Return request.","We received your Povraćaj request."
"We partially received your Return request.","We partially received your Povraćaj request."
"We partially approved your Return request.","We partially approved your Povraćaj request."
"We partially rejected your Return request.","We partially rejected your Povraćaj request."
"We closed your Return request.","We closed your Povraćaj request."
"We processed and closed your Return request.","We processed and closed your Povraćaj request."
"ID cannot be an empty","ID ne može be an empty"
"Requested entity doesn't exist","Requested entity ne postoji"
"Could not save the RMA entity.","Nije mogao save the RMA entity."
"Could not delete the RMA entity.","Nije mogao delete the RMA entity."
"Please enter a valid comment.","Molimo unesite a valid comment."
"No such entity with %1 = %2, %3 = %4","Ne such entity with %1 = %2, %3 = %4"
"Invalid carrier: %1","Neispravan carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","We need more information to create your shipping label(s). Please verify your store information and shipping settings."
"No detail for number ""%1""","Nema detalja za broj ""%1"""
"Shipment does not exists.","Pošiljka ne postojis."
"We can't load track with retrieving identifier right now.","We can't load track with retrieving identifier right now."
"Could not save the RMA tracking.","Nije mogao save the RMA tracking."
"Could not delete the RMA tracking.","Nije mogao delete the RMA tracking."
"Message","Poruka"
"No detail for number ""' . . '""","Nema detalja za broj ""' . . '"""
"Use Config Settings","Koristi konfiguraciona podešavanja"
"All Items","Sve Items"
"Individual Items","Individual Items"
"Account &amp; Shipping Information","Nalog &amp; Dostava Informacije"
"Address Information","Informacija o Adresi"
"RMA Totals","RMA Totals"
"Request Details","Zahtev Detalji"
"ID","ID"
"#","#"
"Order ID","ID porudžbine"
"Customer Name","Kupac Naziv"
"Email Address","E-mail adresa"
"RMA History","RMA History"
"Comment Text","Tekst komentara"
"Notify Customer by Email","Obavesti Kupca Mejlom"
"Visible on Storefront","Visible on Storefront"
"Customer Service","Korisnički servis"
"Notified","Obavešten"
"Not Notified","Not Notified"
"Return Address","Povraćaj Adresa"
"Order Shipping Address","Porudžbina Dostava Adresa"
"Delete Line","Obriši Line"
"Select All","Izaberi sve"
"Weight","Težina"
"Customs Value","Customs Vrednost"
"Qty Ordered","Naručena količina"
"Shipping Information","Informacije o dostavi"
"Change shipping method.","Change shipping method."
"No authorized items or allowed shipping methods","Ne authorized items or allowed shipping methods"
"Carrier","Carrier"
"Title","Naslov"
"Number","Number"
"Are you sure?","Da li ste sigurni?"
"Shipping Method","Način dostave"
"Create Shipping Label","Kreiraj Dostava Label"
"Enabled when authorized items require a new shipment.","Omogućen when authorized items require a new shipment."
"Order &amp; Account Information","Porudžbina &amp; Nalog Informacije"
"Return Totals","Povraćaj Totals"
"Return Confirmation","Povraćaj Confirmation"
"Email Returns Confirmation","E-pošta Povraćaji Confirmation"
"RMA Items Requested for","RMA Items Requested for"
"Please Select Products to Add","Please Izaberi Proizvodi to Dodaj"
"Remove","Ukloni"
"Item","Artikal"
"Return items","Povraćaj items"
"Sub-items","Sub-items"
"Quantity To Return","Količina To Povraćaj"
"Remaining Quantity:","Remaining Količina:"
"New Return for Order %1","Novo Povraćaj for Porudžbina %1"
"Email","E-pošta"
"Return Items Information","Povraćaj Items Informacije"
"Add Item To Return","Dodaj Item To Povraćaj"
"Comments","Comments"
"Save","Sačuvaj"
"Submit","Pošalji"
"Back","Nazad"
"Return #","Povraćaj #"
"Date","Datum"
"Ship From","Ship From"
"Return Status","Povraćaj Status"
"Actions","Radnje"
"View Return","Pregled Povraćaj"
"You have placed no returns.","You have placed no returns."
"Packages","Packages"
"Close Window","Zatvori prozor"
"Package","Package"
"Type","Tip"
"Length","Length"
"Total Weight","Ukupna težina"
"Width","Širina"
"Height","Visina"
"Items in the Package","Predmeti u paketu"
"Are you sure you want to delete this tracking information?","Da li ste sigurni želite da delete this tracking information?"
"Request Information","Zahtev Informacije"
"Date Requested","Datum Requested"
"Shipping Address","Adresa za isporuku"
"This won't take long . . .","This won't take long . . ."
"Shipping and Tracking Information","Dostava and Tracking Informacije"
"Track this shipment","Track this shipment"
"Items Return Requested For","Items Povraćaj Requested For"
"Request Qty","Zahtev Kol"
"Hide Details","Sakrij Detalji"
"Show Details","Prikaži Detalji"
"Questions and Answers","Questions and Answers"
"Questions","Questions"
"Answers","Answers"
"Leave Comment","Leave Comment"
"%store_name:  New customer comment","%store_name:  Novo customer comment"
"New Comment for RMA #%increment_id","Novo Comment for RMA #%increment_id"
"Customer %name has left a new comment:","Kupac %name has left a new comment:"
"%store_name : New Return #%increment_id","%store_name : Novo Povraćaj #%increment_id"
"%name,","%naziv,"
"Your return request has been updated. Please see below.","Your return request je updated. Please see below."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","Možete proveriti status vašeg povraćaja <a href=""%account_url"">prijavljivanjem na svoj nalog</a> ili <a href=""%form_url"">koristeći broj porudžbine</a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","Ako imate bilo kakvih pitanja, slobodno nas kontaktirajte na <a href=""mailto:%support_email"">%support_email</a> ili telefonom na %store_phone"
"Your Return #%increment_id - %status_label","Your Povraćaj #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: Novo Povraćaj #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","Možete proveriti status vašeg povraćaja <a href=""%form_url"">koristeći broj porudžbine</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","Ako imate bilo kakvih pitanja o vašem povraćaju, kontaktirajte nas na <a href=""mailto:%support_email"">%support_email</a>."
"%store_name: Return #%increment_id update","%store_name: Povraćaj #%increment_id update"
"We received your return request. You will be notified when your request is reviewed.","We received your return request. You will be notified when your request is reviewed."
"Placed on %created_at","Placed on %created_at"
"Click Details for more required fields.","Click Detalji for more obavezno poljes."
"Ok","U redu"
"Create Packages","Kreiraj Packages"
"Add Package","Dodaj Package"
"RMA Settings","RMA Podešavanja"
"Enable RMA on Storefront","Omogući RMA on Storefront"
"Enable RMA on Product Level","Omogući RMA on Proizvod Level"
"Use Store Address","Use Prodavnica Adresa"
"Contact Name","Contact Naziv"
"Street Address","Adresa"
"City","Grad"
"State/Province","Država"
"ZIP/Postal Code","Poštanski broj"
"Country","Država"
"Enabled","Omogućeno"
"RMA Email Sender","RMA E-pošta Sender"
"RMA Email Template","RMA E-pošta Template"
"RMA Email Template for Guest","RMA E-pošta Template for Guest"
"Send RMA Email Copy To","Pošalji RMA E-pošta Kopiraj To"
"Comma-separated","Comma-separated"
"Send RMA Email Copy Method","Pošalji RMA E-pošta Kopiraj Method"
"RMA Authorization","RMA Authorization"
"RMA Authorization Email Sender","RMA Authorization E-pošta Sender"
"RMA Authorization Email Template","RMA Authorization E-pošta Template"
"RMA Authorization Email Template for Guest","RMA Authorization E-pošta Template for Guest"
"Send RMA Authorization Email Copy To","Pošalji RMA Authorization E-pošta Kopiraj To"
"Send RMA Authorization Email Copy Method","Pošalji RMA Authorization E-pošta Kopiraj Method"
"RMA Admin Comments","RMA Admin Comments"
"RMA Comment Email Sender","RMA Comment E-pošta Sender"
"RMA Comment Email Template","RMA Comment E-pošta Template"
"RMA Comment Email Template for Guest","RMA Comment E-pošta Template for Guest"
"Send RMA Comment Email Copy To","Pošalji RMA Comment E-pošta Kopiraj To"
"RMA Customer Comments","RMA Kupac Comments"
"RMA Comment Email Recipient","RMA Comment E-pošta Recipient"
"Enabled for RMA","Omogućen for RMA"
"Use config","Koristi konfiguraciju"
"%store_name : New Return # %increment_id","%store_name : Novo Povraćaj # %increment_id"
"%store_name: New Return # %increment_id","%store_name: Novo Povraćaj # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Povraćaj # %increment_id update"
"Comma separated. Forbidden file extensions: %1.","Odvojeno zarezima. Zabranjena ekstenzija fajla: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Atribut ne može biti sačuvan zbog greške. Proverite informacije i pokušajte ponovo. Ukoliko i dalje prikazuje grešku, molimo pokušajte kasnije."
"Please correct the value for file extensions.","Molimo ispravite vrednosti ekstenzije fajlova."
"Invalid Form Key. Please refresh the page.","Nevažeća šifra za formu. Molim osvežite stranicu."
"The label cannot be created for '%1' because the product does not exist in the system.","The label ne može be created for '%1' because the product ne postoji in the system."
"The service is unknown. Verify the service and try again.","The service is nepoznat. Verify the service and pokušajte ponovo."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested ne postoji. Verify the entity and pokušajte ponovo."
"The ""%1"" carrier is invalid. Verify and try again.","Kurir ""%1"" je nevažeći. Proverite i pokušajte ponovo."
