"Return","החזרה"
"Returns","החזרות"
"Create Returns","ליצור החזרות"
"Select Items","בחרו פריטים"
"New Return Request","בקשת החזרה חדשה"
"Create New RMA for %1 in %2","ליצור RMA חדש עבור %1 %2"
"Create New RMA for %1","ליצור RMA חדש עבור %1"
"Create New RMA","ליצור RMA חדש"
"Please Select Order","בחר הזמנה"
"Order","הזמנה"
"Purchase Point","נקודת רכישה"
"Purchased","נרכש"
"Customer First Name","השם הפרטי של הלקוח"
"Customer Last Name","שם המשפחה של הלקוח"
"Grand Total (Base)","הסכום הכולל (בסיס)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Status","סטטוס"
"Save and Continue Edit","שמור והמשך בעריכה"
"Close","סגור"
"Are you sure you want to close this returns request?","האם ברצונך לסגור את בקשת ההחזרה הזו?"
"Print","הדפסה"
"Return #%1 - %2","Return #%1 - %2"
"RMA Item Details","RMA Item Details"
"OK","אישור"
"Cancel","ביטול"
"No","לא"
"Yes","כן"
"Delete Image","מחיקת תמונה"
"View Full Size","תצוגה בגודל מלא"
"General Information","מידע כללי"
"Submit Comment","שלח הערה"
"Add","הוספה"
"Custom Value","ערך מותאם אישית"
"Print Shipping Label","הדפס תווית משלוח"
"Show Packages","הצג חבילות"
"Items","פריטים"
"Return Items","Return Items"
"Product","מוצר"
"SKU","מק''ט"
"Remaining","הנותרים"
"Requested","המבוקש"
"Authorized","מאושר"
"Returned","הוחזר"
"Approved","אושרה"
"Return Reason","סיבת החזרה"
"Item Condition","Item Condition"
"Resolution","Resolution"
"Details","פרטים"
"Split","Split"
"Action","פעולה"
"Return Information","פרטי חזרה"
"RMA","RMA"
"Ordered","הוזמן"
"Customer","לקוח"
"View","הצגה"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?"
"Return Item Attribute","Return Item Attribute"
"Add New Attribute","הוסף תכונה חדשה"
"Save Attribute","שמור תכונה"
"Delete Attribute","מחק תכונה"
"Edit Return Item Attribute ""%1""","Edit Return Item Attribute ""%1"""
"New Return Item Attribute","New Return Item Attribute"
"Input Type","סוג הקלט"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","זהו מידע לשימוש פנימי. ודאו שאינכם משתמשים ברווחים או ביותר מ-%1 תווים."
"Lines Count","ספירת קווים"
"Valid range 2-20","טווח חוקי 2-20"
"Input Validation","אימות קלט"
"None","ללא"
"Minimum Text Length","אורך טקסי מינימלי"
"Maximum Text Length","אורך טקסי מקסימלי"
"Maximum File Size (bytes)","גודל קובץ מירבי (בתים)"
"File Extensions","סיומות של קבצים"
"Comma separated","Comma separated"
"Maximum Image Width (px)","רוחב תמונה מקסימלי (פיקסלים)"
"Maximum Image Height (px)","גובה תמונה מקסימלי (פיקסלים)"
"Input/Output Filter","מסנן קלט/פלט"
"Storefront Properties","מאפייני תצוגת חנות"
"Show on Storefront","הצג בקדמת החנות"
"Sort Order","סדר מיון"
"Forms to Use In","טפסים לשימוש ב-"
"Properties","מאפיינים"
"Manage Label / Options","ניהול תוויות/אפשרויות"
"Attribute Information","מידע אודות תכונה"
"Visible to Customer","גלוי ללקוח"
"Submit Returns","הזנת החזרות"
"Add Products","הוסף מוצרים"
"Add Selected Product(s) to returns","Add Selected Product(s) to returns"
"Product Name","שם מוצר"
"Remaining Qty","Remaining Qty"
"Requested Qty","Requested Qty"
"Reason to Return","Reason to Return"
"Delete","מחק"
"Add Details","Add Details"
"Select","בחירה"
"Price","מחיר"
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"Invalid RMA","Invalid RMA"
"Please enter a valid message.","נא להזין הודעה תקינה."
"We cannot add the RMA history.","We cannot add the RMA history."
"Invalid order","Invalid order"
"We can't retrieve the product list right now.","אין לנו את האפשרות להציג את רשימת המוצרים עכשיו."
"Please specify a carrier.","נא לציין מוביל."
"Please enter a tracking number.","נא הזן מספר מעקב."
"We cannot initialize an RMA to add a tracking number.","We cannot initialize an RMA to add a tracking number."
"We can't add a message right now.","איננו יכולים להוסיף הודעה כרגע."
"New Return","New Return"
"%1 RMA(s) cannot be closed","%1 RMA(s) cannot be closed"
"We cannot close the RMA request(s).","We cannot close the RMA request(s)."
"%1 RMA (s) have been closed.","%1 RMA (s) have been closed."
"You created a shipping label.","יצירת תווית משלוח."
"We can't create a shipping label right now.","איננו יכולים ליצור תווית משלוח עכשיו."
"Manage RMA Item Attributes","Manage RMA Item Attributes"
"You cannot delete this attribute.","לא ניתן למחוק תכונה זו."
"You deleted the RMA attribute.","You deleted the RMA attribute."
"We can't delete the RMA item attribute right now.","איננו יכולים למחוק את תכונת הפריט RMA עכשיו."
"This attribute no longer exists.","התכונה כבר לא קיימת."
"You cannot edit this attribute.","לא ניתן לערוך תכונה זו."
"Edit Return Item Attribute","Edit Return Item Attribute"
"Returns Attributes","Returns Attributes"
"New Return Attribute","New Return Attribute"
"You saved the RMA item attribute.","You saved the RMA item attribute."
"Something went wrong while saving the RMA item attribute.","Something went wrong while saving the RMA item attribute."
"An attribute with the same code already exists.","An attribute with the same code already exists."
"The wrong RMA item was requested.","The wrong RMA item was requested."
"We cannot display the item attributes.","We cannot display the item attributes."
"There are no applicable items for return in this order.","There are no applicable items for return in this order."
"We don't recognize or support the file extension in shipment %1.","We don't recognize or support the file extension in shipment %1."
