"Return","Zwrot"
"Returns","Zwroty"
"Create Returns","Utworzyć zwroty"
"Select Items","Wybierz pozycje"
"New Return Request","Nowe żądanie zwrotu"
"Create New RMA for %1 in %2","Utwórz nowe zlecenie RMA dla %1 w %2"
"Create New RMA for %1","Utwórz nowe zlecenie RMA dla %1"
"Create New RMA","Utwórz nowe zlecenie RMA"
"Please Select Order","Proszę wybrać zamówienie"
"Order","Zamówienie"
"Purchase Point","Miejsce zakupu"
"Purchased","Zakupiono"
"Customer First Name","Imię klienta"
"Customer Last Name","Nazwisko klienta"
"Grand Total (Base)","Łączna suma (podstawowy)"
"Grand Total (Purchased)","Łączna suma (zakupu)"
"Status","Stan"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Close","Zamknij"
"Are you sure you want to close this returns request?","Czy na pewno chcesz zamknąć ten wniosek zwrotu?"
"Print","Drukuj"
"Return #%1 - %2","Zwraca #%1 - %2"
"RMA Item Details","Szczegóły produktów zlecenia RMA"
"OK","OK"
"Cancel","Anuluj"
"No","Nie"
"Yes","Tak"
"Delete Image","Usuń obraz"
"View Full Size","Zobacz pełen rozmiar"
"General Information","Ogólne"
"Submit Comment","Dodaj komentarz"
"Add","Dodaj"
"Custom Value","Niestandardowa wartość"
"Print Shipping Label","Wydrukuj etykietę wysyłkową"
"Show Packages","Pokaż paczki"
"Items","Pozycje"
"Return Items","Zwróć produkty"
"Product","Produkt"
"SKU","SKU"
"Remaining","Pozostałe"
"Requested","Wymagany"
"Authorized","Upoważniony"
"Returned","Zwrócony"
"Approved","Zatwierdzony"
"Return Reason","Powód zwrotu"
"Item Condition","Stan produktu"
"Resolution","Zwrot/wymiana"
"Details","Szczegóły"
"Split","Podział"
"Action","Operacja"
"Return Information","Informacje o zwrotach"
"RMA","RMA"
"Ordered","Zamówień"
"Customer","Klient"
"View","Zobacz"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Wybrano opcję zmiany statusu\ów wybranych zleceń RMA na zamknięte. Czy jesteś pewnien, że chcesz kontynuować?"
"Return Item Attribute","Cecha pozycji zwrotu"
"Add New Attribute","Dodaj cechę"
"Save Attribute","Zapisz cechę"
"Delete Attribute","Usuń cechę"
"Edit Return Item Attribute ""%1""","Edytuj atrybut zwrotu towaru ""%1"""
"New Return Item Attribute","Nowa cecha pozycji zwrotu"
"Input Type","Typ pola"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Ta wartość jest używana wewnętrznie. Upewnij się, że nie ma spacji lub więcej niż %1 symboli."
"Lines Count","Liczba linii"
"Valid range 2-20","Prawidłowy zakres 2-20"
"Input Validation","Sprawdzanie danych wejściowych"
"None","Brak"
"Minimum Text Length","Minimalna długość  tekstu"
"Maximum Text Length","Maksymalna długość tekstu"
"Maximum File Size (bytes)","Maksymalny rozmiar pliku (bajty)"
"File Extensions","Rozszerzenia plików"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Maksymalna szerokość obrazu (px)"
"Maximum Image Height (px)","Maksymalna wysokość obrazu (px)"
"Input/Output Filter","Filtr wejścia/wyjścia"
"Storefront Properties","Właściwości w sklepie"
"Show on Storefront","Pokaż na witrynie"
"Sort Order","Kolejność sortowania"
"Forms to Use In","Formularze do wykorzystania w"
"Properties","Właściwości"
"Manage Label / Options","Zarządzaj etykietami/opcjami"
"Attribute Information","Informacje cechy"
"Visible to Customer","Widoczny dla klienta"
"Submit Returns","Prześlij Odpowiedź"
"Add Products","Dodaj produkty"
"Add Selected Product(s) to returns","Dodaj wybrane produkty jako zwrot"
"Product Name","Nazwa produktu"
"Remaining Qty","Pozostała liczba"
"Requested Qty","Żądana liczba"
"Reason to Return","Powód zwrotu"
"Delete","Usuń"
"Add Details","Dodaj szczegóły"
"Select","Wybierz"
"Price","Cena"
"The wrong RMA was requested.","Został zgłoszony zły RMA."
"This is the wrong RMA order ID.","Zły identyfikator zamówienia RMA."
"Invalid RMA","Błędne zlecenie RMA"
"Please enter a valid message.","proszę wprowadź poprawną wiadomość"
"We cannot add the RMA history.","Nie można dodać historii zleceń RMA."
"Invalid order","Nieprawidłowe zamówienie"
"We can't retrieve the product list right now.","W tej chwili nie możemy pobrać listy produktów."
"Please specify a carrier.","Proszę określić dostawcę."
"Please enter a tracking number.","Proszę wprowadzić kod śledzenia."
"We cannot initialize an RMA to add a tracking number.","My nie może zainicjować RMA do dodania numeru śledzenia."
"We can't add a message right now.","W tej chwili nie możemy dodać wiadomości."
"New Return","Nowy zwrot"
"%1 RMA(s) cannot be closed","%1 zleceń RMA nie może zostać zamkniętych"
"We cannot close the RMA request(s).","Nie można zamknąć żądań RMA."
"%1 RMA (s) have been closed.","%1 zleceń RMA zostało zamkniętych."
"You created a shipping label.","Utworzyłeś adres dostawy."
"We can't create a shipping label right now.","Teraz nie możemy utworzyć etykiety wysyłki."
"Manage RMA Item Attributes","Zarządzaj atrybutami produktów zleceń RMA"
"You cannot delete this attribute.","Nie można usunąć tego atrybutu."
"You deleted the RMA attribute.","Usunięty atrybut RMA."
"We can't delete the RMA item attribute right now.","Nie można teraz usunąć atrybutu produktu RMA."
"This attribute no longer exists.","Taki atrybut nie istnieje."
"You cannot edit this attribute.","Nie można edytować tego atrybutu."
"Edit Return Item Attribute","Edytuj atrybut zwrotu towaru"
"Returns Attributes","Atrybuty zwrotów"
"New Return Attribute","Nowy atrybut zwrotu"
"You saved the RMA item attribute.","Atrybut produktu RMA został zapisany."
"Something went wrong while saving the RMA item attribute.","Coś się zepsuło podczas zapisywania atrybutu element RMA."
"An attribute with the same code already exists.","Cecha o podanym kodzie już istnieje."
"The wrong RMA item was requested.","Niewłaściwy element RMA został zgłoszony."
"We cannot display the item attributes.","Nie można wyświetlić atrybutów produktu."
"There are no applicable items for return in this order.","Nie ma odpowiednich produktów dla zwrotu tego zamówienia."
"We don't recognize or support the file extension in shipment %1.","Nie możemy rozpoznać lub wesprzeć rozszerzenia pliku tej wysyłki: %1."
"Something went wrong creating a shipping label.","Coś się zepsuło, tworząc etykietę wysyłkową."
"A quantity you're trying to add exceeds the number of products we shipped.","Ilość którą próbujesz dodać przekracza liczbę wysyłanych przez nas produktów."
"Products should be added to package(s)","Produkty powinny zostać dodane do paczek"
"Please enter a valid value.","Podaj prawidłową wartość."
"This is the wrong RMA ID.","Zły identyfikator RMA."
"We cannot display the available shipping methods.","Nie można wyświetlić dostępnych metod wysyłki."
"We cannot initialize an RMA to delete a tracking number.","My nie może zainicjować RMA do usunięcia numeru śledzenia."
"We can't delete the tracking number right now.","W tej chwili nie możemy usunąć numeru śledzenia."
"We can't save this RMA.","Nie możemy zapisać tego RMA."
"You saved the RMA request.","Zapisano żądanie RMA."
"You did not email your customer. Please check your email settings.","Nie utworzono emalia klienta. Proszę sprawdzić ustawienia e-mail."
"You submitted the RMA request.","Zgłoszono żądanie RMA."
"No items for bundle product","Brak przedmiotów dla tego produktu grupowanego"
"The wrong order ID or item ID was requested.","Nieprawidłowy identyfikator zamówienia lub produktu."
"Page not found.","Nie znaleziono strony."
"Shipping Labels are not allowed.","Etykiety wysyłkowe nie są dozwolone."
"Please select a valid carrier.","Proszę wybrać prawidłowego przewoźnika."
"Please enter a valid tracking number.","Proszę wprowadzić prawidłowy kod śledzenia przesyłki."
"We can't add a label right now.","W tej chwili nie możemy dodać etykiety."
"You selected the wrong RMA.","Wybrano niewłaściwy RMA."
"We can't create a return transaction for order #%1.","Nie możemy utworzyć transakcji zwrotnej dla zamówienia #%1."
"You submitted Return #%1.","Dodano zwrot #%1."
"We can't create a return right now. Please try again later.","W tej chwili nie możemy utworzyć zwrotu. Proszę spróbować później."
"Create New Return","Utwórz nowe żądanie zwrotu"
"We can't delete the label right now.","W tej chwili nie możemy usunąć etykiety."
"Return #%1","Zwrot #%1"
"Cannot add message.","Nie można dodać wiadomości."
"My Returns","Moje zwroty"
"Tracking Information","Informacje o stanie dostawy"
"Page not found","Nie znaleziono strony"
"Please check this order for errors.","Prosimy o sprawdzenie tego nakazu błędy."
"Contact Email Address","Kontaktowy adres e-mail"
"Text Field","Pole tekstowe"
"Text Area","Pole typu textarea"
"Dropdown","Lista rozwijana"
"Image File","Plik obrazu"
"Could not save the RMA comment.","Could not save the RMA comment."
"Could not delete the RMA comment.","Could not delete the RMA comment."
"Only one RMA is available for printing","Można wydrukować tylko jedno zlecenie RMA"
"Return # ","Zwrot # "
"Return Date: ","Data zwrotu: "
"Order # ","Zamówienie # "
"Ordered: ","Zamówione: "
"Shipping Address:","Adres dla dostawy:"
"Return Address:","Adres zwrotny:"
"Condition","Stan produktu"
"Qty","Ilość"
"There is an error in quantities for item %1.","W wartościach dla produktu %1 znajduje się błąd."
"Authorized Qty","Zatwierdzona liczba"
"Returned Qty","Zwrócona liczba"
"Approved Qty","Zaakceptowana liczba"
"%1 for item %2 cannot be empty.","%1 dla produktów %2 nie może być puste."
"You cannot return %1.","Nie możesz zwrócić %1."
"A quantity of %1 is greater than you can return.","Liczba %1 jest większa niż liczba przedmiotów, które możesz zwrócić."
"You entered an invalid type: ""%1"".","Podałeś nieprawidłowy typ: ""%1""."
"You entered an invalid email address: ""%1"".","Podałeś nieprawidłowy adres e-mail: ""%1""."
"You entered an invalid hostname: ""%1""","Wprowadzono nieprawidłową nazwę hosta: ""%1"""
"""%1"" is longer than allowed.","""%1"" jest dłuższa niż dozwolono."
"Unknown service","Unknown service"
"We can't save this RMA. No items were specified.","Nie można zapisać tego RMA. Przedmioty nie zostały określone."
"Pending","Oczekujący"
"Partially Authorized","Częściowo autoryzowane"
"Return Received","Przesyłka otrzymana"
"Return Partially Received","Żądanie zwrotu/wymiany częściowo otrzymane"
"Partially Approved","Częściowo zatwierdzone"
"Rejected","Odrzucone"
"Partially Rejected","Częściowo odrzucone"
"Denied","Zwrot odrzucony"
"Closed","Zamknięty"
"Processed and Closed","Przetworzone i zamknięte"
"This is the wrong RMA item status.","To jest zły stan produktu RMA."
"We placed your Return request.","We placed your Return request."
"We authorized your Return request.","Upoważniono twoje żądanie zwrotu."
"We partially authorized your Return request.","Możemy częściowo upoważnić twoje żądanie zwrotu."
"We received your Return request.","Otrzymaliśmy zwrot wniosku."
"We partially received your Return request.","Częściowo otrzymaliśmy zwrot wniosku."
"We partially approved your Return request.","Przyjęliśmy częściowo żądanie zwrotu."
