"Return","Вернуть"
"Returns","Возвраты"
"Create Returns","Создать возвраты"
"Select Items","Выбор элементов"
"New Return Request","Новый запрос на возврат"
"Create New RMA for %1 in %2","Создать новый RMA для %1 в %2"
"Create New RMA for %1","Создать новый RMA для %1"
"Create New RMA","Создать новый RMA"
"Please Select Order","Пожалуйста, выберите заказ"
"Order","Заказ"
"Purchase Point","Purchase Point"
"Purchased","Куплено"
"Customer First Name","Имя клиента"
"Customer Last Name","Фамилия клиента"
"Grand Total (Base)","Всего (база)"
"Grand Total (Purchased)","Всего (куплено)"
"Status","Статус"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Close","Закрыть"
"Are you sure you want to close this returns request?","Вы действительно хотите закрыть этот запрос на возврат?"
"Print","Печать"
"Return #%1 - %2","Возврат #%1 - %2"
"RMA Item Details","Сведения об элементе RMA"
"OK","OK"
"Cancel","Отмена"
"No","Нет"
"Yes","Да"
"Delete Image","Удалить изображение"
"View Full Size","Посмотреть в полном размере"
"General Information","Общая информация"
"Submit Comment","Оставить комментарий"
"Add","Добавить"
"Custom Value","Пользовательское значение"
"Print Shipping Label","Print Shipping Label"
"Show Packages","Show Packages"
"Items","Позиции"
"Return Items","Return Items"
"Product","Товар"
"SKU","Артикул"
"Remaining","Осталось"
"Requested","Запрошено"
"Authorized","Авторизовано"
"Returned","Возвращено"
"Approved","Утвержден"
"Return Reason","Причина возврата"
"Item Condition","Состояние товара"
"Resolution","Разрешение"
"Details","Подробнее"
"Split","Разделить"
"Action","Действие"
"Return Information","Информация о возврате"
"RMA","RMA"
"Ordered","Заказано"
"Customer","Клиент"
"View","Просмотр"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?"
"Return Item Attribute","Return Item Attribute"
"Add New Attribute","Добавить новый атрибут"
"Save Attribute","Сохранить атрибут"
"Delete Attribute","Удалить атрибут"
"Edit Return Item Attribute ""%1""","Edit Return Item Attribute ""%1"""
"New Return Item Attribute","New Return Item Attribute"
"Input Type","Тип ввода"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","This is used internally. Make sure you don't use spaces or more than %1 symbols."
"Lines Count","Количество строк"
"Valid range 2-20","Допустимый диапазон 2-20"
"Input Validation","Проверка ввода"
"None","Нет"
"Minimum Text Length","Минимальная длина текста"
"Maximum Text Length","Максимальная длина текста"
"Maximum File Size (bytes)","Максимальный размер файла (в байтах)"
"File Extensions","Расширения файлов"
"Comma separated","Разделитель — запятая"
"Maximum Image Width (px)","Максимальная ширина изображения (пикселей)"
"Maximum Image Height (px)","Максимальная высота изображения (пикселей)"
"Input/Output Filter","Фильтр ввода / вывода"
"Storefront Properties","Свойства витрины"
"Show on Storefront","Показать на витрине"
"Sort Order","Порядок Сортировки"
"Forms to Use In","Forms to Use In"
"Properties","Свойства"
"Manage Label / Options","Manage Label / Options"
"Attribute Information","Информация об атрибуте"
"Visible to Customer","Видимый для клиента"
"Submit Returns","Отправить возврат"
"Add Products","Добавить товары"
"Add Selected Product(s) to returns","Добавление выбранных продуктов к возврату"
"Product Name","Название товара"
"Remaining Qty","Оставшееся количество"
"Requested Qty","Запрошенное количество"
"Reason to Return","Причина возврата"
"Delete","Удалить"
"Add Details","Подробнее"
"Select","Выбрать"
"Price","Цена"
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"Invalid RMA","Invalid RMA"
"Please enter a valid message.","Введите действительное сообщение."
"We cannot add the RMA history.","We cannot add the RMA history."
"Invalid order","Неверный заказ"
"We can't retrieve the product list right now.","We can't retrieve the product list right now."
"Please specify a carrier.","Укажите перевозчика."
"Please enter a tracking number.","Please enter a tracking number."
"We cannot initialize an RMA to add a tracking number.","We cannot initialize an RMA to add a tracking number."
"We can't add a message right now.","We can't add a message right now."
"New Return","New Return"
"%1 RMA(s) cannot be closed","%1 RMA(s) cannot be closed"
"We cannot close the RMA request(s).","We cannot close the RMA request(s)."
"%1 RMA (s) have been closed.","%1 RMA (s) have been closed."
"You created a shipping label.","You created a shipping label."
"We can't create a shipping label right now.","We can't create a shipping label right now."
"Manage RMA Item Attributes","Manage RMA Item Attributes"
"You cannot delete this attribute.","You cannot delete this attribute."
"You deleted the RMA attribute.","You deleted the RMA attribute."
"We can't delete the RMA item attribute right now.","We can't delete the RMA item attribute right now."
"This attribute no longer exists.","Этот атрибут больше не существует."
"You cannot edit this attribute.","You cannot edit this attribute."
"Edit Return Item Attribute","Edit Return Item Attribute"
"Returns Attributes","Returns Attributes"
"New Return Attribute","New Return Attribute"
"You saved the RMA item attribute.","You saved the RMA item attribute."
"Something went wrong while saving the RMA item attribute.","Something went wrong while saving the RMA item attribute."
"An attribute with the same code already exists.","Атрибут с тем же кодом уже существует."
"The wrong RMA item was requested.","The wrong RMA item was requested."
"We cannot display the item attributes.","Мы не можем отобразить атрибуты элемента."
"There are no applicable items for return in this order.","В этом ордере нет допустимых товаров для возврата."
"We don't recognize or support the file extension in shipment %1.","We don't recognize or support the file extension in shipment %1."
"Something went wrong creating a shipping label.","Что-то пошло не так во время создания этикетки для доставки."
"A quantity you're trying to add exceeds the number of products we shipped.","A quantity you're trying to add exceeds the number of products we shipped."
"Products should be added to package(s)","Продукты должны быть добавлены пакет(ы)"
"Please enter a valid value.","Пожалуйста, введите корректное значение."
"This is the wrong RMA ID.","Это неправильный идентификатор RMA."
"We cannot display the available shipping methods.","Мы не можем отобразить доступные методы доставки."
"We cannot initialize an RMA to delete a tracking number.","We cannot initialize an RMA to delete a tracking number."
"We can't delete the tracking number right now.","We can't delete the tracking number right now."
"We can't save this RMA.","We can't save this RMA."
"You saved the RMA request.","Вы сохранили запрос на возврат."
"You did not email your customer. Please check your email settings.","You did not email your customer. Please check your email settings."
"You submitted the RMA request.","You submitted the RMA request."
"No items for bundle product","No items for bundle product"
"The wrong order ID or item ID was requested.","The wrong order ID or item ID was requested."
"Page not found.","Страница не найдена."
"Shipping Labels are not allowed.","Shipping Labels are not allowed."
"Please select a valid carrier.","Пожалуйста, укажите корректного поставщика."
"Please enter a valid tracking number.","Please enter a valid tracking number."
"We can't add a label right now.","We can't add a label right now."
"You selected the wrong RMA.","You selected the wrong RMA."
"We can't create a return transaction for order #%1.","We can't create a return transaction for order #%1."
"You submitted Return #%1.","You submitted Return #%1."
"We can't create a return right now. Please try again later.","We can't create a return right now. Please try again later."
"Create New Return","Create New Return"
"We can't delete the label right now.","We can't delete the label right now."
"Return #%1","Return #%1"
"Cannot add message.","Cannot add message."
"My Returns","My Returns"
"Tracking Information","Отслеживание информации"
"Page not found","Page not found"
"Please check this order for errors.","Please check this order for errors."
"Contact Email Address","Contact Email Address"
"Text Field","Текстовое поле"
"Text Area","Текстовая область"
"Dropdown","Выпадающий список"
"Image File","Файл изображения"
"Could not save the RMA comment.","Could not save the RMA comment."
"Could not delete the RMA comment.","Could not delete the RMA comment."
"Only one RMA is available for printing","Only one RMA is available for printing"
"Return # ","Возврат # "
"Return Date: ","Дата возврата: "
"Order # ","Order # "
"Ordered: ","Ordered: "
"Shipping Address:","Адрес доставки:"
"Return Address:","Return Address:"
"Condition","Условие"
"Qty","Кол-во"
"There is an error in quantities for item %1.","There is an error in quantities for item %1."
"Authorized Qty","Authorized Qty"
"Returned Qty","Returned Qty"
"Approved Qty","Approved Qty"
"%1 for item %2 cannot be empty.","%1 for item %2 cannot be empty."
"You cannot return %1.","You cannot return %1."
"A quantity of %1 is greater than you can return.","A quantity of %1 is greater than you can return."
"You entered an invalid type: ""%1"".","You entered an invalid type: ""%1""."
"You entered an invalid email address: ""%1"".","You entered an invalid email address: ""%1""."
"You entered an invalid hostname: ""%1""","You entered an invalid hostname: ""%1"""
"""%1"" is longer than allowed.","""%1"" is longer than allowed."
"Unknown service","Unknown service"
"We can't save this RMA. No items were specified.","We can't save this RMA. No items were specified."
"Pending","Pending"
"Partially Authorized","Partially Authorized"
"Return Received","Return Received"
"Return Partially Received","Return Partially Received"
"Partially Approved","Partially Approved"
"Rejected","Отклонено"
"Partially Rejected","Partially Rejected"
"Denied","Denied"
"Closed","Закрыть"
"Processed and Closed","Processed and Closed"
"This is the wrong RMA item status.","This is the wrong RMA item status."
"We placed your Return request.","We placed your Return request."
"We authorized your Return request.","We authorized your Return request."
"We partially authorized your Return request.","We partially authorized your Return request."
"We received your Return request.","We received your Return request."
"We partially received your Return request.","We partially received your Return request."
"We partially approved your Return request.","We partially approved your Return request."
"We partially rejected your Return request.","We partially rejected your Return request."
"We closed your Return request.","We closed your Return request."
"We processed and closed your Return request.","We processed and closed your Return request."
"ID cannot be an empty","ID cannot be an empty"
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not save the RMA entity.","Could not save the RMA entity."
"Could not delete the RMA entity.","Could not delete the RMA entity."
"Please enter a valid comment.","Please enter a valid comment."
"No such entity with %1 = %2, %3 = %4","No such entity with %1 = %2, %3 = %4"
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","We need more information to create your shipping label(s). Please verify your store information and shipping settings."
"No detail for number ""%1""","No detail for number ""%1"""
"Shipment does not exists.","Shipment does not exists."
"We can't load track with retrieving identifier right now.","We can't load track with retrieving identifier right now."
"Could not save the RMA tracking.","Could not save the RMA tracking."
"Could not delete the RMA tracking.","Could not delete the RMA tracking."
"Message","Сообщение"
"No detail for number ""' . . '""","No detail for number ""' . . '"""
"Use Config Settings","Использовать Настройки Конфигурации"
"All Items","All Items"
"Individual Items","Individual Items"
"Account &amp; Shipping Information","Account &amp; Shipping Information"
"Address Information","Информация об адресе"
"RMA Totals","RMA Totals"
"Request Details","Request Details"
"ID","Идентификатор"
"#","#"
"Order ID","ID заказа"
"Customer Name","Имя клиента"
"Email Address","Адрес электронной почты"
"RMA History","RMA History"
"Comment Text","Comment Text"
"Notify Customer by Email","Notify Customer by Email"
"Visible on Storefront","Visible on Storefront"
"Customer Service","Обслуживание клиентов"
"Notified","Заявленный"
"Not Notified","Not Notified"
"Return Address","Return Address"
"Order Shipping Address","Order Shipping Address"
"Delete Line","Удалить строку"
"Select All","Выбрать всё"
"Weight","Вес"
"Customs Value","Customs Value"
"Qty Ordered","Qty Ordered"
"Shipping Information","Информация о доставке"
"Change shipping method.","Change shipping method."
"No authorized items or allowed shipping methods","No authorized items or allowed shipping methods"
"Carrier","Carrier"
"Title","Заголовок"
"Number","Номер"
"Are you sure?","Вы уверены?"
"Shipping Method","Способ доставки"
"Create Shipping Label","Create Shipping Label"
"Enabled when authorized items require a new shipment.","Enabled when authorized items require a new shipment."
"Order &amp; Account Information","Order &amp; Account Information"
"Return Totals","Return Totals"
"Return Confirmation","Return Confirmation"
"Email Returns Confirmation","Email Returns Confirmation"
"RMA Items Requested for","RMA Items Requested for"
"Please Select Products to Add","Please Select Products to Add"
"Remove","Удалить"
"Item","Элемент"
"Return items","Return items"
"Sub-items","Sub-items"
"Quantity To Return","Quantity To Return"
"Remaining Quantity:","Remaining Quantity:"
"New Return for Order %1","New Return for Order %1"
"Email","Электронная почта"
"Return Items Information","Return Items Information"
"Add Item To Return","Add Item To Return"
"Comments","Comments"
"Save","Сохранить"
"Submit","Отправить"
"Back","Назад"
"Return #","Return #"
"Date","Дата"
"Ship From","Ship From"
"Return Status","Return Status"
"Actions","Действия"
"View Return","View Return"
"You have placed no returns.","You have placed no returns."
"Packages","Packages"
"Close Window","Закрыть окно"
"Package","Package"
"Type","Тип"
"Length","Длина"
"Total Weight","Общий вес"
"Width","Ширина"
"Height","Высота"
"Items in the Package","Items in the Package"
"Are you sure you want to delete this tracking information?","Are you sure you want to delete this tracking information?"
"Request Information","Request Information"
"Date Requested","Date Requested"
"Shipping Address","Адрес доставки"
"This won't take long . . .","This won't take long . . ."
"Shipping and Tracking Information","Shipping and Tracking Information"
"Track this shipment","Track this shipment"
"Items Return Requested For","Items Return Requested For"
"Request Qty","Request Qty"
"Hide Details","Hide Details"
"Show Details","Показать детали"
"Questions and Answers","Вопросы и ответы"
"Questions","Вопросы"
"Answers","Ответы"
"Leave Comment","Leave Comment"
"%store_name:  New customer comment","%store_name:  New customer comment"
"New Comment for RMA #%increment_id","New Comment for RMA #%increment_id"
"Customer %name has left a new comment:","Customer %name has left a new comment:"
"%store_name : New Return #%increment_id","%store_name : New Return #%increment_id"
"%name,","%название,"
"Your return request has been updated. Please see below.","Your return request has been updated. Please see below."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone"
"Your Return #%increment_id - %status_label","Your Return #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: New Return #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","You can check the status of your return <a href=""%form_url"">using your order number</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>."
"%store_name: Return #%increment_id update","%store_name: Return #%increment_id update"
"We received your return request. You will be notified when your request is reviewed.","We received your return request. You will be notified when your request is reviewed."
"Placed on %created_at","Placed on %created_at"
"Click Details for more required fields.","Click Details for more required fields."
"Ok","Oк"
"Create Packages","Create Packages"
"Add Package","Add Package"
"RMA Settings","RMA Settings"
"Enable RMA on Storefront","Enable RMA on Storefront"
"Enable RMA on Product Level","Enable RMA on Product Level"
"Use Store Address","Use Store Address"
"Contact Name","Contact Name"
"Street Address","Адрес улицы"
"City","Город"
"State/Province","Область"
"ZIP/Postal Code","Почтовый индекс"
"Country","Страна"
"Enabled","Включено"
"RMA Email Sender","RMA Email Sender"
"RMA Email Template","RMA Email Template"
"RMA Email Template for Guest","RMA Email Template for Guest"
"Send RMA Email Copy To","Send RMA Email Copy To"
"Comma-separated","Comma-separated"
"Send RMA Email Copy Method","Send RMA Email Copy Method"
"RMA Authorization","RMA Authorization"
"RMA Authorization Email Sender","RMA Authorization Email Sender"
"RMA Authorization Email Template","RMA Authorization Email Template"
"RMA Authorization Email Template for Guest","RMA Authorization Email Template for Guest"
"Send RMA Authorization Email Copy To","Send RMA Authorization Email Copy To"
"Send RMA Authorization Email Copy Method","Send RMA Authorization Email Copy Method"
"RMA Admin Comments","RMA Admin Comments"
"RMA Comment Email Sender","RMA Comment Email Sender"
"RMA Comment Email Template","RMA Comment Email Template"
"RMA Comment Email Template for Guest","RMA Comment Email Template for Guest"
