"Return","Gå tilbake"
"Returns","Retur"
"Create Returns","Opprett returer"
"Select Items","Velg elementer"
"New Return Request","Ny returforespørsel"
"Create New RMA for %1 in %2","Opprette ny RMA for %1 i %2"
"Create New RMA for %1","Opprette ny RMA for %1"
"Create New RMA","Opprette ny RMA"
"Please Select Order","Vennligst velg rekkefølge"
"Order","Rekkefølge"
"Purchase Point","Kjøpspunkt"
"Purchased","Kjøpt"
"Customer First Name","Kunden fornavn"
"Customer Last Name","Kunde etternavn"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Totalsum (kjøpt)"
"Status","Status"
"Save and Continue Edit","Lagre og fortsett redigering"
"Close","Lukk"
"Are you sure you want to close this returns request?","Er du sikker på at du vil lukke dette returnerer forespørsel?"
"Print","Skriv ut"
"Return #%1 - %2","Returner #%1 - %2"
"RMA Item Details","RMA Item Details"
"OK","OK"
"Cancel","Avbryt"
"No","Nei"
"Yes","Ja"
"Delete Image","Slett bilde"
"View Full Size","Se full størrelse"
"General Information","Generell Informasjon"
"Submit Comment","Send kommentar"
"Add","Legg til"
"Custom Value","Egendefinert verdi"
"Print Shipping Label","Skriv ut fraktetikett"
"Show Packages","Vis pakker"
"Items","Produkter"
"Return Items","Return Items"
"Product","Produkt"
"SKU","Varenummer"
"Remaining","Gjenstår"
"Requested","Forespurt"
"Authorized","Autorisert"
"Returned","Returnert"
"Approved","Godkjent"
"Return Reason","Returgrunner"
"Item Condition","Produktenes Tilstand"
"Resolution","Oppløsning"
"Details","Detaljer"
"Split","Split"
"Action","Handling"
"Return Information","Returinformasjon"
"RMA","RMA"
"Ordered","Bestilt"
"Customer","Kunde"
"View","Visning"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?"
"Return Item Attribute","Return Item Attribute"
"Add New Attribute","Legge til nytt attributt"
"Save Attribute","Lagre attributt"
"Delete Attribute","Slett attributt"
"Edit Return Item Attribute ""%1""","Edit Return Item Attribute ""%1"""
"New Return Item Attribute","New Return Item Attribute"
"Input Type","Inndatatype"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dette brukes internt. Kontroller at du ikke bruker mellomrom eller mer enn %1 symboler."
"Lines Count","Antall linjer"
"Valid range 2-20","Valid range 2-20"
"Input Validation","Input Validering"
"None","Ingen"
"Minimum Text Length","Minimum Tekst Lengde"
"Maximum Text Length","Maksimal Lengde Tekst"
"Maximum File Size (bytes)","Maximum File Size (bytes)"
"File Extensions","Fil utvidelser"
"Comma separated","Kommaseparert"
"Maximum Image Width (px)","Maksimal bildebredde (px)"
"Maximum Image Height (px)","Maksimal Bilde Høyde (px)"
"Input/Output Filter","Input/Output Filter"
"Storefront Properties","Butikkegenskaper"
"Show on Storefront","Vis i butikk"
"Sort Order","Sorteringsrekkefølge"
"Forms to Use In","Forms to Use In"
"Properties","Egenskaper"
"Manage Label / Options","Manage Label / Options"
"Attribute Information","Attributtinformasjon"
"Visible to Customer","Synlig for kunder"
"Submit Returns","Submit Returns"
"Add Products","Legg til produkter"
"Add Selected Product(s) to returns","Add Selected Product(s) to returns"
"Product Name","Produktnavn"
"Remaining Qty","Gjenværende antall"
"Requested Qty","Ønsket antall"
"Reason to Return","Grunn for retur"
"Delete","Slett"
"Add Details","Legg til detaljer"
"Select","Velg"
"Price","Pris"
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"Invalid RMA","Ugyldig RMA"
"Please enter a valid message.","Please enter a valid message."
"We cannot add the RMA history.","We cannot add the RMA history."
"Invalid order","Ugyldig ordre"
"We can't retrieve the product list right now.","We can't retrieve the product list right now."
"Please specify a carrier.","Angi en transportør."
