"Return","Restituzione"
"Returns","Resi"
"Create Returns","Crea Resi"
"Select Items","Seleziona elementi"
"New Return Request","Nuova richiesta di reso"
"Create New RMA for %1 in %2","Creare nuovo RMA per %1 in %2"
"Create New RMA for %1","Crea nuovo RMA per %1"
"Create New RMA","Creare nuovo RMA"
"Please Select Order","Seleziona un ordine"
"Order","Ordine"
"Purchase Point","Punto di acquisto"
"Purchased","Acquistato"
"Customer First Name","Nome cliente"
"Customer Last Name","Cognome cliente"
"Grand Total (Base)","Totale complessivo (Base)"
"Grand Total (Purchased)","Totale complessivo (acquistato)"
"Status","Stato"
"Save and Continue Edit","Salva e continua modifica"
"Close","Chiudi"
"Are you sure you want to close this returns request?","Sei sicuro di voler chiudere questa richiesta di reso?"
"Print","Stampa"
"Return #%1 - %2","Reso #%1 - %2"
"RMA Item Details","Dettagli dell'elemento RMA"
"OK","OK"
"Cancel","Annulla"
"No","No"
"Yes","Sì"
"Delete Image","Elimina immagine"
"View Full Size","Vedi a grandezza intera"
"General Information","Informazioni Generali"
"Submit Comment","Invia Commento"
"Add","Aggiungi"
"Custom Value","Valore Personalizzato"
"Print Shipping Label","Stampa etichette di spedizione"
"Show Packages","Visualizza pacchetti"
"Items","Elementi"
"Return Items","Elementi reso"
"Product","Prodotto"
"SKU","Cod.Art."
"Remaining","Rimanenti"
"Requested","Richiesto"
"Authorized","Autorizzato"
"Returned","Restituito"
"Approved","Approvato"
"Return Reason","Motivo del reso"
"Item Condition","Condizioni dell'oggetto"
"Resolution","Risoluzione"
"Details","Dettagli"
"Split","Separa"
"Action","Azione"
"Return Information","Informazioni di reso"
"RMA","RMA"
"Ordered","Ordinato"
"Customer","Cliente"
"View","Mostra"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Hai scelto di cambiare lo status delle richieste RMA in Chiuso.' ' Sei sicuro di voler continuare?"
"Return Item Attribute","Attributo elemento reso"
"Add New Attribute","Aggiungi un nuovo attributo"
"Save Attribute","Salva Attributo"
"Delete Attribute","Elimina l'attributo"
"Edit Return Item Attribute ""%1""","Modifica attributo elemento reso ""%1"""
"New Return Item Attribute","Nuovo attributo elemento reso"
"Input Type","Tipo di input"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Utilizzato internamente. Assicurarsi di non utilizzare spazi o più di %1 simboli."
"Lines Count","Linee totali"
"Valid range 2-20","Intervallo valido: 2-20"
"Input Validation","Validazione Input"
"None","Nessuno"
"Minimum Text Length","Lunghezza minima del testo"
"Maximum Text Length","Lunghezza massima del testo"
"Maximum File Size (bytes)","Dimensioni massime File (byte)"
"File Extensions","Estensioni file"
"Comma separated","Separati da virgole"
"Maximum Image Width (px)","Larghezza massima dell'immagine (px)"
"Maximum Image Height (px)","Altezza massima dell'immagine (px)"
"Input/Output Filter","Filtro Input/Output"
"Storefront Properties","Proprietà Frontend negozio"
"Show on Storefront","Mostra nel Frontend"
"Sort Order","Ordinamento"
"Forms to Use In","Form per l'uso In"
"Properties","Proprietà"
"Manage Label / Options","Gestisci Etichette / Opzioni"
"Attribute Information","Informazione Attributo"
"Visible to Customer","Visibile al cliente"
"Submit Returns","Invia resi"
"Add Products","Aggiungi Prodotti"
"Add Selected Product(s) to returns","Aggiungi i prodotti selezionati al reso"
"Product Name","Nome prodotto"
"Remaining Qty","Qtà rimanente"
"Requested Qty","Qtà richiesta"
"Reason to Return","Motivo del reso"
"Delete","Elimina"
"Add Details","Aggiungi dettagli"
"Select","Seleziona"
"Price","Prezzo"
"The wrong RMA was requested.","E' stata richiesta un RMA errato."
"This is the wrong RMA order ID.","Questo è un id ordine RMA errato."
"Invalid RMA","RMA non valido"
"Please enter a valid message.","Inserisci un messaggio valido."
"We cannot add the RMA history.","Non è possibile aggiungere la cronologia RMA."
"Invalid order","Ordine non valido"
"We can't retrieve the product list right now.","Non è possibile recuperare l'elenco dei prodotti in questo momento."
"Please specify a carrier.","Specifica un vettore."
"Please enter a tracking number.","Inserisci un numero di tracciamento."
"We cannot initialize an RMA to add a tracking number.","Non è possibile inizializzare un RMA per aggiungere il numero di tracciamento."
"We can't add a message right now.","Non è possibile aggiungere un messaggio in questo momento."
"New Return","Nuovo reso"
"%1 RMA(s) cannot be closed","%1 RMA non può essere chiuso"
"We cannot close the RMA request(s).","Non è possibile chiudere la richiesta di RMA."
"%1 RMA (s) have been closed.","%1 RMA sono stati chiusi."
"You created a shipping label.","È stata creata un'etichetta di spedizione."
"We can't create a shipping label right now.","Non è possibile creare una etichetta di spedizione in questo momento."
"Manage RMA Item Attributes","Gestisci gli attributi dell'elemento RMA"
