"Return","돌아가기"
"Returns","Returns"
"Create Returns","Create Returns"
"Select Items","Select Items"
"New Return Request","New Return Request"
"Create New RMA for %1 in %2","Create New RMA for %1 in %2"
"Create New RMA for %1","Create New RMA for %1"
"Create New RMA","Create New RMA"
"Please Select Order","주문를 선택 하십시오"
"Order","주문"
"Purchase Point","구매 포인트"
"Purchased","구매하셨습니다."
"Customer First Name","고객 이름"
"Customer Last Name","고객 성"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Status","상태"
"Save and Continue Edit","저장하고 계속 편집하기"
"Close","닫기"
"Are you sure you want to close this returns request?","Are you sure you want to close this returns request?"
"Print","Print"
"Return #%1 - %2","Return #%1 - %2"
"RMA Item Details","RMA Item Details"
"OK","확인"
"Cancel","취소"
"No","아니오"
"Yes","네"
"Delete Image","이미지 삭제"
"View Full Size","전체 사이즈 보기"
"General Information","일반 정보"
"Submit Comment","코멘트 전송"
"Add","추가"
"Custom Value","Custom Value"
"Print Shipping Label","Print Shipping Label"
"Show Packages","Show Packages"
"Items","항목"
"Return Items","Return Items"
"Product","상품"
"SKU","SKU"
"Remaining","Remaining"
"Requested","요청됨"
"Authorized","인증됨"
"Returned","Returned"
"Approved","Approved"
"Return Reason","Return Reason"
"Item Condition","Item Condition"
"Resolution","Resolution"
"Details","상세 정보"
"Split","Split"
"Action","동작"
"Return Information","Return Information"
"RMA","RMA"
"Ordered","주문됨"
"Customer","고객"
"View","보기"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?"
"Return Item Attribute","Return Item Attribute"
"Add New Attribute","신규 어트리뷰트 추가"
"Save Attribute","어트리뷰트 저장"
"Delete Attribute","어트리뷰트 삭제"
"Edit Return Item Attribute ""%1""","Edit Return Item Attribute ""%1"""
"New Return Item Attribute","New Return Item Attribute"
"Input Type","입력 타입"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","This is used internally. Make sure you don't use spaces or more than %1 symbols."
"Lines Count","Lines Count"
"Valid range 2-20","Valid range 2-20"
"Input Validation","Input Validation"
"None","없음"
"Minimum Text Length","Minimum Text Length"
"Maximum Text Length","Maximum Text Length"
"Maximum File Size (bytes)","Maximum File Size (bytes)"
"File Extensions","File Extensions"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Maximum Image Width (px)"
"Maximum Image Height (px)","Maximum Image Height (px)"
"Input/Output Filter","Input/Output Filter"
"Storefront Properties","스토어프론트 속성"
"Show on Storefront","Show on Storefront"
"Sort Order","정렬 순서"
"Forms to Use In","Forms to Use In"
"Properties","속성"
"Manage Label / Options","Manage Label / Options"
"Attribute Information","어트리뷰트 정보"
"Visible to Customer","Visible to Customer"
"Submit Returns","Submit Returns"
"Add Products","상품 추가"
"Add Selected Product(s) to returns","Add Selected Product(s) to returns"
"Product Name","상품명"
"Remaining Qty","남은 수량"
"Requested Qty","요청된 수량"
"Reason to Return","Reason to Return"
"Delete","삭제"
"Add Details","Add Details"
"Select","Select"
"Price","가격"
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"Invalid RMA","Invalid RMA"
"Please enter a valid message.","Please enter a valid message."
"We cannot add the RMA history.","We cannot add the RMA history."
"Invalid order","Invalid order"
"We can't retrieve the product list right now.","We can't retrieve the product list right now."
"Please specify a carrier.","Please specify a carrier."
"Please enter a tracking number.","Please enter a tracking number."
"We cannot initialize an RMA to add a tracking number.","We cannot initialize an RMA to add a tracking number."
"We can't add a message right now.","We can't add a message right now."
"New Return","New Return"
