"Return","إرجاع"
"Returns","المرتجعات"
"Create Returns","إنشاء مرتجع"
"Select Items","حدد العناصر"
"New Return Request","طلب مرتجع جديد"
"Create New RMA for %1 in %2","إنشاء طلب شراء جديد لـ %1 في %2"
"Create New RMA for %1","Create New RMA for %1"
"Create New RMA","إنشاء جديد"
"Please Select Order","يرجى اختيار الطلب"
"Order","طلب"
"Purchase Point","تكلفة الشراء"
"Purchased","تم الشراء"
"Customer First Name","الاسم الأول للعميل"
"Customer Last Name","اسم عائلة العميل"
"Grand Total (Base)","المجموع الكلي (قاعدة)"
"Grand Total (Purchased)","المجموع الكلي (مدفوع)"
"Status","الحاله"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Close","إغلاق"
"Are you sure you want to close this returns request?","هل أنت متأكد من اغلاق طلب الارتجاع هذا؟"
"Print","طباعة"
"Return #%1 - %2","إرجاع #%1-%2"
"RMA Item Details","RMA Item Details"
"OK","موافق"
"Cancel","إلغاء"
"No","لا"
"Yes","نعم"
"Delete Image","حذف الصورة"
"View Full Size","عرض الحجم الكامل"
"General Information","المعلومات العامة"
"Submit Comment","إرسال تعليق"
"Add","إضافة"
"Custom Value","قيمة مخصصة"
"Print Shipping Label","طباعة بطاقة عنونة الشحن"
"Show Packages","إظهار الحزم"
"Items","المنتجات"
"Return Items","المنتجات المرتجعه"
"Product","المنتج"
"SKU","رمز المنتج"
"Remaining","المتبقي"
"Requested","تم الطلب"
"Authorized","مصرّح"
"Returned","اعادة"
"Approved","وافق"
"Return Reason","سبب الارتجاع"
"Item Condition","حالة السلعة"
"Resolution","قرار"
"Details","التفاصيل"
"Split","تقسيم"
"Action","إجراء"
"Return Information","معلومات الإرجاع"
"RMA","RMA"
"Ordered","تم الطلب"
"Customer","زبون"
"View","عرض"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?"
"Return Item Attribute","Return Item Attribute"
"Add New Attribute","اضافة سمة جديدة"
"Save Attribute","حفظ السمات"
"Delete Attribute","حذف السمة"
"Edit Return Item Attribute ""%1""","Edit Return Item Attribute ""%1"""
"New Return Item Attribute","New Return Item Attribute"
"Input Type","نوع الإدخال"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","إستخدام داخلي. تأكد من أن كنت لا تستخدم مسافات أو أكثر من %1 رمز."
"Lines Count","عدد الأسطر"
"Valid range 2-20","النطاق الصالح 2-20"
"Input Validation","التحقق من صحة المدخلات"
"None","لا شئ"
"Minimum Text Length","الحد الأدنى لطول النص"
"Maximum Text Length","الحد الأقصى لطول النص"
"Maximum File Size (bytes)","الحد الأقصى ""لحجم الملف"" (بايت)"
"File Extensions","امتدادات الملفات"
"Comma separated","Comma separated"
"Maximum Image Width (px)","الحد الأقصى لعرض الصورة (px)"
"Maximum Image Height (px)","ارتفاع الصورة كحد أقصى (px)"
"Input/Output Filter","تصفية الإدخال/الإخراج"
"Storefront Properties","خصائص الواجهة"
"Show on Storefront","إظهار في الواجهة"
"Sort Order","الترتيب"
"Forms to Use In","Forms to Use In"
"Properties","خصائص"
"Manage Label / Options","ادارة علامة/ خيارات"
"Attribute Information","معلومات السمة"
"Visible to Customer","مرئية للعملاء"
"Submit Returns","إرسال المرتجع"
"Add Products","إضافة منتجات"
"Add Selected Product(s) to returns","Add Selected Product(s) to returns"
"Product Name","اسم المنتج"
"Remaining Qty","الكمية المتبقية"
"Requested Qty","الكمية المطلوبة"
"Reason to Return","سبب الإرجاع"
"Delete","احذف"
"Add Details","إضافة تفاصيل"
"Select","إختيار"
"Price","السعر"
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"Invalid RMA","Invalid RMA"
"Please enter a valid message.","الرجاء إدخال رسالة صحيحة."
"We cannot add the RMA history.","We cannot add the RMA history."
"Invalid order","Invalid order"
"We can't retrieve the product list right now.","لا يمكننا استرداد قائمة المنتجات الآن."
"Please specify a carrier.","الرجاء تحديد شركة الشحن."
"Please enter a tracking number.","الرجاء إدخال رقم تتبع."
"We cannot initialize an RMA to add a tracking number.","We cannot initialize an RMA to add a tracking number."
"We can't add a message right now.","لا يمكننا إضافة رسالة الآن."
"New Return","New Return"
"%1 RMA(s) cannot be closed","%1 RMA(s) cannot be closed"
"We cannot close the RMA request(s).","We cannot close the RMA request(s)."
"%1 RMA (s) have been closed.","%1 RMA (s) have been closed."
"You created a shipping label.","You created a shipping label."
"We can't create a shipping label right now.","لا يمكننا إنشاء بطاقة عنونة شحن الآن."
"Manage RMA Item Attributes","Manage RMA Item Attributes"
"You cannot delete this attribute.","لا يمكنك حذف هذه السمة."
"You deleted the RMA attribute.","You deleted the RMA attribute."
"We can't delete the RMA item attribute right now.","لا يمكننا حذف السمة عنصر إرجاع البضائع الآن."
"This attribute no longer exists.","هذه السمات لم تعد موجوده."
"You cannot edit this attribute.","لا يمكنك تعديل هذه السمة."
"Edit Return Item Attribute","Edit Return Item Attribute"
"Returns Attributes","Returns Attributes"
"New Return Attribute","New Return Attribute"
"You saved the RMA item attribute.","You saved the RMA item attribute."
"Something went wrong while saving the RMA item attribute.","Something went wrong while saving the RMA item attribute."
"An attribute with the same code already exists.","An attribute with the same code already exists."
"The wrong RMA item was requested.","The wrong RMA item was requested."
"We cannot display the item attributes.","We cannot display the item attributes."
"There are no applicable items for return in this order.","There are no applicable items for return in this order."
"We don't recognize or support the file extension in shipment %1.","We don't recognize or support the file extension in shipment %1."
"Something went wrong creating a shipping label.","Something went wrong creating a shipping label."
"A quantity you're trying to add exceeds the number of products we shipped.","الكمية التي تحاول إضافتها تتجاوز العدد من المنتجات التي شحننا."
"Products should be added to package(s)","ينبغي إضافة المنتجات إلى الحزمة (الحزم)"
"Please enter a valid value.","الرجاء إدخال قيمة صحيحة."
"This is the wrong RMA ID.","This is the wrong RMA ID."
"We cannot display the available shipping methods.","We cannot display the available shipping methods."
"We cannot initialize an RMA to delete a tracking number.","We cannot initialize an RMA to delete a tracking number."
"We can't delete the tracking number right now.","لا يمكننا حذف رقم التتبع الآن."
"We can't save this RMA.","لايمكننا حفظ عنصر إرجاع البضائع هذا."
"You saved the RMA request.","You saved the RMA request."
"You did not email your customer. Please check your email settings.","انت لم ترسل اي رسائل بريد الكتروني للعميل. الرجاء التحقق من إعدادات البريد الإلكتروني الخاص بك."
"You submitted the RMA request.","You submitted the RMA request."
"No items for bundle product","No items for bundle product"
"The wrong order ID or item ID was requested.","The wrong order ID or item ID was requested."
"Page not found.","لم يتم العثور على الصفحة."
"Shipping Labels are not allowed.","Shipping Labels are not allowed."
"Please select a valid carrier.","Please select a valid carrier."
"Please enter a valid tracking number.","الرجاء إدخال رقم تتبع صحيح."
"We can't add a label right now.","لا يمكننا إضافة تسمية الآن."
"You selected the wrong RMA.","You selected the wrong RMA."
"We can't create a return transaction for order #%1.","لا يمكننا إنشاء أمر إرجاع العملية التجارية للطلب #%1."
