"Return","Devolución"
"Returns","Devueltos"
"Create Returns","Crear devoluciones"
"Select Items","Seleccionar elementos"
"New Return Request","Nueva solicitud de devolución"
"Create New RMA for %1 in %2","Crear nuevo RMA para %1 en %2"
"Create New RMA for %1","Crear nuevo RMA para %1"
"Create New RMA","Crear nueva RMA"
"Please Select Order","Por favor, seleccione el pedido"
"Order","Encargar"
"Purchase Point","Punto de compra"
"Purchased","Comprada"
"Customer First Name","Nombre del cliente"
"Customer Last Name","Apellido del cliente"
"Grand Total (Base)","Gran Total (Base)"
"Grand Total (Purchased)","Gran Total (comprado)"
"Status","Estatus"
"Save and Continue Edit","Guardar y continuar editando"
"Close","Cerrar"
"Are you sure you want to close this returns request?","¿Está seguro que desea cerrar esta solicitud de devolución?"
"Print","Imprimir"
"Return #%1 - %2","Retorno #%1 - %2"
"RMA Item Details","Detalles del artículo RMA"
"OK","Aceptar"
"Cancel","Cancelar"
"No","No 	"
"Yes","Sí"
"Delete Image","Eliminar imagen"
"View Full Size","Ver tamaño completo"
"General Information","Información general"
"Submit Comment","Enviar comentario"
"Add","Agregar"
"Custom Value","Valor personalizado"
"Print Shipping Label","Imprimir etiqueta de envío"
"Show Packages","Mostrar paquetes"
"Items","Artículos"
"Return Items","Devoluciones"
"Product","Producto"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Remaining","Restantes"
"Requested","Solicitado"
"Authorized","Autorizado"
"Returned","Devuelto"
"Approved","Aprobado"
"Return Reason","Razón de devolución"
"Item Condition","Condición del artículo"
"Resolution","Resolución"
"Details","Detalles"
"Split","Dividir"
"Action","Acción"
"Return Information","Información de devolución"
"RMA","RMA"
"Ordered","Pedidos"
"Customer","Cliente"
"View","Ver"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Optó por cambiar la status(es) de las solicitudes RMA seleccionadas para cerrar. ¿Está seguro que desea proceder?"
"Return Item Attribute","Atributo de artículo de devolución"
"Add New Attribute","Añadir nuevo atributo"
"Save Attribute","Guardar atributo"
"Delete Attribute","Eliminar atributo"
"Edit Return Item Attribute ""%1""","Editar atributo de artículo de devolución ""%1"""
"New Return Item Attribute","Nuevo atributo del elemento de devolución"
"Input Type","Introducir tipo"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Se utiliza internamente. Asegúrese de que no utilizar espacios o más de %1 símbolos."
"Lines Count","Conteo de líneas"
"Valid range 2-20","Rango válido 2-20"
"Input Validation","Validación de entrada"
"None","Ninguno"
"Minimum Text Length","Longitud mínima de texto"
"Maximum Text Length","Longitud máxima de texto"
"Maximum File Size (bytes)","Tamaño máximo de archivo (bytes)"
"File Extensions","Extensiones de archivos"
"Comma separated","Separados por comas"
"Maximum Image Width (px)","Ancho de imagen máximo (px)"
"Maximum Image Height (px)","Altura de imagen máxima (px)"
