"Return","Επιστροφή"
"Returns","Επιστροφές"
"Create Returns","Δημιουργία επιστροφών"
"Select Items","Επιλεγμένα Στοιχεία"
"New Return Request","Νέο Αίτημα Επιστροφής"
"Create New RMA for %1 in %2","Δημιουργήσετε νέα RMA για %1 στο %2"
"Create New RMA for %1","Δημιουργήσετε νέο RMA για %1"
"Create New RMA","Δημιουργία Νέου RMA"
"Please Select Order","Παρακαλώ επιλέξτε σειρά"
"Order","Παραγγελία"
"Purchase Point","Σημείο Αγοράς"
"Purchased","Αγοράστηκαν"
"Customer First Name","Όνομα πελάτη"
"Customer Last Name","Επώνυμο πελάτη"
"Grand Total (Base)","Γενικό σύνολο (βάση)"
"Grand Total (Purchased)","Γενικό σύνολο (αγοράστηκαν)"
"Status","Κατάσταση"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Close","Κλείσιμο"
"Are you sure you want to close this returns request?","Είναι βέβαιοι ότι θέλετε να κλείσετε αυτή την αίτηση επιστροφών;"
"Print","Εκτύπωση"
"Return #%1 - %2","Επιστροφή #%1 - %2"
"RMA Item Details","Λεπτομέρειες στοιχείου RMA"
"OK","Οκ"
"Cancel","Άκυρο"
"No","Όχι"
"Yes","Ναί"
"Delete Image","Διαγραφή εικόνας"
"View Full Size","Προβολή πλήρους μεγέθους"
"General Information","Γενικές Πληροφορίες"
"Submit Comment","Υποβολή σχολίου"
"Add","Προσθήκη"
"Custom Value","Προσαρμοσμένη τιμή"
"Print Shipping Label","Εκτυπώστε την ετικέτα αποστολής"
"Show Packages","Προβολή πακέτων"
"Items","Είδη"
"Return Items","Προϊόντα Επιστροφής"
"Product","Προϊόν"
"SKU","Κωδικός"
"Remaining","Απομένουν"
"Requested","Ζητήθηκαν"
"Authorized","Εξουσιοδοτήθηκε"
"Returned","Επιστραφηκαν"
"Approved","Εγκρίθηκε"
"Return Reason","Λόγος επιστροφής"
"Item Condition","Κατάσταση Στοιχείου"
"Resolution","Ανάλυση"
"Details","Λεπτομέρειες"
"Split","Διαχωρισμός"
"Action","Ενέργεια"
"Return Information","Πληροφορίες Επιστροφής"
"RMA","RMA"
"Ordered","Παραγγέλθηκαν"
"Customer","Πελάτης"
"View","Προβολή"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Επιλέξατε να αλλάξετε κατάσταση(εις) από τις επιλεγμένες αιτήσεις RMA σε κλείσιμο. Είστε βέβαιοι ότι θέλετε να συνεχίσετε;"
"Return Item Attribute","Χαρακτηριστικό του επιστρεφόμενου αντικειμένου"
"Add New Attribute","Προσθέστε Νέο Χαρακτηριστικό"
"Save Attribute","Αποθήκευση Χαρακτηριστικού"
"Delete Attribute","Διαγραφή Χαρακτηριστικού"
"Edit Return Item Attribute ""%1""","Επεξεργαστείτε το χαρακτηριστικό του επιστρεφόμενου αντικειμένου ""%1"""
"New Return Item Attribute","Νέο χαρακτηριστικό του επιστρεφόμενου αντικειμένου"
"Input Type","Τύπος εισόδου"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Αυτό χρησιμοποιείται εσωτερικά. Βεβαιωθείτε ότι δεν χρησιμοποιείτε διαστήματα ή περισσότερο(α) από %1 σύμβολο(α)."
"Lines Count","Καταμέτρηση γραμμών"
"Valid range 2-20","Έγκυρη εύρος 2-20"
"Input Validation","Επικύρωση Εισόδου"
"None","Κανένα"
"Minimum Text Length","Ελάχιστο Μήκος Κειμένου"
"Maximum Text Length","Μέγιστο Μήκος Κειμένου"
"Maximum File Size (bytes)","Μέγιστο μέγεθος αρχείου (bytes)"
"File Extensions","Επεκτάσεις αρχείων"
"Comma separated","Διαχωρισμένες με κόμμα"
"Maximum Image Width (px)","Μέγιστο πλάτος εικόνας (px)"
"Maximum Image Height (px)","Μέγιστο ύψος εικόνας (px)"
"Input/Output Filter","Φίλτρο εισόδου/εξόδου"
"Storefront Properties","Ιδιότητες Βιτρίνας Καταστήματος"
"Show on Storefront","Εμφάνιση σε Βιτρίνα Καταστήματος"
"Sort Order","Σειρά Ταξινόμησης"
"Forms to Use In","Φόρμες για χρήση σε"
"Properties","Ιδιότητες"
"Manage Label / Options","Διαχειριστείτε Ετικέτα / Επιλογές"
"Attribute Information","Πληροφορίες Χαρακτηριστικού"
"Visible to Customer","Ορατό στον πελάτη"
"Submit Returns","Υποβολή Δηλώσεων"
"Add Products","Προσθέστε προϊόντα"
"Add Selected Product(s) to returns","Προσθέσετε το επιλεγμένο προϊόν(τα) σε επιστροφές"
"Product Name","Όνομα Προϊόντος"
"Remaining Qty","Υπόλοιπη Ποσ"
"Requested Qty","Απαιτούμενη ποσ"
"Reason to Return","Λόγος για Επιστροφή"
"Delete","Διαγραφή"
"Add Details","Προσθέστε Λεπτομέρειες"
"Select","Επιλογή"
"Price","Τιμή"
"The wrong RMA was requested.","Ζητήθηκε το λάθος RMA."
"This is the wrong RMA order ID.","Αυτό είναι το λάθος ID παραγγελίας RMA."
"Invalid RMA","Μη έγκυρο RMA"
"Please enter a valid message.","Παρακαλούμε εισάγετε ένα έγκυρο μήνυμα."
"We cannot add the RMA history.","Δεν μπορούμε να προσθέσουμε το ιστορικό του RMA."
"Invalid order","Μη έγκυρη παραγγελία"
"We can't retrieve the product list right now.","Δεν μπορούμε να ανακτήσουμε τη λίστα προϊόντων αυτή τη στιγμή."
"Please specify a carrier.","Παρακαλείστε να προσδιορίσετε έναν μεταφορέα."
"Please enter a tracking number.","Παρακαλώ εισάγετε έναν αριθμό εντοπισμού."
"We cannot initialize an RMA to add a tracking number.","Δεν μπορούμε να προετοιμάσουμε ένα RMA για να προσθέσετε έναν αριθμό εντοπισμού."
