"Return","Връщане"
"Returns","Рекламации"
"Create Returns","Създай рекламации"
"Select Items","Избор на елементи"
"New Return Request","Ново искане за връщане"
"Create New RMA for %1 in %2","Създаване на нов RMA за %1 в %2"
"Create New RMA for %1","Създаване на нов RMA за %1"
"Create New RMA","Създаване на нов RMA"
"Please Select Order","Моля изберете поръчка"
"Order","Поръчка"
"Purchase Point","Точка на покупка"
"Purchased","Закупен"
"Customer First Name","Първото име на клиент"
"Customer Last Name","Фамилно име на клиент"
"Grand Total (Base)","Обща сума (основа)"
"Grand Total (Purchased)","Обща сума (закупени)"
"Status","Статус"
"Save and Continue Edit","Запази и продължи редактиране"
"Close","Затвори"
"Are you sure you want to close this returns request?","Наистина ли искате да затворите тази молба за връщане?"
"Print","Печат"
"Return #%1 - %2","Върни #%1 - %2"
"RMA Item Details","RMA елемент подробности"
"OK","ОК"
"Cancel","Отказ"
"No","Не"
"Yes","Да"
"Delete Image","Изтрий изображението"
"View Full Size","Виж в цял размер"
"General Information","Обща информация"
"Submit Comment","Подаване на коментар"
"Add","Добави"
"Custom Value","Стойност по избор"
"Print Shipping Label","Печат на етикети за доставка"
"Show Packages","Покажи пакетите"
"Items","Артикули"
"Return Items","Връщане на елементи"
"Product","Продукт"
"SKU","Кат. номер"
"Remaining","Остава"
"Requested","Изискан"
"Authorized","Разрешен"
"Returned","Върнат"
"Approved","Одобрен"
"Return Reason","Причини за рекламация"
"Item Condition","Състояние на продукта"
"Resolution","Решение"
"Details","Детайли"
"Split","Раздели"
"Action","Действие"
"Return Information","Информация за Връщане"
"RMA","RMA"
"Ordered","Поръчан"
"Customer","Клиент"
"View","Преглед"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Избрали сте да промените статуса на избрания RMA искане да затвори. Наистина ли искате да продължите?"
"Return Item Attribute","Връщане на атрибут на елемент"
"Add New Attribute","Добави атрибут"
"Save Attribute","Запиши атрибут"
"Delete Attribute","Изтрий атрибут"
"Edit Return Item Attribute ""%1""","Редактиране на атрибут на рекламация елемент ""%1"""
"New Return Item Attribute","Нов атрибут за върнат продукт"
"Input Type","Вмъкни тип"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Това се използва вътрешно. Уверете се, че не използвате интервали или повече от %1 символи."
"Lines Count","Брой редове"
"Valid range 2-20","Валиден диапазон 2-20"
"Input Validation","Въвеждане на валидиране"
"None","Никакъв"
"Minimum Text Length","Минимална дължина на текст"
"Maximum Text Length","Максимална дължина на текст"
"Maximum File Size (bytes)","Максимален размер на файла (байтове)"
"File Extensions","Разширение на файл"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Максимална ширина на изображение (пиксели)"
"Maximum Image Height (px)","Максимална височина на изображение (пиксели)"
"Input/Output Filter","Вход/изход филтър"
"Storefront Properties","Настройки на магазина"
"Show on Storefront","Покажи в магазина"
"Sort Order","Ред на сортиране"
"Forms to Use In","Формуляри за използване в"
"Properties","Свойства"
"Manage Label / Options","Управление на етикет / опции"
"Attribute Information","Информация за атрибута"
"Visible to Customer","Видими за клиента"
"Submit Returns","Подаване на рекламации"
"Add Products","Добавяне на продукти"
"Add Selected Product(s) to returns","Добави избрания продукт за връщане"
"Product Name","Име на продукт"
"Remaining Qty","Остатъчно количество:"
"Requested Qty","Искано количество"
"Reason to Return","Причина за връщане"
"Delete","Изтрий"
"Add Details","Добавяне на детайли"
"Select","Избери"
"Price","Цена"
"The wrong RMA was requested.","Грешен RMA е бил поискан."
"This is the wrong RMA order ID.","Това е грешен RMA на ИД на поръчка."
"Invalid RMA","Невалиден RMA"
"Please enter a valid message.","Моля въведете валидно съобщение."
"We cannot add the RMA history.","Не може да добавите историята на RMA."
"Invalid order","Невалидна поръчка"
"We can't retrieve the product list right now.","Не може да извлече списъка с продукти в момента."
"Please specify a carrier.","Задайте превозвач."
"Please enter a tracking number.","Моля, въведете номер за проследяване."
"We cannot initialize an RMA to add a tracking number.","Не може да инициализира RMA, за да добавите номер за проследяване."
"We can't add a message right now.","Не може да добавите съобщение точно сега."
"New Return","Ново връщане"
"%1 RMA(s) cannot be closed","%1 RMA(s) не може да бъде затворен"
"We cannot close the RMA request(s).","Не може да затвори запитване(ия) за RMA."
"%1 RMA (s) have been closed.","%1 RMA (s) са били затворени."
"You created a shipping label.","Създадохте етикет за доставка."
"We can't create a shipping label right now.","Не може да създаде етикет за доставка точно сега."
"Manage RMA Item Attributes","Управление на RMA елемент атрибути"
"You cannot delete this attribute.","Не можете да изтриете този атрибут."
"You deleted the RMA attribute.","Изтрихте атрибута на RMA."
"We can't delete the RMA item attribute right now.","Не може да изтрие атрибут на елемент на RMA точно сега."
"This attribute no longer exists.","Този атрибут вече не съществува."
"You cannot edit this attribute.","Не можете да редактирате този атрибут."
"Edit Return Item Attribute","Редактиране на атрибут на обратен елемент"
"Returns Attributes","Атрибути за връщане"
"New Return Attribute","Нов атрибут за рекламация"
"You saved the RMA item attribute.","Запазихте RMA елемента на атрибут."
"Something went wrong while saving the RMA item attribute.","Нещо се обърка, докато запазвахте RMA елемента на атрибут."
"An attribute with the same code already exists.","Вече съществува атрибут със същия код (%1)."
"The wrong RMA item was requested.","Грешен елемент от RMA е поискан."
"We cannot display the item attributes.","Не може да покаже елемент атрибути."
"There are no applicable items for return in this order.","Няма приложими елементи за връщане в този ред."
"We don't recognize or support the file extension in shipment %1.","Не се признава или поддържа разширението на файла в пратка %1."
"Something went wrong creating a shipping label.","Нещо се обърка, създаване на етикет за доставка."
"A quantity you're trying to add exceeds the number of products we shipped.","Количествотито, което се опитвате да добавите надвишава броя на продукти, които сме изпратили."
"Products should be added to package(s)","Продуктите трябва да бъдат добавени към пакети"
"Please enter a valid value.","Моля въведете правилна стойност."
"This is the wrong RMA ID.","Това е грешно ИД на RMA."
"We cannot display the available shipping methods.","Не може да покаже наличните методи за доставка."
"We cannot initialize an RMA to delete a tracking number.","Не може да инициализира RMA, за да изтриете номера за проследяване."
"We can't delete the tracking number right now.","Не може да изтрие номер за проследяване точно сега."
"We can't save this RMA.","Не може да запише това RMA."
"You saved the RMA request.","Записахте RMA искането."
"You did not email your customer. Please check your email settings.","Не изпратихте имейл до клиента ви. Проверете настройките на вашия имейл."
"You submitted the RMA request.","Подадохте RMA искането."
"No items for bundle product","Няма елементи за пакет продукт"
"The wrong order ID or item ID was requested.","Зададено грешно ИД на поръчка или на продукт."
"Page not found.","Страницата не е намерена."
"Shipping Labels are not allowed.","Етикети за доставка не са позволени."
"Please select a valid carrier.","Моля изберете валиден превозвач."
"Please enter a valid tracking number.","Моля въведете валиден проследяващ номер."
"We can't add a label right now.","Не може да добави етикет точно сега."
"You selected the wrong RMA.","Избрали сте грешен RMA."
"We can't create a return transaction for order #%1.","Не може да създаде транзакция по рекламация за поръчка #%1."
"You submitted Return #%1.","Подадохте връщане #%1."
"We can't create a return right now. Please try again later.","Не може да създаде връщане сега. Моля, опитайте отново по-късно."
"Create New Return","Създаване на ново връщане"
"We can't delete the label right now.","Не може да изтрие етикета точно сега."
"Return #%1","Върни #%1"
"Cannot add message.","Не може да добави съобщение."
"My Returns","Моите връщания"
"Tracking Information","Информация за проследяване"
"Page not found","Страницата не е намерена"
"Please check this order for errors.","Моля, проверете тази поръчка за грешки."
"Contact Email Address","Имейл адрес за контакт"
"Text Field","Текстово поле"
"Text Area","Пространство за текст"
"Dropdown","Падащо меню"
"Image File","Изображение"
"Could not save the RMA comment.","Could not save the RMA comment."
"Could not delete the RMA comment.","Could not delete the RMA comment."
"Only one RMA is available for printing","Само един RMA е наличен за печат"
"Return # ","Върни # "
"Return Date: ","Дата на връщане: "
"Order # ","Поръчка # "
"Ordered: ","Поръчан: "
"Shipping Address:","Адрес за доставка:"
"Return Address:","Адрес за връщане:"
"Condition","Състояние"
"Qty","Кол-во"
"There is an error in quantities for item %1.","Има грешка в количества за позиция %1."
"Authorized Qty","Оторизирано количество"
"Returned Qty","Върнато количество"
"Approved Qty","Одобрено количество"
"%1 for item %2 cannot be empty.","%1 за %2 елемент не може да бъде празно."
"You cannot return %1.","Не може да върнете %1."
"A quantity of %1 is greater than you can return.","Количество на %1 е по-голямо, отколкото можете да върнете."
"You entered an invalid type: ""%1"".","Въведохте невалиден тип: ""%1""."
"You entered an invalid email address: ""%1"".","Въведохте Невалиден имейл адрес: ""%1""."
"You entered an invalid hostname: ""%1""","Въведохте невалидно име на хост: ""%1"""
"""%1"" is longer than allowed.","""%1"" вече не е разрешено."
"Unknown service","Unknown service"
