"Return","Devolução"
"Returns","Devoluções"
"Create Returns","Criar devolução"
"Select Items","Selecionar Itens"
"New Return Request","Nova Solicitação de Retorno"
"Create New RMA for %1 in %2","Criar novo RMA para %1 em %2"
"Create New RMA for %1","Criar Novo RMA para %1"
"Create New RMA","Criar Novo RMA"
"Please Select Order","Por favor, Selecione um Pedido"
"Order","Pedido"
"Purchase Point","Ponto de compra"
"Purchased","Comprado"
"Customer First Name","Nome do cliente"
"Customer Last Name","Sobrenome do cliente"
"Grand Total (Base)","Total geral (Base)"
"Grand Total (Purchased)","Total geral (comprado)"
"Status","Situação"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Close","Fechar"
"Are you sure you want to close this returns request?","Você tem certeza que deseja fechar este pedido de devolução?"
"Print","Imprimir"
"Return #%1 - %2","Devolução #%1 - %2"
"RMA Item Details","Detalhes do Item RMA"
"OK","CONFIRMAR"
"Cancel","Cancelar"
"No","Não"
"Yes","Sim"
"Delete Image","Excluir imagem"
"View Full Size","Ver Tamanho Completo"
"General Information","Informações gerais"
"Submit Comment","Enviar comentário"
"Add","Adicionar"
"Custom Value","Valor personalizado"
"Print Shipping Label","Imprimir etiqueta de envio"
"Show Packages","Exibir pacotes"
"Items","Itens"
"Return Items","Itens devolvidos"
"Product","Produto"
"SKU","Código de Produto:"
"Remaining","Restantes"
"Requested","Solicitado"
"Authorized","Autorizado"
"Returned","Devolvido"
"Approved","Aprovado"
"Return Reason","Motivo da devolução"
"Item Condition","Condição do item"
"Resolution","Resolução"
"Details","Detalhes"
"Split","Dividir"
"Action","Ação"
"Return Information","Informações da devolução"
"RMA","ADM"
"Ordered","Comprado"
"Customer","Cliente"
"View","Visualizar"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Você optou por mudar status das solicitações de RMA selecionados para Fechados. Tem certeza que deseja continuar?"
"Return Item Attribute","Retornar o Atributo do Item"
"Add New Attribute","Adicionar Novo Atributo"
"Save Attribute","Salvar Atributo"
"Delete Attribute","Excluir Atributo"
"Edit Return Item Attribute ""%1""","Editar atributo de item de retorno ""%1"""
"New Return Item Attribute","Novo atributo de item de retorno"
"Input Type","Tipo de input"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Isso é usado internamente. Certifique-se de que você não use espaços ou mais de %1 símbolo(s)."
"Lines Count","Contagem de linhas"
"Valid range 2-20","Intervalo válido 2-20"
"Input Validation","Validação de entrada"
"None","Nenhum"
"Minimum Text Length","Comprimento mínimo de texto"
"Maximum Text Length","Comprimento máximo de texto"
"Maximum File Size (bytes)","Tamanho máximo do arquivo (bytes)"
"File Extensions","Extensões de arquivo"
"Comma separated","Separados por vírgula"
"Maximum Image Width (px)","Largura máxima da imagem (px)"
"Maximum Image Height (px)","Altura máxima da imagem (px)"
"Input/Output Filter","Filtro de entrada/saída"
"Storefront Properties","Propriedades da Loja"
"Show on Storefront","Mostrar na frente de loja"
"Sort Order","Ordernação"
"Forms to Use In","Formulários para uso em"
"Properties","Propriedades"
"Manage Label / Options","Gerenciar etiqueta / opções"
"Attribute Information","Informações de atributo"
"Visible to Customer","Visível para o cliente"
"Submit Returns","Submeter retornos"
"Add Products","Adicionar Produtos"
"Add Selected Product(s) to returns","Adicionar produto selecionado(s) para o retorno"
"Product Name","Nome do produto"
"Remaining Qty","Qtd. Restante"
"Requested Qty","Qtd Solicitada"
"Reason to Return","Razão para Retorno"
"Delete","Excluir"
"Add Details","Adicionar detalhes"
"Select","Selecione"
"Price","Preço"
"The wrong RMA was requested.","O RMA errado foi solicitado."
"This is the wrong RMA order ID.","Este é o RMA ID do pedido errado."
"Invalid RMA","RMA inválido"
"Please enter a valid message.","Por favor, insira uma mensagem válida."
"We cannot add the RMA history.","Não foi possível adicionar o histórico RMA."
"Invalid order","Pedido inválido"
"We can't retrieve the product list right now.","Nós não podemos recuperar a lista de produtos agora."
"Please specify a carrier.","Por favor especifique um transporte."
"Please enter a tracking number.","Por favor, digite um número de rastreamento."
"We cannot initialize an RMA to add a tracking number.","Nos não podemos inicializar um RMA para adicionar um número de rastreamento."
"We can't add a message right now.","Não podemos adicionar uma mensagem no momento."
"New Return","Nova devolução"
"%1 RMA(s) cannot be closed","%1 RMA(s) não pode ser fechado"
