"Return","Vratka"
"Returns","Vratky"
"Create Returns","Vytvořit vratky"
"Select Items","Select Items"
"New Return Request","Nový požadavek na vrácení"
"Create New RMA for %1 in %2","Create New RMA for %1 in %2"
"Create New RMA for %1","Create New RMA for %1"
"Create New RMA","Create New RMA"
"Please Select Order","Vyberte objednávku"
"Order","Objednávka"
"Purchase Point","Místo nákupu"
"Purchased","Zakoupeno"
"Customer First Name","Jméno zákazníka"
"Customer Last Name","Příjmení zákazníka"
"Grand Total (Base)","Celkový součet (základ)"
"Grand Total (Purchased)","Celkový součet (koupeno)"
"Status","Stav"
"Save and Continue Edit","Použít"
"Close","Zavřít‏"
"Are you sure you want to close this returns request?","Are you sure you want to close this returns request?"
"Print","Tisk"
"Return #%1 - %2","Vratka #%1 - %2"
"RMA Item Details","RMA Item Details"
"OK","OK"
"Cancel","Zrušit"
"No","Ne"
"Yes","Ano"
"Delete Image","Odstranit obrázek"
"View Full Size","Zobrazit v plné velikosti"
"General Information","Všeobecné informace"
"Submit Comment","Odeslat komentář"
"Add","Přidat"
"Custom Value","Vlastní hodnota"
"Print Shipping Label","Tisk štítku pro dopravu"
"Show Packages","Zobrazit balíčky"
"Items","Položky"
"Return Items","Vrácené položky"
"Product","Produkt"
"SKU","Kód"
"Remaining","Zbývá"
"Requested","Požadováno"
"Authorized","Schváleno"
"Returned","Vráceno"
"Approved","Schváleno"
"Return Reason","Důvod vrácení"
"Item Condition","Item Condition"
"Resolution","Resolution"
"Details","Podrobnosti"
"Split","Rozdělit"
"Action","Akce"
"Return Information","Informace o vrácení"
"RMA","RMA"
"Ordered","Objednáno"
"Customer","Zákazník"
"View","Zobrazit"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?"
"Return Item Attribute","Atribut položky vratky"
"Add New Attribute","Přidat nový atribut"
"Save Attribute","Uložit atribut"
"Delete Attribute","Odstranit atribut"
"Edit Return Item Attribute ""%1""","Edit Return Item Attribute ""%1"""
"New Return Item Attribute","New Return Item Attribute"
"Input Type","Typ vstupu"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Používá se interně. Ujistěte se, že nepoužíváte mezery nebo více než %1 znaků."
"Lines Count","Počet řádků"
"Valid range 2-20","Platný rozsah 2-20"
"Input Validation","Validace vstupu"
"None","Nic"
"Minimum Text Length","Minimální délka textu"
"Maximum Text Length","Maximální délka textu"
"Maximum File Size (bytes)","Maximální velikost souboru (bajty)"
"File Extensions","Přípony souborů"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Maximální šířka obrázku (px)"
"Maximum Image Height (px)","Maximální výška obrázku (px)"
"Input/Output Filter","Vstupně/výstupní filtr"
"Storefront Properties","Nastavení v obchodu"
"Show on Storefront","Zobrazit v obchodě"
"Sort Order","Řadit podle"
"Forms to Use In","Použít ve formuláři"
"Properties","Vlastnosti"
