"Return","برگشت"
"Returns","بازگشت"
"Create Returns","ایجاد بازگشت"
"Select Items","انتخاب موارد"
"New Return Request","درخواست بازگشت جدید"
"Create New RMA for %1 in %2","ایجاد RMA جدید برای %1 در %2"
"Create New RMA for %1","ایجاد RMA جدید برای %1 در"
"Create New RMA","ایجاد مجوز بازگشت کالا جدید"
"Please Select Order","لطفا سفارش را انتخاب کنید"
"Order","سفارش"
"Purchase Point","نقطه خرید"
"Purchased","خریداری شده"
"Customer First Name","نام کوچک مشتری"
"Customer Last Name","نام خانوادگي مشتري"
"Grand Total (Base)","مجموع کل (پایه)"
"Grand Total (Purchased)","مجموع کل (خریداری شده)"
"Status","وضعيت"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Close","بستن"
"Are you sure you want to close this returns request?","آیا مطمئن هستید که می خواهید این درخواست بازگشت را ببندید?"
"Print","چاپ"
"Return #%1 - %2","#%1 - بازگشت %2"
"RMA Item Details","جزئیات موارد مجوز بازگشت کالا"
"OK","قبول"
"Cancel","لغو"
"No","خیر"
"Yes","بله"
"Delete Image","حذف تصویر"
"View Full Size","مشاهده اندازه کامل"
"General Information","اطلاعات عمومی"
"Submit Comment","ارایه‌ی توضیح"
"Add","اضافه کردن"
"Custom Value","مقدار سفارشی"
"Print Shipping Label","نسخه قابل چاپ برچسب حمل و نقل"
"Show Packages","نمایش بسته"
"Items","موارد"
"Return Items","اقلام برگشتی"
"Product","محصول"
"SKU","کد محصول"
"Remaining","باقی مانده"
"Requested","در خواست شده"
"Authorized","مجاز"
"Returned","برگردانده شده"
"Approved","تائید شد"
"Return Reason","دلیل برگشت"
"Item Condition","وضعیت کالا"
"Resolution","وضوح"
"Details","جزئیات"
"Split","دو قسمتی"
"Action","اقدام"
"Return Information","اطلاعات برگشتی"
"RMA","مجوز بازگشت کالا"
"Ordered","سفارش داده شده"
"Customer","مشتری"
"View","مشاهده"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","شما انتخاب کرده اید وضعیت (ها) درخواست های انتخاب شده مجوز بازگشت کالا را برای بستن تغییر دهید. آیا مطمئن هستید که میخواهید ادامه دهید?"
"Return Item Attribute","ویژگی مورد بازگشتی"
"Add New Attribute","افزودن ویژگی جدید"
"Save Attribute","ذخیره‌ی ویژگی"
"Delete Attribute","حذف ویژگی"
"Edit Return Item Attribute ""%1""","ویرایش ویژگی مورد بازگشتی ""%1"""
"New Return Item Attribute","ویژگی بازگشت مورد جدید"
"Input Type","نوع ورودی"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","این در داخل استفاده می شود. اطمینان حاصل کنید که از فضاهای یا بیش از %1 نشانه استفاده نکنید."
"Lines Count","تعداد خطوط"
"Valid range 2-20","محدوده مجاز 2-20"
"Input Validation","اعتبار ورودی"
"None","هیچ یک"
"Minimum Text Length","حداقل طول متن"
"Maximum Text Length","حداکثر طول متن"
"Maximum File Size (bytes)","حداکثر اندازه فایل (بایت)"
"File Extensions","پسوند فایل"
"Comma separated","Comma separated"
"Maximum Image Width (px)","حداکثر عرض تصویر (پیکسل)"
"Maximum Image Height (px)","حداکثر ارتفاع تصویر (پیکسل)"
"Input/Output Filter","فیلتر ورودی / خروجی"
"Storefront Properties","ویژگی های فروشگاه"
"Show on Storefront","نمایش در فروشگاه"
"Sort Order","ترتيب سفارش"
"Forms to Use In","فرم ها برای استفاده در"
"Properties","مشخصات"
"Manage Label / Options","مدیریت برچسب / گزینه‌ها"
"Attribute Information","اطلاعات ویژگی"
"Visible to Customer","قابل مشاهده به مشتری"
"Submit Returns","ارسال بازگشت"
"Add Products","افزودن محصولات"
"Add Selected Product(s) to returns","اضافه کردن محصول(های) انتخاب شده به بازگشت"
"Product Name","نام محصول"
"Remaining Qty","تعداد باقی مانده"
"Requested Qty","تعداد درخواستی"
"Reason to Return","دلیلی برای برگشتی"
"Delete","حذف"
"Add Details","اضافه کردن جزئیات"
"Select","انتخاب"
"Price","قيمت"
"The wrong RMA was requested.","مجوز بازگشت کالا اشتباه درخواست شد."
"This is the wrong RMA order ID.","این شناسه سفارش مجوز بازگشت کالا اشتباه است."
"Invalid RMA","مجوز بازگشت کالا نامعتبر می باشد"
"Please enter a valid message.","لطفا پیام معتبر وارد کنید."
"We cannot add the RMA history.","ما نمی توانیم تاریخ مجوز بازگشت کالا را اضافه کنیم."
"Invalid order","سفارش نامعتبر"
"We can't retrieve the product list right now.","اکنون نمیتوانیم لیست محصول را بازیابی کنیم."
"Please specify a carrier.","لطفا یک حامل را مشخص کنید."
"Please enter a tracking number.","لطفا شماره پیگیری را وارد کنید."
"We cannot initialize an RMA to add a tracking number.","ما نمیتوانیم مجوز بازگشت کالا را برای افزودن شماره پیگیری به مقدار اولیه راه اندازی کنیم."
"We can't add a message right now.","اکنون نمیتوانیم پیامی اضافه کنیم."
"New Return","بازگشت جدید"
"%1 RMA(s) cannot be closed","مجوز بازگشت کالا(ها) %1 نمی تواند بسته شود"
"We cannot close the RMA request(s).","ما نمی توانیم درخواست مجوز بازگشت کالا را ببندیم."
"%1 RMA (s) have been closed.","مجوز بازگشت کالا(ها) %1 بسته شده است."
"You created a shipping label.","یک برچسب حمل و نقل را ایجاد کرده اید."
"We can't create a shipping label right now.","اکنون نمیتوانیم برچسب حمل و نقل را ایجاد کنیم."
"Manage RMA Item Attributes","مدیریت ویژگی های مورد مجوز بازگشت کالا"
"You cannot delete this attribute.","شما نمی توانید این ویژگی را حذف کنید."
"You deleted the RMA attribute.","شما ویژگی مجوز بازگشت کالا را حذف کردید."
"We can't delete the RMA item attribute right now.","ما اکنون نمی توانیم ویژگی RMA را حذف کنیم."
"This attribute no longer exists.","این ویژگی دیگر وجود ندارد."
"You cannot edit this attribute.","شما نمی توانید این ویژگی را ویرایش کنید."
"Edit Return Item Attribute","ویرایش ویژگی مورد بازگشتی"
"Returns Attributes","ویژگی های بازگشتی ها"
"New Return Attribute","ویژگی جدید بازگشت"
"You saved the RMA item attribute.","شما ویژگی مجوز بازگشت کالا را ذخیره کردید."
"Something went wrong while saving the RMA item attribute.","هنگام ذخیره ویژگی آیتم مجوز بازگشت کالا اشتباهی رخ داد."
"An attribute with the same code already exists.","یک ویژگی با همان کد در حال حاضر وجود دارد."
"The wrong RMA item was requested.","مجوز بازگشت کالا اشتباه درخواست شد."
"We cannot display the item attributes.","ما قادر به نمایش ویژگی های این مورد نیستیم."
"There are no applicable items for return in this order.","هیچ مورد قابل استفاده برای بازگشت در این سفارش وجود ندارد."
"We don't recognize or support the file extension in shipment %1.","ما پسوند فایل را در حمل و نقل %1 شناسایی یا پشتیبانی نمی کنیم."
"Something went wrong creating a shipping label.","چیزی برای ایجاد برچسب حمل و نقل اشتباه بوده."
"A quantity you're trying to add exceeds the number of products we shipped.","کمیتی که میخواهید اضافه کنید بیش از تعداد محصولاتی است که ما حمل کرده ایم."
"Products should be added to package(s)","محصولات باید به بسته اضافه شده است"
"Please enter a valid value.","لطفا مقداری معتبر وارد کنید."
"This is the wrong RMA ID.","این شناسه سفارش مجوز بازگشت کالا اشتباه است."
"We cannot display the available shipping methods.","ما نمی توانیم روش های حمل و نقل موجود را نمایش دهیم."
"We cannot initialize an RMA to delete a tracking number.","ما نمیتوانیم یک مجوز بازگشت کالا را برای حذف شماره ردیابی راه اندازی کنیم."
"We can't delete the tracking number right now.","ما اکنون نمیتوانیم شماره پیگیری را حذف کنیم."
"We can't save this RMA.","ما نمی توانیم این RMA را ذخیره کنیم."
"You saved the RMA request.","شما درخواست مجوز بازگشت کالا را ذخیره کردید."
"You did not email your customer. Please check your email settings.","شما به مشتری خود را ایمیل نکردید لطفا تنظیمات ایمیل خود را بررسی کنید."
"You submitted the RMA request.","شما درخواست مجوز بازگشت کالا را ارسال کردید."
"No items for bundle product","هیچ محصولی برای دسته محصولی نیست"
"The wrong order ID or item ID was requested.","شناسه اشتباه سفارش یا شناسه مورد درخواست شده."
"Page not found.","صفحه یافت نشد."
"Shipping Labels are not allowed.","برچسب های حمل و نقل مجاز نیستند."
"Please select a valid carrier.","لطفا یک حامل معتبر انتخاب کنید."
"Please enter a valid tracking number.","لطفا یک شماره ردیابی معتبر وارد کنید."
"We can't add a label right now.","اکنون نمیتوانیم یک برچسب اضافه کنیم."
"You selected the wrong RMA.","شما مجوز بازگشت کالا اشتباه را انتخاب کرده اید."
"We can't create a return transaction for order #%1.","ما نمی توانیم معامله بازگشتی را برای سفارش #%1 ایجاد کنیم."
"You submitted Return #%1.","شما بازگشت #%1 را ارسال کردید."
"We can't create a return right now. Please try again later.","حالا نمیتوانیم یک بازگشت ایجاد کنیم. لطفا بعدا دوباره امتحان کنید."
"Create New Return","ایجاد بازگشت جدید"
"We can't delete the label right now.","ما اکنون نمیتوانیم برچسب را حذف کنیم."
"Return #%1","بازگشت #%1"
"Cannot add message.","نمی توان پیام را اضافه کرد."
"My Returns","بازگشتی های من"
"Tracking Information","اطلاعات پیگیری"
"Page not found","صفحه پیدا نشد"
"Please check this order for errors.","لطفا این دستور را برای خطاها بررسی کنید."
"Contact Email Address","تماس با آدرس ایمیل"
"Text Field","فیلد متنی"
"Text Area","ناحیه‌ی متنی"
"Dropdown","کشویی"
"Image File","فایل تصویری"
"Could not save the RMA comment.","Could not save the RMA comment."
"Could not delete the RMA comment.","Could not delete the RMA comment."
"Only one RMA is available for printing","فقط یک مجوز بازگشت کالا در دسترس برای چاپ است"
"Return # ","برگشت # "
"Return Date: ","تاريخ برگشت: "
"Order # ","سفارش شماره‌ی "
"Ordered: ","سفارش داده شده: "
"Shipping Address:","آدرس حمل و نقل:"
"Return Address:","نشانی بازگشت:"
"Condition","شرط"
"Qty","تعداد"
"There is an error in quantities for item %1.","خطا در مقدار مورد %1 وجود دارد."
"Authorized Qty","تعداد مجاز"
"Returned Qty","تعداد بازگشتی"
"Approved Qty","تعداد تایید شده"
"%1 for item %2 cannot be empty.","%1 برای آیتم %2 نمیتواند خالی باشد."
"You cannot return %1.","شما نمیتوانید %1 را بازگردانید."
"A quantity of %1 is greater than you can return.","مقدار %1 بیشتر از بازگشت می باشد."
"You entered an invalid type: ""%1"".","شما یک نوع نامعتبر: "" %1"" وارد کردید."
"You entered an invalid email address: ""%1"".","شما یک آدرس ایمیل: ""%1"" نا معتبر وارد کرده اید."
"You entered an invalid hostname: ""%1""","شما یک نام میزبان""%1"" نامعتبر وارد کردید"
"""%1"" is longer than allowed.","""%1"" طولانی تر از مجاز است."
"Unknown service","Unknown service"
