"Return","Quay trở lại"
"Returns","Trả lại"
"Create Returns","Tạo phiếu trả hàng"
"Select Items","Chọn sản phẩm"
"New Return Request","Yêu cầu trả hàng mới"
"Create New RMA for %1 in %2","Tạo mới RMA cho %1 trong %2"
"Create New RMA for %1","Tạo mới RMA cho %1"
"Create New RMA","Tạo mới RMA"
"Please Select Order","Vui lòng chọn đơn hàng"
"Order","Đơn hàng"
"Purchase Point","Mua điểm"
"Purchased","Đã mua"
"Customer First Name","Tên khách hàng"
"Customer Last Name","Họ khách hàng"
"Grand Total (Base)","Tổng (cơ sở)"
"Grand Total (Purchased)","Tổng (đã mua)"
"Status","Trạng thái"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Close","Đóng lại"
"Are you sure you want to close this returns request?","Bạn chắc chắn muốn đóng yêu cầu trả hàng này?"
"Print","In"
"Return #%1 - %2","Trả hàng #%1 - %2"
"RMA Item Details","RMA chi tiết sản phẩm"
"OK","Đồng ý"
"Cancel","Hủy bỏ"
"No","Không"
"Yes","Có"
"Delete Image","Xóa hình"
"View Full Size","Xem kích thước đầy đủ"
"General Information","Thông tin chung"
"Submit Comment","Gửi bình luận"
"Add","Thêm"
"Custom Value","Tuỳ chỉnh các giá trị"
"Print Shipping Label","In nhãn vận chuyển"
"Show Packages","Hiển thị các gói"
"Items","Sản phẩm"
"Return Items","Sản phẩm hoàn trả"
"Product","Sản phẩm"
"SKU","MÃ SẢN PHẨM"
"Remaining","Còn lại"
"Requested","Đã yêu cầu"
"Authorized","Ủy quyền"
"Returned","Trở lại"
"Approved","Chấp thuận"
"Return Reason","Những lý do trả lại"
"Item Condition","điều kiện sản phẩm"
"Resolution","Độ phân giải"
"Details","Chi tiết"
"Split","Tách"
"Action","Thao tác"
"Return Information","Thông tin Trả lại"
"RMA","RMA"
"Ordered","Đã đặt hàng"
"Customer","Khách hàng"
"View","Hiển thị"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Bạn đã chọn để thay đổi trạng thái các yêu cầu RMA được lựa chọn để đóng. Bạn có chắc bạn muốn tiếp tục không?"
"Return Item Attribute","Trở về thuộc tính sản phẩm"
"Add New Attribute","Thêm thuộc tính"
"Save Attribute","Lưu thuộc tính"
"Delete Attribute","Xóa thuộc tính"
"Edit Return Item Attribute ""%1""","Chỉnh sửa thuộc tính sản phẩm trả lại ""%1"""
"New Return Item Attribute","Thuộc tính sản phẩm được trả lại mới"
"Input Type","Loại đầu vào"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Điều này sử dụng nội bộ. Hãy chắc chắn bạn không sử dụng dấu cách hoặc nhiều biểu tượng hơn %1."
"Lines Count","Tuyến tính"
"Valid range 2-20","Phạm vi hợp lệ 2-20"
"Input Validation","Xác nhận đầu vào"
"None","Không cái nào"
"Minimum Text Length","Chiều dài văn bản tối thiểu"
"Maximum Text Length","Chiều dài văn bản tối đa"
"Maximum File Size (bytes)","Kích thước tệp tối đa (byte)"
"File Extensions","Phần mở rộng tệp"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Chiều rộng hình ảnh tối đa (px)"
"Maximum Image Height (px)","Chiều cao hình ảnh tối đa (px)"
"Input/Output Filter","Bộ lọc đầu vào/đầu ra"
"Storefront Properties","Thuộc tính Storefront"
"Show on Storefront","Hiển thị trên Storefront"
"Sort Order","Thứ tự sắp xếp"
"Forms to Use In","Để sử dụng trong các mẫu"
"Properties","Thuộc tính"
"Manage Label / Options","Quản lý nhãn / tùy chọn"
"Attribute Information","Thông tin Thuộc tính"
"Visible to Customer","Hiển thị cho khách hàng"
"Submit Returns","Gửi trả lại"
"Add Products","Thêm sản phẩm"
"Add Selected Product(s) to returns","Thêm lựa chọn sản phẩm để trả lại"
"Product Name","Tên sản phẩm"
"Remaining Qty","Số lượng còn lại"
"Requested Qty","Số lượng được yêu cầu"
"Reason to Return","Lý do để trả lại"
"Delete","Xóa bỏ"
"Add Details","Thêm chi tiết"
"Select","Chọn"
"Price","Giá"
"The wrong RMA was requested.","RMA sai đã được yêu cầu."
"This is the wrong RMA order ID.","Điều này là sai ID RMA đơn hàng."
"Invalid RMA","RMA không hợp lệ"
"Please enter a valid message.","Hãy nhập vào một thông báo hợp lệ."
"We cannot add the RMA history.","Chúng tôi không thể thêm lịch sử RMA."
"Invalid order","Đơn hàng không hợp lệ"
"We can't retrieve the product list right now.","Chúng tôi không thể truy xuất danh sách sản phẩm ngay bây giờ."
"Please specify a carrier.","Hãy chỉ ra một tàu sân bay."
"Please enter a tracking number.","Vui lòng nhập một số theo dõi."
"We cannot initialize an RMA to add a tracking number.","Chúng tôi không thể khởi tạo một RMA để thêm một số theo dõi."
"We can't add a message right now.","Chúng tôi không thể thêm một tin nhắn ngay bây giờ."
"New Return","Hoàn trả mới"
"%1 RMA(s) cannot be closed","%1 RMA(s) không thể đóng"
"We cannot close the RMA request(s).","Chúng tôi không thể đóng yêu cầu RMA."
"%1 RMA (s) have been closed.","%1 RMA đã bị đóng."
"You created a shipping label.","Bạn đã tạo ra một nhãn vận chuyển."
"We can't create a shipping label right now.","Chúng tôi không thể tạo một nhãn vận chuyển ngay bây giờ."
"Manage RMA Item Attributes","Quản lý thuộc tính RMA sản phẩm"
"You cannot delete this attribute.","Bạn không thể xóa bỏ thuộc tính này."
"You deleted the RMA attribute.","Bạn đã xoá các thuộc tính RMA."
"We can't delete the RMA item attribute right now.","Chúng ta không thể xóa bỏ các thuộc tính của khoản mục RMA ngay bây giờ."
