"Return","Retourzending"
"Returns","Retouren"
"Create Returns","Retouren aanmaken"
"Select Items","Kies producten"
"New Return Request","Nieuw retourverzoek"
"Create New RMA for %1 in %2","Nieuwe RMA aanmaken voor %1 in %2"
"Create New RMA for %1","Nieuwe RMA aanmaken voor %1"
"Create New RMA","Nieuwe RMA aanmaken"
"Please Select Order","Selecteer een bestelling"
"Order","Bestelling"
"Purchase Point","Verkooppunt"
"Purchased","Gekocht"
"Customer First Name","Voornaam klant"
"Customer Last Name","Achternaam klant"
"Grand Total (Base)","Eindtotaal (Basis)"
"Grand Total (Purchased)","Eindtotaal (Gekocht)"
"Status","status"
"Save and Continue Edit","Toepassen"
"Close","Sluiten"
"Are you sure you want to close this returns request?","Ben u zeker dat u deze retourneringsaanvraag wilt sluiten?"
"Print","Afdrukken"
"Return #%1 - %2","Retour #%1 - %2"
"RMA Item Details","RMA productdetails"
"OK","Oké"
"Cancel","Annuleer"
"No","Nee"
"Yes","Ja"
"Delete Image","Verwijder afbeelding"
"View Full Size","Bekijk op ware grootte"
"General Information","Algemene informatie"
"Submit Comment","Opmerking opslaan"
"Add","Toevoegen"
"Custom Value","Speciale waarde"
"Print Shipping Label","Print Verzendetiket"
"Show Packages","Toon Pakketten"
"Items","Producten"
"Return Items","Producten retourneren"
"Product","Product"
"SKU","Art.nr."
"Remaining","Resterend"
"Requested","Verlangd"
"Authorized","Goedgekeurd"
"Returned","Teruggestuurd"
"Approved","Akkoord"
"Return Reason","Reden van retour"
"Item Condition","Conditie Item"
"Resolution","Resolutie"
"Details","Gegevens"
"Split","Deel"
"Action","Actie"
"Return Information","Retourinformatie"
"RMA","RMA"
"Ordered","Besteld"
"Customer","Klant"
"View","Bekijk"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","U heeft ervoor gekozen om de status(sen) van de geselecteerde RMA aanvragen te wijzigen naar ""Gesloten"". Bent u zeker dat u wilt verdergaan?"
"Return Item Attribute","Attribuut item retourneren"
"Add New Attribute","Voeg nieuw attribuut toe"
"Save Attribute","Attribuut Opslaan"
"Delete Attribute","Verwijder attribuut"
"Edit Return Item Attribute ""%1""","Bewerk retournerings artiel attribuut ""%1"""
"New Return Item Attribute","Nieuw retourartikel attribuut"
"Input Type","Invoertype"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dit wordt intern gebruikt. Zorg ervoor dat u geen spaties of meer dan %1 symbolen gebruikt."
"Lines Count","Aantal Regels"
"Valid range 2-20","Geldige marge 2-20"
"Input Validation","Invoer validatie"
"None","Geen"
"Minimum Text Length","Minimale Tekst Lengte"
"Maximum Text Length","Maximale Tekst Lengte"
"Maximum File Size (bytes)","Maximale Bestandsgrootte (bytes)"
"File Extensions","Bestand extensies"
"Comma separated","gescheiden door een komma"
"Maximum Image Width (px)","Maximale Afbeeldingen Breedte (px)"
"Maximum Image Height (px)","Maximale Afbeeldingen Hoogte (px)"
"Input/Output Filter","Invoer/uitvoer filter"
"Storefront Properties","Eigenschappen winkelaanzicht"
"Show on Storefront","Toon op Winkelaanzicht"
"Sort Order","Sorteervolgorde"
"Forms to Use In","Formulieren om te gebruiken in"
"Properties","Kenmerken"
"Manage Label / Options","Beheer Label/Opties"
"Attribute Information","Attribuutinformatie"
"Visible to Customer","Zichtbaar voor klant"
"Submit Returns","Terugzendingen versturen"
"Add Products","Voeg producten toe"
"Add Selected Product(s) to returns","Voeg geselecteerde producten toe aan retour"
"Product Name","Product Naam"
"Remaining Qty","Resterend aantal"
"Requested Qty","Gevraagde kwantiteit"
"Reason to Return","Reden om te retourneren"
"Delete","Verwijder"
"Add Details","Voeg details toe"
"Select","Selecteer"
"Price","prijs"
"The wrong RMA was requested.","De verkeerde RMA werd opgevraagd."
"This is the wrong RMA order ID.","Dit is de verkeerde RMA order-ID."
"Invalid RMA","Ongeldige RMA"
"Please enter a valid message.","Voer een geldig bericht in."
"We cannot add the RMA history.","We kunnen de RMA geschiedenis niet toevoegen."
"Invalid order","Ongeldige volgorde"
"We can't retrieve the product list right now.","We kunnen de productlijst nu niet ophalen."
"Please specify a carrier.","Geef een vervoerder op."
"Please enter a tracking number.","Voer een trackingnummer in."
"We cannot initialize an RMA to add a tracking number.","We kunnen geen RMA initialiseren om een tracking-nummer toe te voegen."
"We can't add a message right now.","Wij kunnen nu geen bericht toevoegen."
"New Return","Nieuwe retour"
"%1 RMA(s) cannot be closed","%1 RMA(s) kan niet worden gesloten"
"We cannot close the RMA request(s).","We kunnen de RMA aanvra(a) g(en) niet sluiten."
"%1 RMA (s) have been closed.","%1 RMA (s) zijn afgesloten."
"You created a shipping label.","U heeft het verzendlabel aangemaakt."
"We can't create a shipping label right now.","We kunnen nu niet een verzendlabel aanmaken."
"Manage RMA Item Attributes","Beheer RMA Item Attributen"
"You cannot delete this attribute.","U kunt dit attribuut niet verwijderen"
"You deleted the RMA attribute.","U hebt het RMA-kenmerk verwijderd."
"We can't delete the RMA item attribute right now.","Wij kunnen het kenmerk RMA item attribuut nu niet verwijderen."
"This attribute no longer exists.","Dit attribuut bestaat niet meer."
"You cannot edit this attribute.","U kunt dit attribuut niet bewerken"
"Edit Return Item Attribute","Pas het retour item attribuut aan"
"Returns Attributes","Retour attributen"
"New Return Attribute","Nieuw retour attribuut"
"You saved the RMA item attribute.","U heeft het RMA item attribuut opgeslagen."
"Something went wrong while saving the RMA item attribute.","Er ging iets mis bij het opslaan van het RMA item attribuut."
"An attribute with the same code already exists.","Er bestaat een attribuut met dezelfde code."
"The wrong RMA item was requested.","Het verkeerde RMA-artikel werd gevraagd."
"We cannot display the item attributes.","We kunnen de item attributen niet weergeven."
"There are no applicable items for return in this order.","Er zijn geen producten die in aanmerking komen voor retourneren binnen deze bestelling."
"We don't recognize or support the file extension in shipment %1.","Wij herkennen of ondersteunen niet de bestandsextensie in verzending %1."
"Something went wrong creating a shipping label.","Er ging iets mis bij het aanmaken van een verzendlabel."
"A quantity you're trying to add exceeds the number of products we shipped.","Een hoeveelheid die u probeert toe te voegen is groter dan het aantal producten die we verzonden."
"Products should be added to package(s)","Product moet worden toegevoegd aan het pakket/de pakketjes"
"Please enter a valid value.","Voer een geldige waarde in."
"This is the wrong RMA ID.","Dit is de verkeerde RMA-ID."
"We cannot display the available shipping methods.","We kunnen de beschikbare verzendmethoden niet weergeven."
"We cannot initialize an RMA to delete a tracking number.","We kunnen geen RMA initialiseren om een tracking-nummer te verwijderen."
"We can't delete the tracking number right now.","We kunnen het tracking nummer momenteel niet verwijderen."
"We can't save this RMA.","We kunnen dit RMA niet bewaren."
"You saved the RMA request.","U heeft de RMA aanvraag opgeslagen."
"You did not email your customer. Please check your email settings.","U heeft de klant geen email verstuurd. Controleer uw email instellingen."
"You submitted the RMA request.","U heeft het RMA verzoek ingediend."
"No items for bundle product","Geen artikelen voor bundelproduct"
"The wrong order ID or item ID was requested.","Onjuist bestellings ID of product ID werd opgevraagd."
"Page not found.","Pagina niet gevonden."
"Shipping Labels are not allowed.","Bezorg Lavels zijn niet toegestaan."
"Please select a valid carrier.","Selecteer een geldige vervoerder."
"Please enter a valid tracking number.","Voer een geldig tracking-nummer in."
"We can't add a label right now.","We kunnen nu geen label toevoegen."
"You selected the wrong RMA.","U hebt de verkeerde RMA geselecteerd."
"We can't create a return transaction for order #%1.","Retourtransactie kan niet worden aangemaakt voor order #%1."
"You submitted Return #%1.","U heeft Retour #%1 ingevoerd."
"We can't create a return right now. Please try again later.","We kunnen nu geen retour aanmaken. Probeer het later nog eens."
"Create New Return","Nieuwe return aanmaken"
"We can't delete the label right now.","We kunnen het label nu niet verwijderen."
"Return #%1","Retour #%1"
"Cannot add message.","Kan geen bericht toevoegen"
"My Returns","Retouren"
"Tracking Information","Track en Trace informatie"
"Page not found","Pagina niet gevonden"
"Please check this order for errors.","Controleer deze bestelling op fouten."
"Contact Email Address","contact email adres"
"Text Field","Tekstveld"
"Text Area","Tekstgedeelte"
"Dropdown","Dropdown"
"Image File","Afbeeldingsbestand"
"Could not save the RMA comment.","Kon RMA-opmerking niet opslaan."
"Could not delete the RMA comment.","Kon RMA-opmerking niet verwijderen."
"Only one RMA is available for printing","Slechts een RMA is beschikbaar voor afdrukken"
"Return # ","Retour # "
"Return Date: ","Retourdatum"
"Order # ","Ordernr."
"Ordered: ","Besteld: "
"Shipping Address:","Bezorgadres:"
"Return Address:","Retouradres"
"Condition","conditie"
"Qty","Aantal"
"There is an error in quantities for item %1.","Er is een fout opgetreden in de aantallen voor product %1."
"Authorized Qty","Goedgekeurd aantal"
"Returned Qty","Retourzending Aantal"
"Approved Qty","Goedgekeurd aantal"
"%1 for item %2 cannot be empty.","%1 voor item %2 mag niet leeg zijn."
"You cannot return %1.","U kunt %1 niet retourneren."
"A quantity of %1 is greater than you can return.","Het aantal van %1 is hoger dan wat u terug kunt sturen."
"You entered an invalid type: ""%1"".","Ongeldig type ingevoerd: '%1'."
"You entered an invalid email address: ""%1"".","Ongeldig e-mailadres ingevoerd: '%1'."
"You entered an invalid hostname: ""%1""","Ongeldige hostname ingevoerd: '%1'"
"""%1"" is longer than allowed.","""%1"" is langer dan toegestaan."
"Unknown service","Onbekend dienst"
"We can't save this RMA. No items were specified.","Kan deze RMA niet opslaan. Er zijn geen producten opgegeven."
"Pending","In afwachting"
"Partially Authorized","Gedeeltelijk Toegestaan"
"Return Received","Retourzending ontvangen"
"Return Partially Received","Retourzending deels ontvangen"
"Partially Approved","Gedeeltelijk goedgekeurd"
"Rejected","Afgewezen"
"Partially Rejected","Gedeeltelijk Afgewezen"
"Denied","Afgewezen"
"Closed","gesloten"
"Processed and Closed","Verwerkt en Gesloten"
"This is the wrong RMA item status.","Dit is de verkeerde RMA product status."
"We placed your Return request.","Uw retourverzoek is geplaatst."
"We authorized your Return request.","Uw retour verzoek is geautoriseerd."
