"Save & Generate","Gravar e Gerar"
"Edit Sitemap","Editar o mapa do site"
"New Sitemap","Novo mapa do site"
"Sitemap Information","Informações do mapa do site"
"Sitemap","Mapa do site"
"Filename","Nome do Ficheiro"
"example: sitemap.xml","exemplo: sitemap.xml"
"Path","Caminho"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Vista da Loja"
"Generate","Gerar"
"XML Sitemap","Mapa do site XML"
"Add Sitemap","Adicionar mapa do site"
"Catalog","Catálogo"
"You deleted the sitemap.","Eliminou o mapa do site."
"We can't find a sitemap to delete.","Não foi possível encontrar um mapa do site para excluir."
"This sitemap no longer exists.","Este mapa do site já não existe."
"Site Map","Mapa do site"
"New Site Map","Novo Mapa do Site"
"The sitemap ""%1"" has been generated.","O mapa do site ""%1"" foi gerado."
"We can't generate the sitemap right now.","De momento não é possível gerar um mapa do site."
"We can't find a sitemap to generate.","Não foi encontrado um mapa do site para ser gerado."
"You saved the sitemap.","Mapa do site salvo."
"The priority must be between 0 and 1.","A prioridade deve ser entre 0 e 1."
"Always","Sempre"
"Hourly","De hora a hora"
"Daily","Diário"
"Weekly","Semanal"
"Monthly","Mensal"
"Yearly","Anual"
"Never","Nunca"
"File handler unreachable","Gestor de ficheiros inacessível"
"Please define a correct path.","Por favor defina um caminho correcto."
"Please create the specified folder ""%1"" before saving the sitemap.","Por favor, crie a pasta indicada ""%1"" antes de salvar o mapa do site."
"Please make sure that ""%1"" is writable by the web-server.","Por favor, certifique-se de que ""%1"" permite escrita pelo servidor-web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Por favor use apenas letras (a-z ou A-Z), números (0-9) ou underscores (_) no nome do ficheiro. Não são permitidos espaços ou outros caracteres."
"None","Nenhum"
"Base Only","Apenas a Base"
"All","Todos"
"Sitemap generate Warnings","O Mapa do site gerou Avisos"
"Sitemap Generation Warnings","Avisos de geração do Mapa do Site"
"XML Sitemap Section","Secção XML do Mapa do Site"
"Categories Options","Opções de categorias"
"Frequency","Frequência"
"Priority","Prioridade"
"Valid values range from 0.0 to 1.0.","Intervalo de valores válidos de 0,0 a 1,0."
"Products Options","Opções de produtos"
"Add Images into Sitemap","Adicionar imagens ao mapa do site"
"CMS Pages Options","Opções das páginas do CMS"
"Generation Settings","Definições Gerais"
"Enabled","Ativo"
"Error Email Recipient","Destinatário de Email de Erro"
"Error Email Sender","Remetente de Email de Erro"
"Error Email Template","Template de Email de Erro"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O template de email é escolhido com base no tema de recurso quando a opção ""Default"" está selecionada."
"Start Time","Hora de início"
"Sitemap File Limits","Limites de ficheiro do mapa do site"
"Maximum No of URLs Per File","Numero Máximo de URLs por ficheiro"
"Maximum File Size","Tamanho máximo do ficheiro"
"File size in bytes.","Tamanho do ficheiro em bytes."
"Search Engine Submission Settings","Configurações de envio do motor de busca"
"Enable Submission to Robots.txt","Permitir o envio ao Robots.txt"
"ID","Id."
"Link for Google","Link para o Google"
"Last Generated","Última gerado"
"Action","Ação"
