"Save & Generate","Spara & generera"
"Edit Sitemap","Redigera Sitemap"
"New Sitemap","Ny Sitemap"
"Sitemap Information","Sitemap information"
"Sitemap","Sitemap"
"Filename","Filnamn"
"example: sitemap.xml","exempel: sitemap.xml"
"Path","Sökväg"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Butiksvy"
"Generate","Generera"
"XML Sitemap","XML-Sitemap"
"Add Sitemap","Lägg Sitemap"
"Catalog","Katalog"
"You deleted the sitemap.","Du bort sitemapen."
"We can't find a sitemap to delete.","Vi kan inte hitta en sitemap att ta bort."
"This sitemap no longer exists.","Denna sitemap finns inte längre."
"Site Map","Site Map"
"New Site Map","Ny Sitemap"
"The sitemap ""%1"" has been generated.","Webbplatskartan ""%1"" har genererats."
"We can't generate the sitemap right now.","Vi kan inte generera sitemap just nu."
"We can't find a sitemap to generate.","Vi kan inte hitta en sitemap att generera."
"You saved the sitemap.","Du har sparat din nya sitemap."
"The priority must be between 0 and 1.","The priority must be between 0 and 1."
"Always","Alltid"
"Hourly","Hourly"
"Daily","Dagligen"
"Weekly","Veckovis"
"Monthly","Månatligen"
"Yearly","Yearly"
"Never","Aldrig"
"File handler unreachable","File handler unreachable"
"Please define a correct path.","Please define a correct path."
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed."
"None","Inga"
"Base Only","Base Only"
"All","Alla"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Sitemap Generation Warnings","Sitemap Generation Warnings"
"XML Sitemap Section","XML Sitemap Section"
"Categories Options","Categories Options"
"Frequency","Frekvens"
"Priority","Prioritet"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","Products Options"
"Add Images into Sitemap","Add Images into Sitemap"
"CMS Pages Options","CMS-sidalternativ"
"Generation Settings","Generation Settings"
"Enabled","Aktiverad"
"Error Email Recipient","Fel E-post mottagare"
"Error Email Sender","Fel E-post avsändare"
"Error Email Template","Felmeddelande E-post-mall"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmallen valt baserat på tema reserv när ""Standard"" alternativet är valt."
"Start Time","Starttid"
"Sitemap File Limits","Sitemap File Limits"
"Maximum No of URLs Per File","Maximum No of URLs Per File"
"Maximum File Size","Maximum File Size"
"File size in bytes.","File size in bytes."
"Search Engine Submission Settings","Search Engine Submission Settings"
"Enable Submission to Robots.txt","Enable Submission to Robots.txt"
"ID","ID"
"Link for Google","Link for Google"
"Last Generated","Last Generated"
"Action","Åtgärd"
