"Save & Generate","Zapisz i generuj"
"Edit Sitemap","Edytuj mapę"
"New Sitemap","Nowa mapa witryny"
"Sitemap Information","Informacja mapy witryny"
"Sitemap","Mapa witryny"
"Filename","Nazwa pliku"
"example: sitemap.xml","przykład: sitemap.xml"
"Path","Ścieżka"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Widok sklepu"
"Generate","Wygeneruj"
"XML Sitemap","Mapa witryny (XML)"
"Add Sitemap","Dodaj mapę"
"Catalog","Katalog"
"You deleted the sitemap.","Usunąłeś mapę."
"We can't find a sitemap to delete.","Nie możemy znaleźć mapy witryny do usunięcia."
"This sitemap no longer exists.","Taka mapa strony już nie istnieje"
"Site Map","Mapa witryny"
"New Site Map","Nowa mapa witryny"
"The sitemap ""%1"" has been generated.","Mapa witryny %1"" została wygenerowana.""."
"We can't generate the sitemap right now.","Nie można wygenerować teraz mapy witryny."
"We can't find a sitemap to generate.","Nie można znaleźć mapy witryny do wygenerowania."
"You saved the sitemap.","Mapa witryny została zapisana."
"The priority must be between 0 and 1.","Priorytet musi mieć wartość pomiędzy 0 i 1."
"Always","Zawsze"
"Hourly","Co godzinę"
"Daily","Codziennie"
"Weekly","Co tydzień"
"Monthly","Co miesiąc"
"Yearly","Co rok"
"Never","Nigdy"
"File handler unreachable","Plik obsługi nieosiągalne"
"Please define a correct path.","Zdefiniuj poprawną ścieżkę."
"Please create the specified folder ""%1"" before saving the sitemap.","Utwórz wybrany folder %1"" zanim zapiszesz mapę.""."
"Please make sure that ""%1"" is writable by the web-server.","Upewnij się że %1"" może być zapisywany przez serwer.""."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Używaj tylko liter (a-z), cyfr (0-9) lub podkreślenia (_) w nazwie pliku. Inne znaki nie będą akceptowane."
"None","Brak"
"Base Only","Tylko podstawowa"
"All","Wszystko"
"Sitemap generate Warnings","Ostrzeżenia podczas generowania mapy witryny"
"Sitemap Generation Warnings","Sitemap ostrzeżenia"
"XML Sitemap Section","Sekcja mapy strony"
"Categories Options","Opcje kategorii"
"Frequency","Częstotliwość"
"Priority","Priorytet"
"Valid values range from 0.0 to 1.0.","Poprawne wartości z zakresu od 0.0 do 1.0."
"Products Options","Opcje produktów"
"Add Images into Sitemap","Dodawanie obrazów do sitemap"
"CMS Pages Options","Opcje stron CMS"
"Generation Settings","Ustawienia budowania mapy"
"Enabled","Włączone"
"Error Email Recipient","Błąd e-mail: nieprawidłowy odbiorca"
"Error Email Sender","Błąd e-mail: nieprawidłowy nadawca"
"Error Email Template","Błąd w szablonie e-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Wybrany szablon e-mail oparty na temacie fallback po wybraniu opcji ""Default""."
"Start Time","Czas rozpoczęcia"
"Sitemap File Limits","Ograniczenia pliku mapy strony"
"Maximum No of URLs Per File","Maksymalna liczba adresów URL dla pliku"
"Maximum File Size","Maksymalny rozmiar pliku"
"File size in bytes.","Rozmiar pliku w bajtach."
"Search Engine Submission Settings","Ustawienia wyszukiwania silnika"
"Enable Submission to Robots.txt","Włącz uzupełnianie Robots.txt"
"ID","Identyfikator"
"Link for Google","Link dla Google"
"Last Generated","Ostatnio generowane"
"Action","Operacja"
