"Save & Generate","Запис и генериране"
"Edit Sitemap","Редактиране на карта на сайта"
"New Sitemap","Нова карта на сайта"
"Sitemap Information","Карта на сайта информация"
"Sitemap","Карта на сайта"
"Filename","Име на файл"
"example: sitemap.xml","пример: sitemap.xml"
"Path","Път"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Изглед на магазина"
"Generate","Генерирай"
"XML Sitemap","XML карта на сайта"
"Add Sitemap","Добавяне на сайта"
"Catalog","Каталог"
"You deleted the sitemap.","Изтрили сте картата на сайта."
"We can't find a sitemap to delete.","Не може да намери карта на сайта за изтриване."
"This sitemap no longer exists.","Тази карта вече не съществува."
"Site Map","Карта на сайта"
"New Site Map","Нова карта на сайта"
"The sitemap ""%1"" has been generated.","Карта на сайта ""%1"" е бил генерирана."
"We can't generate the sitemap right now.","Не може да генерира карта на сайта в момента."
"We can't find a sitemap to generate.","Ние не може да намери карта на сайта за генериране."
"You saved the sitemap.","Записахте картата на сайта."
"The priority must be between 0 and 1.","Приоритет трябва да бъде между 0 и 1."
"Always","Винаги"
"Hourly","Почасово"
"Daily","Дневно"
"Weekly","Седмично"
"Monthly","Месечно"
"Yearly","Годишно"
"Never","Никога"
"File handler unreachable","Файлът с манипулатора не е достъпен"
"Please define a correct path.","Моля определете правилния път."
"Please create the specified folder ""%1"" before saving the sitemap.","Моля, създайте папка с име ""%1"" преди да запишете Картата на сайта (sitemap)."
"Please make sure that ""%1"" is writable by the web-server.","Моля уверете се, че ""%1"" се записва от уеб-сървър."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Моля, използвайте само букви (a-z или A-Z), цифри (0-9) или знаци за подчертаване (_) в името на файла. Без интервали или други знаци са позволени."
"None","Никакъв"
"Base Only","База само"
"All","Всички"
"Sitemap generate Warnings","Картата на сайта генерира предупреждения"
"Sitemap Generation Warnings","Картата на сайта генереация на предупреждения"
"XML Sitemap Section","XML карта на сайта раздел"
"Categories Options","Категории опции"
"Frequency","Честота"
"Priority","Приоритет"
"Valid values range from 0.0 to 1.0.","Валидни стойности варират от 0.0 да 1.0."
"Products Options","Опции за продукти"
"Add Images into Sitemap","Добавете снимки в сайта"
"CMS Pages Options","CMS страници опции"
"Generation Settings","Производителни настройки"
"Enabled","Активиран"
"Error Email Recipient","Грешка в имейла на получателя"
"Error Email Sender","Грешка в имейл подателя"
"Error Email Template","Грешка в шаблона на имейла"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Имейл шаблон, избран въз основа на тема връщане, когато ""По подразбиране"" опция е избрана."
"Start Time","Начален час"
"Sitemap File Limits","Файл с карти на границите на сайта"
"Maximum No of URLs Per File","Максимален брой на URL на файла"
"Maximum File Size","Максимален размер на файла"
"File size in bytes.","Размер на файл в байтове."
"Search Engine Submission Settings","Настройките за представяне на търсене"
"Enable Submission to Robots.txt","Разреши подаването за Robots.txt"
"ID","ИД"
"Link for Google","Връзка за Google"
"Last Generated","Последно генериран"
"Action","Действие"
