"Save & Generate","Guardar y generar"
"Edit Sitemap","Editar mapa del sitio web"
"New Sitemap","Nuevo mapa del sitio web"
"Sitemap Information","Información mapa del sitio"
"Sitemap","Mapa de sitio"
"Filename","Nombre de archivo"
"example: sitemap.xml","ejemplo: sitemap.xml"
"Path","Ruta de acceso"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Vista de la tienda"
"Generate","Generar"
"XML Sitemap","Mapa del sitio XML"
"Add Sitemap","Añadir mapa del sito web"
"Catalog","Catálogo"
"You deleted the sitemap.","Borró el mapa del sitio."
"We can't find a sitemap to delete.","No podemos encontrar un mapa del sitio a eliminar."
"This sitemap no longer exists.","Este mapa del sitio web ya no existe."
"Site Map","Mapa de sitio"
"New Site Map","Nuevo mapa del sitio"
"The sitemap ""%1"" has been generated.","El mapa del sitio ""%1"" se ha generado."
"We can't generate the sitemap right now.","No podemos generar el mapa del sitio en este momento."
"We can't find a sitemap to generate.","No podemos encontrar un mapa del sitio para generar."
"You saved the sitemap.","Guardaste el mapa del sitio."
"The priority must be between 0 and 1.","La prioridad debe de estar entre 0 y 1."
"Always","Siempre"
"Hourly","Por hora"
"Daily","Diario"
"Weekly","Semanal"
"Monthly","Mensual"
"Yearly","Anual"
"Never","Nunca"
"File handler unreachable","Controlador de archivo inalcanzable"
"Please define a correct path.","Por favor defina la trayectoria correcta."
"Please create the specified folder ""%1"" before saving the sitemap.","Por favor, cree el archivo ""%s"" especificado antes de guardar el mapa del sitio."
"Please make sure that ""%1"" is writable by the web-server.","Por favor, cerciórese de que ""%s"" permite la escritura mediante el servidor web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Por favor, use solamente las letras (a-z o A-Z), números (0-9) o guión bajo (_) en el nombre del archivo. Ni espacios ni otros carácteres están permitidos."
"None","Ninguno"
"Base Only","Base solamente"
"All","Todos"
"Sitemap generate Warnings","El mapa del sitio web genera alertas"
"Sitemap Generation Warnings","Advertencias de generación de Sitemap"
"XML Sitemap Section","Sección del mapa del sitio XML"
"Categories Options","Opciones de categorias"
"Frequency","Frecuencia"
"Priority","Prioridad"
"Valid values range from 0.0 to 1.0.","Rango de los valores admitidos: desde 0.0 hasta 1.0."
"Products Options","Opciones de artículos"
"Add Images into Sitemap","Añadir imágenes al mapa del sitio"
"CMS Pages Options","Opciones de páginas de CMS (sistema de gestión de contenidos)"
"Generation Settings","Ajuste generacinal"
"Enabled","Habilitado"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegida basada en la suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Start Time","Tiempo de inicio"
"Sitemap File Limits","Límites de archivo de mapa del sitio"
"Maximum No of URLs Per File","Máximo No de URLs por archivo"
"Maximum File Size","Tamaño máximo de archivo"
"File size in bytes.","Tamaño del archivo en bytes."
"Search Engine Submission Settings","Configuración de presentación de motor de búsqueda"
"Enable Submission to Robots.txt","Habilitar envío para Robots.txt"
"ID","Número de Identificación (ID)"
"Link for Google","Enlace para Google"
"Last Generated","Última vez que se generó"
"Action","Acción"
