"Save & Generate","Сачувај & Генерате"
"Edit Sitemap","Измени Мапа сајта"
"New Sitemap","Ново Мапа сајта"
"Sitemap Information","Мапа сајта Информације"
"Sitemap","Мапа сајта"
"Filename","Filename"
"example: sitemap.xml","example: sitemap.xml"
"Path","Путања"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","пример: ""/ситемап/"" или ""/"" за основну путању (путања мора бити за писање)"
"Store View","Приказ продавнице"
"Generate","Генериши"
"XML Sitemap","XМЛ мапа сајта"
"Add Sitemap","Додај Мапа сајта"
"Catalog","Каталог"
"You deleted the sitemap.","You deleted the sitemap."
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"This sitemap no longer exists.","This sitemap no longer exists."
"Site Map","Мапа сајта"
"New Site Map","Ново Мапа сајта"
"The sitemap ""%1"" has been generated.","Мапа сајта ""%1"" је генерисана."
"We can't generate the sitemap right now.","We can't generate the sitemap right now."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"You saved the sitemap.","You saved the sitemap."
"The priority must be between 0 and 1.","The priority must be between 0 and 1."
"Always","Увек"
"Hourly","Hourly"
"Daily","Дневно"
"Weekly","Седмично"
"Monthly","Месечно"
"Yearly","Yearly"
"Never","Никада"
"File handler unreachable","Датотека хандлер унреацхабле"
"Please define a correct path.","Please define a correct path."
"Please create the specified folder ""%1"" before saving the sitemap.","Молимо креирајте наведени фолдер ""%1"" пре чувања мапе сајта."
"Please make sure that ""%1"" is writable by the web-server.","Молимо проверите да ""%1"" може да пише веб сервер."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Плеасе усе онлy леттерс (а-з ор А-З), нумберс (0-9) ор ундерсцорес (_) ин тхе филенаме. Не спацес ор отхер цхарацтерс аре аллоwед."
"None","Ништа"
"Base Only","Base Only"
"All","Све"
"Sitemap generate Warnings","Мапа сајта генерате Wарнингс"
"Sitemap Generation Warnings","Мапа сајта Генератион Wарнингс"
"XML Sitemap Section","XМЛ Мапа сајта Сецтион"
"Categories Options","Категорије Оптионс"
"Frequency","Учесталост"
"Priority","Приоритет"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","Производи Оптионс"
"Add Images into Sitemap","Додај Имагес инто Мапа сајта"
"CMS Pages Options","ЦМС Странице Оптионс"
"Generation Settings","Генератион Подешавања"
"Enabled","Омогућено"
"Error Email Recipient","Погрешан Прималац Мејла"
"Error Email Sender","Погрешан Пошиљалац Мејла"
"Error Email Template","Погрешан Мејл Шаблон"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон мејла се бира на основу теме када је изабрана опција ""Подразумевано""."
"Start Time","Време почетка"
"Sitemap File Limits","Мапа сајта Датотека Лимитс"
"Maximum No of URLs Per File","Маxимум Не оф УРЛс Пер Датотека"
"Maximum File Size","Маxимум Датотека Сизе"
"File size in bytes.","Датотека сизе ин бyтес."
"Search Engine Submission Settings","Претрага Енгине Субмиссион Подешавања"
"Enable Submission to Robots.txt","Омогући Субмиссион то Роботс.тxт"
"ID","ИД"
"Link for Google","Link for Google"
"Last Generated","Последњи Генератед"
"Action","Акција"
