"Save & Generate","සුරකින්න සහ උත්පාදනය කරන්න"
"Edit Sitemap","අඩවි සිතියම සංස්කරණය කරන්න"
"New Sitemap","නව අඩවි සිතියම"
"Sitemap Information","අඩවි සිතියම් තොරතුරු"
"Sitemap","අඩවි සිතියම"
"Filename","ගොනුවේ නම"
"example: sitemap.xml","උදාහරණයක්: sitemap.xml"
"Path","මාර්ගය"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","ගබඩා දර්ශනය"
"Generate","උත්පාදනය කරන්න"
"XML Sitemap","XML අඩවි සිතියම"
"Add Sitemap","අඩවි සිතියම එක් කරන්න"
"Catalog","නාමාවලිය"
"You deleted the sitemap.","ඔබ අඩවි සිතියම මකා ඇත."
"We can't find a sitemap to delete.","අපට මැකීමට අඩවි සිතියමක් සොයාගත නොහැක."
"This sitemap no longer exists.","මෙම අඩවි සිතියම තවදුරටත් නොපවතී."
"Site Map","අඩවි සිතියම"
"New Site Map","නව අඩවි සිතියම"
"The sitemap ""%1"" has been generated.","""%1"" අඩවි සිතියම ජනනය කර ඇත."
"We can't generate the sitemap right now.","අපට දැන් අඩවි සිතියම ජනනය කළ නොහැක."
"We can't find a sitemap to generate.","අපට ජනනය කිරීමට අඩවි සිතියමක් සොයාගත නොහැක."
"You saved the sitemap.","ඔබ අඩවි සිතියම සුරකින ලදී."
"The priority must be between 0 and 1.","ප්‍රමුඛතාවය 0 සහ 1 අතර විය යුතුය."
"Always","සැමවිටම"
"Hourly","පැයකට වරක්"
"Daily","දිනපතා"
"Weekly","සතිපතා"
"Monthly","මාසික"
"Yearly","වාර්ෂිකව"
"Never","කවදාවත් නැහැ"
"File handler unreachable","ගොනු හසුරුවන්නා ළඟා විය නොහැක"
"Please define a correct path.","කරුණාකර නිවැරදි මාර්ගයක් නිර්වචනය කරන්න."
"Please create the specified folder ""%1"" before saving the sitemap.","අඩවි සිතියම සුරැකීමට පෙර කරුණාකර ""%1"" නිශ්චිත ෆෝල්ඩරය සාදන්න."
"Please make sure that ""%1"" is writable by the web-server.","කරුණාකර ""%1"" වෙබ් සේවාදායකය විසින් ලිවිය හැකි බව සහතික කර ගන්න."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","කරුණාකර ගොනු නාමයේ අකුරු (az හෝ AZ), අංක (0-9) හෝ යටි ඉරි (_) පමණක් භාවිතා කරන්න. හිස්තැන් හෝ වෙනත් අක්ෂරවලට ඉඩ නොදේ."
"None","කිසිවක් නැත"
"Base Only","පදනම පමණි"
"All","සියලුම"
"Sitemap generate Warnings","අඩවි සිතියම අනතුරු ඇඟවීම් ජනනය කරයි"
"Sitemap Generation Warnings","අඩවි සිතියම් උත්පාදන අනතුරු ඇඟවීම්"
"XML Sitemap Section","XML අඩවි සිතියම් අංශය"
"Categories Options","කාණ්ඩ විකල්ප"
"Frequency","සංඛ්යාතය"
"Priority","ප්රමුඛත්වය"
"Valid values range from 0.0 to 1.0.","වලංගු අගයන් 0.0 සිට 1.0 දක්වා පරාසයක පවතී."
"Products Options","නිෂ්පාදන විකල්ප"
"Add Images into Sitemap","අඩවි සිතියමට පින්තූර එක් කරන්න"
"CMS Pages Options","CMS පිටු විකල්ප"
"Generation Settings","උත්පාදන සැකසුම්"
"Enabled","සබල කර ඇත"
"Error Email Recipient","ඊමේල් ලබන්නාගේ දෝෂයකි"
"Error Email Sender","ඊමේල් යවන්නාගේ දෝෂයකි"
"Error Email Template","දෝෂ ඊමේල් සැකිල්ල"
"Email template chosen based on theme fallback when ""Default"" option is selected.","""පෙරනිමි"" විකල්පය තෝරාගත් විට තේමා පසුබැසීම මත පදනම්ව ඊමේල් අච්චුව තෝරා ඇත."
"Start Time","ආරම්භක වේලාව"
"Sitemap File Limits","අඩවි සිතියම් ගොනු සීමාවන්"
"Maximum No of URLs Per File","ගොනුවකට උපරිම URL ගණන"
"Maximum File Size","උපරිම ගොනු ප්‍රමාණය"
"File size in bytes.","ගොනු ප්‍රමාණය බයිට් වලින්."
"Search Engine Submission Settings","සෙවුම් යන්ත්‍ර ඉදිරිපත් කිරීමේ සැකසුම්"
"Enable Submission to Robots.txt","Robots.txt වෙත ඉදිරිපත් කිරීම සබල කරන්න"
"ID","හැඳුනුම්පත"
"Link for Google","Google සඳහා සබැඳිය"
"Last Generated","අවසන් වරට ජනනය කරන ලදී"
"Action","කටයුතු"
