"Save & Generate","Salvar e gerar"
"Edit Sitemap","Editar mapa do site"
"New Sitemap","Novo mapa do site"
"Sitemap Information","Informações de mapa do site"
"Sitemap","Mapa do site"
"Filename","Nome do arquivo"
"example: sitemap.xml","exemplo: sitemap. xml"
"Path","Caminho"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Visão de Loja"
"Generate","Gerar"
"XML Sitemap","Mapa do Site XML"
"Add Sitemap","Adicionar mapa do site"
"Catalog","Catálogo"
"You deleted the sitemap.","Você excluiu o sitemap."
"We can't find a sitemap to delete.","Não podemos encontrar um mapa do site para excluir."
"This sitemap no longer exists.","Este mapa do site já não existe."
"Site Map","Mapa do Site"
"New Site Map","Novo mapa do Site"
"The sitemap ""%1"" has been generated.","O mapa do site ""%1"" foi gerado."
"We can't generate the sitemap right now.","Não podemos gerar o mapa do site no momento."
"We can't find a sitemap to generate.","Não podemos encontrar um mapa do site para gerar."
"You saved the sitemap.","Você gravou o mapa do sítio."
"The priority must be between 0 and 1.","A prioridade deve ser entre 0 e 1."
"Always","Sempre"
"Hourly","Horal"
"Daily","Diário"
"Weekly","Semanal"
"Monthly","Mensal"
"Yearly","Anual"
"Never","Nunca"
"File handler unreachable","Manipulador de arquivos inacessível"
"Please define a correct path.","Por favor defina um caminho correcto."
"Please create the specified folder ""%1"" before saving the sitemap.","Por favor, crie a pasta especificada ""%1"" antes de salvar o sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Por favor, certifique-se de que o ""%1"" é gravável pelo servidor-web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Por favor, use somente letras (a-z ou A-Z), números (0-9) ou sublinhados (_) no nome do arquivo. Sem espaços ou outros caracteres são permitidos."
"None","Nenhum"
"Base Only","Base apenas"
"All","Todos"
"Sitemap generate Warnings","Mapa do site gerar avisos"
"Sitemap Generation Warnings","Avisos de geração de sitemap"
"XML Sitemap Section","Seção de Sitemap XML"
"Categories Options","Opções de categorias"
"Frequency","Frequência"
"Priority","Prioridade"
"Valid values range from 0.0 to 1.0.","Intervalo de valores válidos de 0,0 a 1,0."
"Products Options","Opções de produtos"
"Add Images into Sitemap","Adicionar imagens no mapa do site"
"CMS Pages Options","Opções de Páginas CMS"
"Generation Settings","Configurações de geração"
"Enabled","Habilitado"
"Error Email Recipient","Erro no recipiente do E-mail"
"Error Email Sender","Erro no Serviço de E-mail"
"Error Email Template","Erro no template de E-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O modelo de e-mail escolhido baseado no tema ""fallback"" quando a opção ""Padrão"" é selecionada."
"Start Time","Hora de Início"
"Sitemap File Limits","Limites de arquivo do mapa do site"
"Maximum No of URLs Per File","Numero Máximo de URLs por Arquivo"
"Maximum File Size","Tamanho máximo do arquivo"
"File size in bytes.","Tamanho do arquivo em bytes."
"Search Engine Submission Settings","Configurações de Envio da Ferramenta de Busca"
"Enable Submission to Robots.txt","Permitir a Submissão de Robots.txt"
"ID","Id."
"Link for Google","Link para o Google"
"Last Generated","Última geração em"
"Action","Ação"
