"Save & Generate","Speichern & Anlegen"
"Edit Sitemap","Sitemap bearbeiten"
"New Sitemap","Neue Sitemap"
"Sitemap Information","Sitemap-Informationen"
"Sitemap","Sitemap"
"Filename","Dateiname"
"example: sitemap.xml","Beispiel: sitemap.xml"
"Path","Pfad"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Store View"
"Generate","Erstellen"
"XML Sitemap","XML Sitemap"
"Add Sitemap","Sitemap hinzufügen"
"Catalog","Katalog"
"You deleted the sitemap.","Sie haben die Sitemap gelöscht."
"We can't find a sitemap to delete.","Die Sitemap konnte nicht gelöscht werden da sie nicht auffindbar ist."
"This sitemap no longer exists.","Diese Sitemap ist nicht mehr vorhanden."
"Site Map","Sitemap"
"New Site Map","Neue Sitemap"
"The sitemap ""%1"" has been generated.","Die Sitemap ""%1"" wurde erstellt."
"We can't generate the sitemap right now.","Momentan kann die Sitemap nicht generiert werden."
"We can't find a sitemap to generate.","Die Sitemap kann nicht generiert werden."
"You saved the sitemap.","Sie haben die Sitemap gespeichert."
"The priority must be between 0 and 1.","Die Priorität muss zwischen 0 und 1 liegen."
"Always","Immer"
"Hourly","Stündlich"
"Daily","Täglich"
"Weekly","Wöchentlich"
"Monthly","Monatlich"
"Yearly","Jährlich"
"Never","Niemals"
"File handler unreachable","Dateihandler unerreichbar"
"Please define a correct path.","Bitte definieren Sie einen korrekten Pfad."
"Please create the specified folder ""%1"" before saving the sitemap.","Bitte erstellen Sie den angegebenen Ordner ""%1"" vor dem Speichern der Sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Bitte stellen Sie sicher, dass ""%1"" durch den Webserver beschreibbar ist."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Bitte verwenden Sie nur Buchstaben (a-Z oder A-Z), Zahlen (0-9) oder Unterstriche (_) im Dateinamen. Es dürfen keine Leerzeichen oder andere Zeichen benutzt werden."
"None","Keine"
"Base Only","Nur Basis"
"All","Alle"
"Sitemap generate Warnings","Warnungen bei der Sitemap-Erstellung"
"Sitemap Generation Warnings","Warnungen bei der Sitemap-Erstellung"
"XML Sitemap Section","XML-Sitemap-Abschnitt"
"Categories Options","Kategorienoptionen"
"Frequency","Häufigkeit"
"Priority","Priorität"
"Valid values range from 0.0 to 1.0.","Gültige Werte liegen zwischen 0,0 und 1,0."
"Products Options","Produkt-Optionen"
"Add Images into Sitemap","Bilder zur Sitemap hinzufügen"
"CMS Pages Options","CMS-Seiten-Optionen"
"Generation Settings","Erstellungseinstellungen"
"Enabled","Aktiviert"
"Error Email Recipient","Vorlage Fehler-E-Mail"
"Error Email Sender","Fehler-E-Mail-Absender"
"Error Email Template","Fehler-E-Mail-Vorlage"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Ausgewählte E-Mail-Vorlage basiert auf dem Fallback-Thema, wenn die Option ""Standard"" gewählt ist."
"Start Time","Startzeit"
"Sitemap File Limits","Sitemap-Datei-Beschränkungen"
"Maximum No of URLs Per File","Maximale Anzahl der URLs pro Datei"
"Maximum File Size","Maximale Dateigröße"
"File size in bytes.","Dateigröße in Bytes."
"Search Engine Submission Settings","Einstellungen zur Übermittlung an Suchmaschinen"
"Enable Submission to Robots.txt","Einreichung zur Robots.txt ermöglichen"
"ID","Id"
"Link for Google","Link für Google"
"Last Generated","Zuletzt generiert"
"Action","Aktion"
