"Save & Generate","Sačuvaj & Generate"
"Edit Sitemap","Izmeni Mapa sajta"
"New Sitemap","Novo Mapa sajta"
"Sitemap Information","Mapa sajta Informacije"
"Sitemap","Mapa sajta"
"Filename","Filename"
"example: sitemap.xml","example: sitemap.xml"
"Path","Putanja"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","primer: ""/sitemap/"" ili ""/"" za osnovnu putanju (putanja mora biti za pisanje)"
"Store View","Prikaz prodavnice"
"Generate","Generiši"
"XML Sitemap","XML mapa sajta"
"Add Sitemap","Dodaj Mapa sajta"
"Catalog","Katalog"
"You deleted the sitemap.","You deleted the sitemap."
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"This sitemap no longer exists.","This sitemap no longer exists."
"Site Map","Mapa sajta"
"New Site Map","Novo Mapa sajta"
"The sitemap ""%1"" has been generated.","Mapa sajta ""%1"" je generisana."
"We can't generate the sitemap right now.","We can't generate the sitemap right now."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"You saved the sitemap.","You saved the sitemap."
"The priority must be between 0 and 1.","The priority must be between 0 and 1."
"Always","Uvek"
"Hourly","Hourly"
"Daily","Dnevno"
"Weekly","Sedmično"
"Monthly","Mesečno"
"Yearly","Yearly"
"Never","Nikada"
"File handler unreachable","Datoteka handler unreachable"
"Please define a correct path.","Please define a correct path."
"Please create the specified folder ""%1"" before saving the sitemap.","Molimo kreirajte navedeni folder ""%1"" pre čuvanja mape sajta."
"Please make sure that ""%1"" is writable by the web-server.","Molimo proverite da ""%1"" može da piše veb server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. Ne spaces or other characters are allowed."
"None","Ništa"
"Base Only","Base Only"
"All","Sve"
"Sitemap generate Warnings","Mapa sajta generate Warnings"
"Sitemap Generation Warnings","Mapa sajta Generation Warnings"
"XML Sitemap Section","XML Mapa sajta Section"
"Categories Options","Kategorije Options"
"Frequency","Učestalost"
"Priority","Prioritet"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","Proizvodi Options"
"Add Images into Sitemap","Dodaj Images into Mapa sajta"
"CMS Pages Options","CMS Stranice Options"
"Generation Settings","Generation Podešavanja"
"Enabled","Omogućeno"
"Error Email Recipient","Pogrešan Primalac Mejla"
"Error Email Sender","Pogrešan Pošiljalac Mejla"
"Error Email Template","Pogrešan Mejl Šablon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šablon mejla se bira na osnovu teme kada je izabrana opcija ""Podrazumevano""."
"Start Time","Vreme početka"
"Sitemap File Limits","Mapa sajta Datoteka Limits"
"Maximum No of URLs Per File","Maximum Ne of URLs Per Datoteka"
"Maximum File Size","Maximum Datoteka Size"
"File size in bytes.","Datoteka size in bytes."
"Search Engine Submission Settings","Pretraga Engine Submission Podešavanja"
"Enable Submission to Robots.txt","Omogući Submission to Robots.txt"
"ID","ID"
"Link for Google","Link for Google"
"Last Generated","Poslednji Generated"
"Action","Akcija"
